Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2015-01-02,102.97289276123047,104.12342645064422,104.61651605551971,102.1921746401054,102.97289276123047,8538620,1275.5856994247438,0,1275.5856994247438,0.0,7,-36.220715028762804,2000,"Buy 7 shares (Rebalance - MRI:0.32, Cash:1.00) Monthly invest",0.0,0.0,0.0,0.0,0.0,0.0,102.97289276123047,0.0,GE,0.3244,Hold,0.0,0,157.63282775878906
2015-01-05,101.0827407836914,102.76745127666901,102.76745127666901,100.75401869963899,101.0827407836914,8770735,1475.2241124725342,0,767.6449269866945,707.5791854858398,12,-26.238794376373285,2000,"Buy 5 shares (Rebalance - MRI:0.33, Cash:0.64) ",0.0,0.0,0.0,0.0,0.0,0.0,102.97289276123047,-0.1173,GE,0.3298,Hold,-0.07743170928954513,2,154.86341857910156
2015-01-06,98.90491485595703,100.50744441042248,100.9594404289746,98.32965135873584,98.90491485595703,13304295,1358.107268676758,0,171.24829040527368,1186.8589782714844,18,-32.0946365661621,2000,Buy 6 shares (Regular Buy - MRI:0.33) ,0.0,0.0,0.0,0.0,0.0,0.0,102.97289276123047,-0.3205,GE,0.3315,Hold,7.398982284545896,3,153.34060668945312
2015-01-07,98.94599914550781,99.48017561382794,100.2198065827236,98.53509014435673,98.94599914550781,9106535,1852.835545883179,0,71.80756126403834,1781.0279846191406,19,-7.358222705841044,2000,Buy 1 shares (Regular Buy - MRI:0.32) ,0.0,0.0,0.0,0.0,0.0,0.0,102.97289276123047,-0.4286,GE,0.321,Hold,7.74337125396729,4,155.25662231445312
2015-01-08,100.13763427734375,99.93217975997167,100.17872125593563,99.15146175201703,100.13763427734375,9019294,1974.4226125335697,0,71.80756126403834,1902.6150512695312,19,-1.2788693733215117,2000,,0.0,100.4088,0.0,0.0,0.0,0.0,102.97289276123047,-0.3978,GE,0.3133,Hold,16.324491554260256,4,157.9842529296875
2015-01-09,98.74053192138672,100.75397006804981,100.7950570379883,98.4118099960007,98.74053192138672,9000055,1947.877667770386,0,71.80756126403834,1876.0701065063477,19,-2.606116611480691,2000,,0.0,99.5624,0.0,0.0,0.0,0.0,102.97289276123047,-0.4431,GE,0.3134,Hold,15.925376564025882,4,156.65386962890625
2015-01-12,98.53509521484375,98.9049107183218,99.19254572563482,97.6721967343754,98.53509521484375,8945573,1943.9743703460697,0,71.80756126403834,1872.1668090820312,19,-2.801281482696516,2000,,0.0,99.0528,0.0,0.0,0.0,0.0,102.97289276123047,-0.4581,GE,0.3198,Hold,7.763069389343256,5,155.49090576171875
2015-01-13,98.04199981689453,99.68562261490598,99.97325104430861,97.0969144185235,98.04199981689453,8591202,1934.6055577850345,0,71.80756126403834,1862.797996520996,19,-3.2697221107482743,2000,,0.0,98.8803,0.0,0.0,0.0,0.0,102.97289276123047,-0.4705,GE,0.3243,Hold,15.394129417419432,5,155.08094787597656
2015-01-14,97.7132797241211,97.17909674440303,98.00090815897008,96.19292435521655,97.7132797241211,8732675,1928.3598760223392,0,71.80756126403834,1856.5523147583008,19,-3.5820061988830365,2000,,0.0,98.6337,0.0,0.0,0.0,0.0,102.97289276123047,-0.4694,GE,0.3252,Hold,15.074917839050293,5,154.16891479492188
2015-01-15,96.89148712158203,98.04202070877051,98.49401674746647,96.80930661831651,96.89148712158203,6568703,1912.745816574097,0,71.80756126403834,1840.9382553100586,19,-4.362709171295154,2000,,0.0,97.9845,0.0,0.0,0.0,0.0,102.97289276123047,-0.4904,GE,0.3247,Hold,14.571232078552242,5,152.7298126220703
2015-01-16,96.93255615234375,96.60383420015498,97.17909761648534,96.35729273601339,96.93255615234375,10390099,1913.5261281585697,0,71.80756126403834,1841.7185668945312,19,-4.32369359207152,2000,,0.0,97.6229,0.0,0.0,0.0,0.0,102.97289276123047,-0.468,GE,0.321,Hold,15.233068321228027,5,154.6207733154297
2015-01-20,98.00090026855469,97.95981329894288,98.08308074924774,96.76818651668943,98.00090026855469,9298421,1933.8246663665775,0,71.80756126403834,1862.017105102539,19,-3.308766681671127,2000,,0.0,97.516,0.0,0.0,0.0,0.0,102.97289276123047,-0.352,GE,0.3145,Hold,15.367757652282709,5,155.00559997558594
2015-01-21,98.78163146972656,97.91872655064853,98.94599244246432,97.42564363243528,98.78163146972656,7849930,1948.6585591888431,0,71.80756126403834,1876.8509979248047,19,-2.5670720405578384,2000,,0.0,97.664,0.0,0.0,0.0,0.0,102.97289276123047,-0.2006,GE,0.3123,Hold,15.651822898864742,5,155.8172149658203
2015-01-22,99.76781463623047,99.8499951314861,100.09653661725302,98.45291362919902,99.76781463623047,9834098,1967.3960393524173,0,71.80756126403834,1895.588478088379,19,-1.6301980323791376,2000,,35.97115527183692,98.0749,0.0,0.0,0.0,0.0,102.97289276123047,-0.0211,GE,0.301,Hold,16.48643212127685,5,158.20181274414062
2015-01-23,100.58961486816406,100.3841603822925,102.27432464448913,99.8088904384401,100.58961486816406,13299850,1983.0102437591556,0,71.80756126403834,1911.2026824951172,19,-0.8494878120422156,2000,,40.268340962745164,98.8145,0.0,0.0,0.0,0.0,102.97289276123047,0.1559,GE,0.2969,Buy,16.181848381042485,5,157.33157348632812
2015-01-26,101.04158782958984,101.57577071422945,101.65795118691197,100.26087006837147,101.04158782958984,8174317,1991.5977300262455,0,71.80756126403834,1919.790168762207,19,-0.4201134986877242,2000,,49.80959682816697,99.6363,0.0,0.0,0.0,0.0,102.97289276123047,0.2979,GE,0.2914,Buy,-23.317133361816403,10,157.64120483398438
2015-01-27,100.1787109375,100.21980445333011,100.50743289826015,99.43907998431943,100.1787109375,8012228,1975.2030690765384,0,71.80756126403834,1903.3955078125,19,-1.2398465461730734,2000,,56.709950446703075,100.0719,0.0,0.0,0.0,0.0,102.97289276123047,0.3254,GE,0.3014,Hold,14.853177612304691,10,155.57455444335938
2015-01-28,97.95980834960938,100.54850971432232,100.63069019086329,97.83653436406338,97.95980834960938,10360866,1933.0439199066166,0,71.80756126403834,1861.2363586425781,19,-3.347804004669175,2000,,45.7745530431508,99.9075,0.0,0.0,0.0,0.0,102.97289276123047,0.1922,GE,0.312,Hold,13.62323071289062,10,153.52464294433594
2015-01-29,98.94599914550781,97.95982670080369,99.4390820971247,97.71328522499525,98.94599914550781,8437544,1951.7815450286869,0,71.80756126403834,1879.9739837646484,19,-2.410922748565658,2000,,44.80280679711281,99.7431,0.0,0.0,0.0,0.0,102.97289276123047,0.1701,GE,0.3049,Hold,14.516849487304693,10,155.01400756835938
2015-01-30,98.16531372070312,98.12422672912138,99.06930603317714,97.87768515521198,98.16531372070312,11416362,1936.9485219573978,0,71.80756126403834,1865.1409606933594,19,-3.152573902130107,2000,,47.34868758365023,99.2583,99.1165,0.0,0.0,0.0,102.97289276123047,0.105,GE,0.3115,Hold,13.372248046875,10,153.10633850097656
