Date,price,Open,High,Low,Close,Volume,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_down_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,rate_vs
2019-01-02,52.29,50.83,52.62,50.79,52.29,30652000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.29,0.00,0.00,0.00,False,False,52.29,1010000.00,0,1010000.00,0.00,0.00,0.00,1010000,Monthly invest,0.00,0.00,0.00,GOOG,0.00
2019-01-03,50.80,52.05,52.85,50.70,50.80,36822000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.29,0.00,0.00,-0.18,False,False,50.80,1010000.00,0,1010000.00,0.00,0.00,0.00,1010000,,0.00,0.00,0.00,GOOG,0.00
2019-01-04,53.54,51.63,53.54,51.37,53.54,41878000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.54,0.00,0.00,0.05,False,False,50.80,1010000.00,0,1010000.00,0.00,0.00,0.00,1010000,,0.00,0.00,0.00,GOOG,0.00
2019-01-07,53.42,53.58,53.70,52.74,53.42,39638000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.54,0.00,0.00,0.18,False,False,50.80,1007487.68,0,505023.88,502463.80,9406.00,-0.25,1010000,week +buy 50% ,0.00,0.00,0.00,GOOG,-0.25
2019-01-08,53.81,53.81,54.23,53.03,53.81,35298000,0.00,0.00,52.77,0.00,0.00,0.00,0.00,53.81,0.00,0.00,0.29,False,False,50.80,1011198.35,0,505023.88,506174.48,9406.00,0.12,1010000,,0.00,0.00,0.00,GOOG,0.23
2019-01-09,53.73,54.08,54.13,53.32,53.73,23986000,0.00,0.00,53.06,0.00,0.00,0.00,0.00,53.81,0.00,0.00,0.34,False,False,50.80,1010436.49,0,505023.88,505412.61,9406.00,0.04,1010000,,0.00,0.00,0.00,GOOG,0.47
2019-01-10,53.52,53.38,53.56,52.89,53.52,29128000,0.00,0.00,53.60,0.00,0.00,0.00,0.00,53.81,0.00,0.00,0.32,False,False,50.80,1008400.06,0,505023.88,503376.19,9406.00,-0.16,1010000,,0.00,0.00,0.00,GOOG,0.68
2019-01-11,52.86,53.16,53.19,52.42,52.86,30416000,0.00,0.00,53.47,0.00,0.00,0.00,0.00,53.81,0.00,0.00,0.22,False,False,50.80,1002220.34,0,505023.88,497196.47,9406.00,-0.77,1010000,,0.00,0.00,0.00,GOOG,0.65
2019-01-14,52.23,52.35,52.58,52.06,52.23,22886000,0.00,0.00,53.23,0.00,0.00,0.00,0.00,53.81,0.00,0.00,0.06,False,False,50.80,995085.35,0,252519.69,742565.66,14216.00,-1.48,1010000,week +buy 50% ,0.00,0.00,0.00,GOOG,0.25
2019-01-15,53.86,52.51,54.00,52.37,53.86,29272000,0.00,0.00,53.24,0.00,0.00,0.00,0.00,53.86,0.00,0.00,0.15,False,False,50.80,1018157.88,0,252519.69,765638.19,14216.00,0.81,1010000,,0.00,0.00,0.00,GOOG,1.13
2019-01-16,54.05,54.00,54.62,53.97,54.05,26636000,0.00,0.00,53.30,0.00,0.00,0.00,0.00,54.05,0.00,0.00,0.22,False,False,50.80,1020873.17,0,252519.69,768353.48,14216.00,1.08,1010000,,0.00,0.00,0.00,GOOG,1.30
2019-01-17,54.49,53.97,54.59,53.67,54.49,24854000,0.00,0.00,53.50,0.00,0.00,0.00,0.00,54.49,0.00,0.00,0.30,False,False,50.80,1027220.59,0,252519.69,774700.90,14216.00,1.71,1010000,,0.00,0.00,0.00,GOOG,1.87
2019-01-18,54.91,55.00,55.42,54.54,54.91,39112000,0.00,0.00,53.91,0.00,0.00,0.00,0.00,54.91,0.00,0.00,0.38,False,False,50.80,1033162.87,0,252519.69,780643.18,14216.00,2.29,1010000,,0.00,0.00,0.00,GOOG,2.90
2019-01-22,53.53,54.40,54.58,53.17,53.53,32270000,0.00,0.00,54.17,0.00,0.00,0.00,0.00,54.91,0.00,0.00,0.24,False,False,50.80,1013445.32,0,252519.69,760925.63,14216.00,0.34,1010000,,55.94,0.00,0.00,GOOG,1.87
2019-01-23,53.78,53.87,54.25,52.99,53.78,19340000,0.00,0.00,54.15,0.00,0.00,0.00,0.00,54.91,0.00,0.00,0.16,False,False,50.80,1017034.84,0,252519.69,764515.15,14216.00,0.70,1010000,,56.99,0.00,0.00,GOOG,1.98
2019-01-24,53.69,53.82,53.97,53.03,53.69,27226000,0.00,0.00,54.08,0.00,0.00,0.00,0.00,54.91,0.00,0.00,0.09,False,False,50.80,1015847.81,0,252519.69,763328.12,14216.00,0.58,1010000,,65.68,0.00,0.00,GOOG,2.06
2019-01-25,54.55,54.25,54.70,54.09,54.55,22382000,0.00,0.00,54.09,0.00,0.00,0.00,0.00,54.91,0.00,0.00,0.13,False,False,50.80,1027995.37,0,252519.69,775475.69,14216.00,1.78,1010000,,56.90,0.00,0.00,GOOG,2.71
2019-01-28,53.50,54.01,54.15,53.19,53.50,25686000,0.00,0.00,53.81,0.00,0.00,0.00,0.00,54.91,0.00,0.00,0.02,False,False,50.80,1012504.44,0,126264.16,886240.28,16564.00,0.25,1010000,week +buy 50% ,50.51,0.00,0.00,GOOG,2.05
2019-01-29,53.03,53.63,53.76,52.79,53.03,20436000,0.00,0.00,53.71,0.00,0.00,0.00,0.00,54.91,0.00,0.00,-0.11,False,False,50.80,1004669.61,0,126264.16,878405.45,16564.00,-0.53,1010000,,45.31,0.00,0.00,GOOG,1.94
2019-01-30,54.45,53.42,54.55,53.34,54.45,25596000,55.38,51.63,53.85,53.50,0.00,0.00,0.00,54.91,0.00,0.00,-0.02,False,False,50.80,1028223.63,0,126264.16,901959.48,16564.00,1.80,1010000,,53.71,0.00,0.00,GOOG,3.35
2019-01-31,55.82,55.15,55.87,54.77,55.82,30766000,55.73,51.63,54.27,53.68,0.00,0.00,0.00,55.82,0.00,0.00,0.19,False,False,50.80,1050841.80,0,126264.16,924577.64,16564.00,4.04,1010000,,60.61,0.00,0.00,GOOG,4.11
2019-02-01,55.54,55.62,56.25,55.24,55.54,29244000,55.63,52.20,54.47,53.92,0.00,0.00,0.00,55.82,0.00,0.00,0.27,False,False,50.80,1055848.50,0,68169.63,987678.87,17784.00,3.51,1020000,week +buy 50% Monthly invest,62.79,88.00,0.00,GOOG,4.11
2019-02-04,56.64,55.63,56.64,55.45,56.64,51530000,56.16,51.98,55.10,54.07,0.00,0.00,0.00,56.64,0.00,0.00,0.42,False,False,50.80,1075286.03,0,34129.56,1041156.47,18382.00,5.42,1020000,week +buy 50% ,70.12,94.82,0.00,GOOG,4.79
2019-02-05,57.30,56.24,57.34,55.86,57.30,71044000,56.78,51.75,55.95,54.27,0.00,0.00,0.00,57.30,0.00,0.00,0.57,False,False,50.80,1087324.15,0,17084.10,1070240.05,18678.00,6.60,1020000,week +buy 50% ,67.24,94.86,0.00,GOOG,5.23
2019-02-06,55.76,56.98,57.35,55.64,55.76,42112000,56.95,51.77,56.21,54.36,0.00,0.00,0.00,57.30,0.00,0.00,0.44,False,False,50.80,1058555.04,0,8565.97,1049989.07,18830.00,3.78,1020000,week +buy 50% ,57.56,89.71,0.00,GOOG,5.10
2019-02-07,54.94,55.21,55.24,54.30,54.94,40896000,57.01,51.84,56.03,54.42,0.00,0.00,0.00,57.30,96.00,4.00,0.22,False,False,50.80,1042980.31,0,4314.79,1038665.52,18907.00,2.25,1020000,week +buy 50% ,51.88,74.49,0.00,GOOG,4.08
2019-02-08,54.75,54.35,54.95,54.33,54.75,21516000,57.04,51.93,55.88,54.48,0.00,0.00,0.00,57.30,92.00,0.00,0.05,False,False,50.80,1039529.73,0,4314.79,1035214.94,18907.00,1.91,1020000,,49.30,58.39,0.00,GOOG,4.21
2019-02-11,54.75,54.85,55.30,54.64,54.75,21304000,57.02,52.14,55.50,54.58,0.00,0.00,0.00,57.30,88.00,0.00,-0.08,False,False,50.80,1039471.81,0,2168.85,1037302.97,18946.00,1.91,1020000,week +buy 50% ,56.07,52.02,0.00,GOOG,4.26
