Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2015-01-02,146.7893829345703,145.87057945161447,147.67781763232568,145.06566180983967,146.7893829345703,902100,2000.0,0,2000,0.0,0,0.0,2000,"Monthly invest 50.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,146.7893829345703,0.0,LMT,0.0,Hold,0.0,0,157.08819580078125
2015-01-05,143.73681640625,146.47806007131894,147.6930201416184,143.21287660748527,143.73681640625,1506200,2000.0,0,2000,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,146.7893829345703,-0.1329,LMT,0.0,Hold,0.0,0,154.3283233642578
2015-01-06,143.0609893798828,143.98739377124573,145.02770717993727,141.8460409687321,143.0609893798828,1205800,2000.0,0,2000,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,146.7893829345703,-0.2389,LMT,0.0,Hold,0.0,0,152.81080627441406
2015-01-07,144.90618896484375,143.7595791695079,145.05046674828458,143.6836398350499,144.90618896484375,941900,2000.0,0,2000,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,146.7893829345703,-0.2114,LMT,0.0,Hold,0.0,0,154.72024536132812
2015-01-08,148.17138671875,144.95934050342706,149.5002439947673,144.95934050342706,148.17138671875,1950900,2000.0,0,2000,0.0,0,0.0,2000,,0.0,145.333,0.0,0.0,0.0,0.0,148.17138671875,-0.039,LMT,0.0,Hold,0.0,0,157.43841552734375
2015-01-09,148.08786010742188,148.1410083740966,149.6445238265159,147.93599301971622,148.08786010742188,1439500,2000.0,0,2000,0.0,0,0.0,2000,,0.0,145.5926,0.0,0.0,0.0,0.0,148.17138671875,0.0688,LMT,0.0,Hold,0.0,0,156.11264038085938
2015-01-12,147.67022705078125,148.45994291302486,149.00667373562305,147.0931274432462,147.67022705078125,896400,2000.0,0,2000,0.0,0,0.0,2000,,0.0,146.3793,0.0,0.0,0.0,0.0,148.17138671875,0.1156,LMT,0.0,Hold,0.0,0,154.95370483398438
2015-01-13,147.5791015625,148.93832766321688,150.68482816905498,146.3109818119347,147.5791015625,1095000,2000.0,0,2000,0.0,0,0.0,2000,,0.0,147.283,0.0,0.0,0.0,0.0,148.17138671875,0.1359,LMT,0.0,Hold,0.0,0,154.5451202392578
2015-01-14,146.72860717773438,147.42720497786968,147.49555500893462,145.5136590157788,146.72860717773438,1101100,2000.0,0,2000,0.0,0,0.0,2000,,0.0,147.6474,0.0,0.0,0.0,0.0,148.17138671875,0.1052,LMT,0.0,Hold,0.0,0,153.63623046875
2015-01-15,146.07562255859375,147.4348605854252,147.8676824803386,145.68077034242836,146.07562255859375,896600,2000.0,0,2000,0.0,0,0.0,2000,,0.0,147.2283,0.0,0.0,0.0,0.0,148.17138671875,0.0525,LMT,0.0,Hold,0.0,0,152.20216369628906
