Date,price,Open,High,Low,Close,Volume,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_down_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,rate_vs
2019-03-29,78.29,87.33,88.60,78.02,78.29,71485200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.29,0.00,0.00,0.00,False,False,78.29,1010000.00,0.00,1010000.00,0.00,0.00,0.00,1010000,Monthly invest,0.00,0.00,0.00,LYFT,0.00
2019-04-01,69.01,74.90,75.00,67.78,69.01,41799300,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.29,0.00,0.00,-0.76,False,False,69.01,1017462.85,0.00,510032.30,507430.55,7353.00,-0.25,1020000,week +buy 50% Monthly invest,0.00,0.00,0.00,LYFT,1.31
2019-04-02,68.97,66.90,70.20,66.10,68.97,22483300,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.29,0.00,0.00,-1.21,False,False,68.97,1015900.02,0.00,255022.96,760877.05,11032.00,-0.40,1020000,week +buy 50% ,0.00,0.00,0.00,LYFT,1.35
2019-04-03,70.00,70.06,72.00,69.12,70.00,15648300,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.29,0.00,0.00,-1.35,False,False,68.97,1026628.76,0.00,127548.76,899080.00,12844.00,0.65,1020000,week +buy 50% ,0.00,0.00,0.00,LYFT,1.60
2019-04-04,72.00,70.48,72.89,70.22,72.00,9229300,0.00,0.00,71.65,0.00,0.00,0.00,0.00,78.29,0.00,0.00,-1.19,False,False,68.97,1051999.60,0.00,63799.60,988200.00,13725.00,3.14,1020000,week +buy 50% ,0.00,0.00,0.00,LYFT,1.93
2019-04-05,74.45,73.94,76.10,73.30,74.45,11200100,0.00,0.00,70.89,0.00,0.00,0.00,0.00,78.29,0.00,0.00,-0.81,False,False,68.97,1085467.23,0.00,31925.33,1053541.91,14151.00,6.42,1020000,week +buy 50% ,0.00,0.00,0.00,LYFT,2.58
2019-04-08,70.23,74.99,74.99,70.23,70.23,6599500,0.00,0.00,71.13,0.00,0.00,0.00,0.00,78.29,0.00,0.00,-0.88,False,False,68.97,1025670.74,0.00,15973.99,1009696.76,14377.00,0.56,1020000,week +buy 50% ,0.00,0.00,0.00,LYFT,2.69
2019-04-09,67.44,69.50,69.70,67.11,67.44,8223300,0.00,0.00,70.82,0.00,0.00,0.00,0.00,78.29,0.00,0.00,-1.11,False,False,67.44,985558.90,0.00,15973.99,969584.92,14377.00,-3.38,1020000,,0.00,0.00,0.00,LYFT,1.97
2019-04-10,60.12,67.25,67.35,59.75,60.12,26392100,0.00,0.00,68.85,0.00,0.00,0.00,0.00,78.29,0.00,0.00,-1.84,False,False,60.12,880319.21,0.00,15973.99,864345.22,14377.00,-13.69,1020000,,0.00,0.00,0.00,LYFT,2.44
2019-04-11,61.01,61.10,62.30,60.31,61.01,12405700,0.00,0.00,66.65,0.00,0.00,0.00,0.00,78.29,0.00,0.00,-2.12,False,False,60.12,893114.73,0.00,15973.99,877140.75,14377.00,-12.44,1020000,,0.00,0.00,0.00,LYFT,2.41
2019-04-12,59.90,61.38,61.49,57.66,59.90,13787500,0.00,0.00,63.74,0.00,0.00,0.00,0.00,78.29,0.00,0.00,-2.29,False,False,59.90,877084.41,0.00,15973.99,861110.42,14377.00,-14.01,1020000,,0.00,0.00,0.00,LYFT,3.33
2019-04-15,56.11,59.72,59.80,55.56,56.11,14345900,0.00,0.00,60.92,0.00,0.00,0.00,0.00,78.29,0.00,0.00,-2.62,False,False,56.11,822627.91,0.00,8022.92,814604.99,14518.00,-19.35,1020000,week +buy 50% ,0.00,0.00,0.00,LYFT,3.24
2019-04-16,56.25,56.86,57.94,56.18,56.25,9965000,0.00,0.00,58.68,0.00,0.00,0.00,0.00,78.29,0.00,0.00,-2.68,False,False,56.11,824660.42,0.00,8022.92,816637.50,14518.00,-19.15,1020000,,0.00,0.00,0.00,LYFT,3.34
