Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2015-01-02,78.08199310302734,78.21138814137034,78.55974479536005,77.33551130436129,78.08199310302734,18177500,1215.2759693145754,0,1215.2759693145754,0.0,10,-39.23620153427123,2000,"Buy 10 shares (Rebalance - MRI:0.32, Cash:1.00) Monthly invest",0.0,0.0,0.0,0.0,0.0,0.0,78.08199310302734,0.0,META,0.3244,Hold,0.0,0.0,157.63282775878906
2015-01-05,76.8279037475586,77.61419876477522,78.878237847133,76.49944995677095,76.8279037475586,26452200,1520.282747192383,0,752.0037097167972,768.2790374755859,16,-23.98586264038084,2000,"Buy 6 shares (Rebalance - MRI:0.33, Cash:0.61) ",0.0,0.0,0.0,0.0,0.0,0.0,78.08199310302734,-0.1026,META,0.3298,Hold,-0.4645901641845751,12.0,154.86338806152344
2015-01-06,75.79279327392578,76.86772897814596,77.22603328594651,75.00649813437246,75.79279327392578,27399300,1431.4861014175417,0,218.80140903472932,1212.6846923828125,23,-28.425694929122912,2000,Buy 7 shares (Regular Buy - MRI:0.33) ,0.0,0.0,0.0,0.0,0.0,0.0,78.08199310302734,-0.2466,META,0.3315,Hold,-1.3782864532470684,12.0,153.34056091308594
2015-01-07,75.79279327392578,76.39993246277572,76.99711643391822,75.46433943203525,75.79279327392578,22045300,1809.6921398544314,0,66.4578945541385,1743.234245300293,25,-9.515393007278428,2000,Buy 2 shares (Regular Buy - MRI:0.32) ,0.0,0.0,0.0,0.0,0.0,0.0,78.08199310302734,-0.3237,META,0.321,Hold,-0.2286404571533284,12.0,155.2566375732422
2015-01-08,77.81326293945312,76.38001545711485,77.86303143010313,75.72311542344683,77.81326293945312,23961000,2011.7894680404665,0,66.4578945541385,1945.3315734863281,25,0.5894734020233328,2000,,0.0,76.8617,0.0,0.0,0.0,0.0,78.08199310302734,-0.1871,META,0.3133,Hold,1.4079104461669931,12.0,157.98422241210938
2015-01-09,77.37532806396484,77.83316934320655,78.25120494043233,76.83786023347957,77.37532806396484,21157000,2000.8410961532595,0,66.4578945541385,1934.383201599121,25,0.042054807662972316,2000,,0.0,76.7204,0.0,0.0,0.0,0.0,78.08199310302734,-0.1258,META,0.3134,Hold,0.609735397338862,12.0,156.6539306640625
2015-01-12,76.36011505126953,77.47485637875296,77.63410947902533,75.85250528615859,76.36011505126953,19190200,1975.4607708358767,0,66.4578945541385,1909.0028762817383,25,-1.226961458206166,2000,,0.0,76.6269,0.0,0.0,0.0,0.0,78.08199310302734,-0.1623,META,0.3198,Hold,-0.0880978546142663,12.0,155.49087524414062
2015-01-13,76.09136962890625,76.86771702362014,77.71372815063356,75.49418575063825,76.09136962890625,25179600,1968.7421352767947,0,66.4578945541385,1902.2842407226562,25,-1.5628932361602677,2000,,0.0,76.6866,0.0,0.0,0.0,0.0,78.08199310302734,-0.1965,META,0.3243,Hold,-0.3340634307861356,12.0,155.0809326171875
2015-01-14,75.92218017578125,76.06152284824434,76.83786276442613,75.67335289015344,75.92218017578125,25918600,1964.5123989486697,0,66.4578945541385,1898.0545043945312,25,-1.7743800525665154,2000,,0.0,76.7125,0.0,0.0,0.0,0.0,78.08199310302734,-0.2188,META,0.3252,Hold,-0.8812649688720753,12.0,154.16893005371094
2015-01-15,73.70263671875,76.0416114208402,76.21081213349746,73.19502698717297,73.70263671875,34134000,1909.0238125228884,0,66.4578945541385,1842.56591796875,25,-4.548809373855578,2000,,0.0,75.8903,0.0,0.0,0.0,0.0,78.08199310302734,-0.4029,META,0.3247,Hold,-1.7447079620361403,12.0,152.7298583984375
2015-01-16,74.82733917236328,73.69268739477293,74.96668184023537,73.49362101666576,74.82733917236328,21791500,1937.1413738632205,0,66.4578945541385,1870.683479309082,25,-3.142931306838981,2000,,0.0,75.3807,0.0,0.0,0.0,0.0,78.08199310302734,-0.4,META,0.321,Hold,-0.6101681671142667,12.0,154.62075805664062
2015-01-20,75.88236236572266,75.3648049837218,75.95203369779212,74.46902529025328,75.88236236572266,22821600,1963.5169536972048,0,66.4578945541385,1897.0590591430664,25,-1.8241523151397598,2000,,0.0,75.2852,0.0,0.0,0.0,0.0,78.08199310302734,-0.2837,META,0.3145,Hold,-0.3792630157470777,12.0,155.00559997558594
2015-01-21,76.38002014160156,75.8027466201264,76.93739841536537,75.49419562766246,76.38002014160156,25096700,1975.9583980941775,0,66.4578945541385,1909.500503540039,25,-1.2020800952911248,2000,,0.0,75.3429,0.0,0.0,0.0,0.0,78.08199310302734,-0.1483,META,0.3123,Hold,0.1076876678466787,12.0,155.8171844482422
2015-01-22,77.28575134277344,76.80799964465785,77.38528073174588,76.32030032316896,77.28575134277344,19519500,1998.6016781234744,0,66.4578945541385,1932.143783569336,25,-0.06991609382628328,2000,,46.68326859724492,75.6156,0.0,0.0,0.0,0.0,78.08199310302734,0.0265,META,0.301,Hold,1.538446334838861,12.0,158.2017822265625
2015-01-23,77.46490478515625,77.28574885333437,77.8232166488,76.67860972847164,77.46490478515625,16746500,2003.0805141830447,0,66.4578945541385,1936.6226196289062,25,0.154025709152239,2000,,47.46732982922646,76.3681,0.0,0.0,0.0,0.0,78.08199310302734,0.1558,META,0.2969,Buy,1.0163394012451032,12.0,157.33160400390625
2015-01-26,77.1364517211914,77.61420340852196,78.10190271900126,76.927437730986,77.1364517211914,19260800,1994.8691875839236,0,66.4578945541385,1928.4112930297852,25,-0.25654062080382456,2000,,51.37048041706089,76.8299,0.0,0.0,0.0,0.0,78.08199310302734,0.2073,META,0.2914,Buy,1.2020815887451075,12.0,157.64117431640625
2015-01-27,75.42452239990234,76.35016016685373,76.51936089142619,75.27522451614777,75.42452239990234,20110000,1952.070954551697,0,66.4578945541385,1885.6130599975586,25,-2.3964522724151505,2000,,48.45701901315705,76.7383,0.0,0.0,0.0,0.0,78.08199310302734,0.0914,META,0.3014,Hold,-0.0378994903564522,12.0,155.5745391845703
2015-01-28,75.88236236572266,76.53927000546811,77.27579660071747,75.64349031199961,75.88236236572266,53306400,1963.5169536972048,0,66.4578945541385,1897.0590591430664,25,-1.8241523151397598,2000,,50.3614109186733,76.6388,0.0,0.0,0.0,0.0,78.08199310302734,0.0574,META,0.312,Hold,-1.2678463897705106,12.0,153.52462768554688
2015-01-29,77.63410949707031,76.48950251781542,77.6540123378061,73.8618871115569,77.63410949707031,61293500,2007.3106319808962,0,66.4578945541385,1940.8527374267578,25,0.3655315990448216,2000,,49.26109273440371,76.7085,0.0,0.0,0.0,0.0,78.08199310302734,0.1844,META,0.3049,Hold,-0.3742276153564483,12.0,155.0139923095703
2015-01-30,75.55391693115234,77.63410929159905,77.79336239148694,75.39466383126445,75.55391693115234,42649500,1955.305817832947,0,66.4578945541385,1888.8479232788086,25,-2.2347091083526505,2000,,43.383962727424894,76.3263,76.3616,0.0,0.0,0.0,78.08199310302734,0.0855,META,0.3115,Hold,-1.5188290557861417,12.0,153.1063232421875
2015-02-02,74.63822937011719,75.75297832699026,75.78283638584834,73.4040481778118,74.63822937011719,41955300,2107.2880031204227,0,241.3322688674931,1865.9557342529297,36,-29.75706656265258,3000,Buy 11 shares (Regular Buy - MRI:0.30) Monthly invest,43.69992468639336,75.8266,76.1894,0.0,0.0,0.0,78.08199310302734,-0.0533,META,0.3031,Hold,-0.4904007288614842,19.0,154.86338806152344
2015-02-03,75.04630279541016,74.83728880918783,75.22545872554434,73.51352596950774,75.04630279541016,26957700,2792.156100883484,0,90.4892002487187,2701.6669006347656,38,-6.928129970550523,3000,Buy 2 shares (Regular Buy - MRI:0.30) ,46.21487654460858,75.751,76.1003,0.0,0.0,0.0,78.08199310302734,-0.099,META,0.2992,Buy,0.9403202997843474,19.0,157.12242126464844
2015-02-04,75.27523803710938,74.73777011521624,75.99186193296688,74.65815114403765,75.27523803710938,20277400,2950.948245658875,0,90.4892002487187,2860.4590454101562,38,-1.63505847803751,3000,,47.66693997039516,75.6296,76.0745,0.0,0.0,0.0,78.08199310302734,-0.0985,META,0.3067,Hold,0.6012043940226253,19.0,156.58697509765625
2015-02-05,75.25532531738281,75.35485471350074,75.62359243598596,74.85720013930491,75.25532531738281,15062600,2950.1915623092655,0,90.4892002487187,2859.702362060547,38,-1.6602812563578206,3000,,56.65530818334031,75.1538,76.0476,0.0,0.0,0.0,78.08199310302734,-0.0898,META,0.2993,Buy,1.6080281244913674,19.0,158.17669677734375
2015-02-06,74.12066650390625,75.3249895486237,75.34489238852738,73.90169729693845,74.12066650390625,21211000,2907.074527397156,0,90.4892002487187,2816.5853271484375,38,-3.097515753428126,3000,,46.97356340241723,74.8672,75.863,0.0,0.0,0.0,78.08199310302734,-0.1701,META,0.31,Hold,1.3271758702596117,19.0,157.73324584960938
2015-02-09,74.09081268310547,73.70264273714513,74.4789826290658,73.10545119541611,74.09081268310547,16194300,2905.9400822067264,0,90.4892002487187,2815.450881958008,38,-3.13533059310912,3000,,41.58883124363311,74.7577,75.6987,0.0,0.0,0.0,78.08199310302734,-0.2088,META,0.3182,Hold,0.8714940058390352,19.0,157.0137481689453
2015-02-10,74.83729553222656,74.49888648108073,74.98658582607884,74.15052980608209,74.83729553222656,15811300,2934.306430473328,0,90.4892002487187,2843.8172302246094,38,-2.1897856508890645,3000,,42.92240575481552,74.7159,75.6226,0.0,0.0,0.0,78.08199310302734,-0.1531,META,0.3145,Hold,1.9312275873820008,19.0,158.68701171875
2015-02-11,76.1511001586914,74.73775548798078,76.38997221269088,74.67803937288232,76.1511001586914,20877400,2984.231006278992,0,90.4892002487187,2893.7418060302734,38,-0.5256331240335976,3000,,44.98240547370268,74.891,75.6256,0.0,0.0,0.0,78.08199310302734,0.0077,META,0.3123,Hold,2.000111864725751,19.0,158.7957763671875
2015-02-12,75.87242126464844,76.49946330717712,76.50941852507303,75.53401219864432,75.87242126464844,17235000,2973.641208305359,0,90.4892002487187,2883.1520080566406,38,-0.8786263898213575,3000,,43.01925032106164,75.0145,75.6231,0.0,0.0,0.0,78.08199310302734,0.091,META,0.3021,Hold,2.9327748285929323,19.0,160.26840209960938
