Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2015-01-02,0.48309916257858276,0.48309916257858276,0.4866990324626366,0.4754194783045949,0.48309916257858276,113680000,2000.0,0,2000.0,0.0,0,0.0,2000,"Monthly invest 50.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,0.48309916257858276,0.0,NVDA,0.3244,Hold,0.0,0,157.08824157714844
2015-01-05,0.4749394655227661,0.4830991222301347,0.4845390700634918,0.4727795723817234,0.4749394655227661,197952000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,0.48309916257858276,-0.1079,NVDA,0.3298,Hold,0.0,0,154.32835388183594
2015-01-06,0.46053996682167053,0.47565930021040603,0.4761392731447024,0.4600599938873741,0.46053996682167053,197764000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,0.48309916257858276,-0.3614,NVDA,0.3315,Hold,0.0,0,152.81085205078125
2015-01-07,0.45934009552001953,0.4638998820571845,0.4679797241903197,0.4579001478719731,0.45934009552001953,321808000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,0.48309916257858276,-0.5179,NVDA,0.321,Hold,0.0,0,154.72023010253906
2015-01-08,0.4766193628311157,0.46461989348940763,0.4794992583603189,0.46437989265897683,0.4766193628311157,283780000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.4709,0.0,0.0,0.0,0.0,0.48309916257858276,-0.3558,NVDA,0.3133,Hold,0.0,0,157.43841552734375
2015-01-09,0.47853922843933105,0.47829925624557706,0.48213909743552436,0.47181952066141747,0.47853922843933105,209540000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.47,0.0,0.0,0.0,0.0,0.48309916257858276,-0.2067,NVDA,0.3134,Hold,0.0,0,156.1126708984375
2015-01-12,0.4725394546985626,0.4797391348671515,0.4799791356496988,0.46821964087561213,0.4725394546985626,190732000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.4695,0.0,0.0,0.0,0.0,0.48309916257858276,-0.1793,NVDA,0.3198,Hold,0.0,0,154.95370483398438
2015-01-13,0.47181954979896545,0.4761393642521823,0.4857389392108907,0.46845971000701353,0.47181954979896545,236720000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.4718,0.0,0.0,0.0,0.0,0.48309916257858276,-0.1585,NVDA,0.3243,Hold,0.0,0,154.54507446289062
2015-01-14,0.47373947501182556,0.4667797945442587,0.4751794227129037,0.46557984766302374,0.47373947501182556,155260000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.4747,0.0,0.0,0.0,0.0,0.48309916257858276,-0.1072,NVDA,0.3252,Hold,0.0,0,153.6362762451172
2015-01-15,0.4703795909881592,0.4770992986134475,0.4799791651360032,0.47013959019086804,0.4703795909881592,188932000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.4734,0.0,0.0,0.0,0.0,0.48309916257858276,-0.11,NVDA,0.3247,Hold,0.0,0,152.20211791992188
2015-01-16,0.47901928424835205,0.4696596810171381,0.4794992572991598,0.4682197332557232,0.47901928424835205,181512000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.4735,0.0,0.0,0.0,0.0,0.48309916257858276,0.0148,NVDA,0.321,Hold,0.0,0,154.08648681640625
2015-01-20,0.48045918345451355,0.4823790754637203,0.4850189412808738,0.4744594207942824,0.48045918345451355,140308000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.4751,0.0,0.0,0.0,0.0,0.48309916257858276,0.1164,NVDA,0.3145,Hold,0.0,0,154.47006225585938
2015-01-21,0.4871790111064911,0.4778194345790857,0.48837898689125825,0.4744595653215319,0.4871790111064911,144780000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.4782,0.0,0.0,0.0,0.0,0.4871790111064911,0.2682,NVDA,0.3123,Hold,0.0,0,155.2788543701172
2015-01-22,0.4955787658691406,0.48813905188675505,0.4970187142023769,0.4830992899384338,0.4955787658691406,159712000,2000.0,0,2000.0,0.0,0,0.0,2000,,57.784488354851874,0.4825,0.0,0.0,0.0,0.0,0.4955787658691406,0.4647,NVDA,0.301,Hold,0.0,0,157.6551971435547
2015-01-23,0.497018426656723,0.49605842351129636,0.497978372584177,0.4919786104061375,0.497018426656723,120416000,1990.0521761904658,0,0.4874142836035844,1989.5647619068623,4003,-0.49739119047670366,2000,cash_0%_Buy 100% of cash (4003 shares - Very Safe - MRI:0.30),58.52932421450551,0.4879,0.0,0.0,0.0,0.0,0.497018426656723,0.5842,NVDA,0.2969,Buy,0.0,0,156.78807067871094
