Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2015-01-02,20.23666763305664,20.433332443237305,20.49333381652832,19.600000381469727,20.23666763305664,9902400,2000.0,0,2000.0,0.0,0,0.0,2000,"Monthly invest 50.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,20.23666763305664,0.0,PANW,0.0,Hold,0.0,0.0,188.3999938964844
2015-01-05,20.62166786193848,20.12166786193848,20.69833374023437,20.030000686645508,20.62166786193848,8101200,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,20.62166786193848,0.1212,PANW,0.0,Hold,0.0,0.0,185.08999633789065
2015-01-06,20.308332443237305,20.666667938232425,20.864999771118164,19.68166732788086,20.308332443237305,8107200,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,20.62166786193848,0.0919,PANW,0.0,Hold,0.0,0.0,183.2700042724609
2015-01-07,20.921667098999023,20.726667404174805,21.161666870117188,20.604999542236328,20.921667098999023,7582800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,20.921667098999023,0.2606,PANW,0.0,Hold,0.0,0.0,185.5599975585937
2015-01-08,21.20166778564453,21.09333229064941,21.270000457763672,20.96666717529297,21.20166778564453,4288800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,20.658,0.0,0.0,0.0,0.0,21.20166778564453,0.4381,PANW,0.0,Hold,0.0,0.0,188.82000732421875
2015-01-09,20.96999931335449,21.19833374023437,21.56999969482422,20.96333312988281,20.96999931335449,5563200,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,20.8047,0.0,0.0,0.0,0.0,21.20166778564453,0.4511,PANW,0.0,Hold,0.0,0.0,187.22999572753903
2015-01-12,21.21333312988281,20.99833297729492,21.33833312988281,20.666667938232425,21.21333312988281,5253000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,20.923,0.0,0.0,0.0,0.0,21.21333312988281,0.5073,PANW,0.0,Hold,0.0,0.0,185.83999633789065
2015-01-13,20.791667938232425,21.233333587646484,21.43166732788086,20.530000686645508,20.791667938232425,6830400,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,21.0197,0.0,0.0,0.0,0.0,21.21333312988281,0.3808,PANW,0.0,Hold,0.0,0.0,185.3500061035156
2015-01-14,21.049999237060547,20.63166618347168,21.07999992370605,20.53333282470703,21.049999237060547,4902600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,21.0453,0.0,0.0,0.0,0.0,21.21333312988281,0.3559,PANW,0.0,Hold,0.0,0.0,184.259994506836
2015-01-15,20.34666633605957,21.176666259765625,21.19833374023437,20.21666717529297,20.34666633605957,6967800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,20.8743,0.0,0.0,0.0,0.0,21.21333312988281,0.0989,PANW,0.0,Hold,0.0,0.0,182.5399932861328
2015-01-16,20.834999084472656,20.27833366394043,20.86333274841309,20.26333236694336,20.834999084472656,5076000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,20.8473,0.0,0.0,0.0,0.0,21.21333312988281,0.0771,PANW,0.0,Hold,0.0,0.0,184.8000030517578
2015-01-20,20.74333381652832,20.834999084472656,20.9950008392334,20.37666702270508,20.74333381652832,4658400,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,20.7533,0.0,0.0,0.0,0.0,21.21333312988281,0.0247,PANW,0.0,Hold,0.0,0.0,185.259994506836
2015-01-21,20.89166641235352,20.77833366394043,21.031667709350582,20.51000022888184,20.89166641235352,4549800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,20.7733,0.0,0.0,0.0,0.0,21.21333312988281,0.0298,PANW,0.0,Hold,0.0,0.0,186.22999572753903
2015-01-22,20.61333274841309,20.916667938232425,20.93833351135254,20.184999465942383,20.61333274841309,6247800,2000.0,0,2000.0,0.0,0,0.0,2000,,54.22586116357393,20.686,0.0,0.0,0.0,0.0,21.21333312988281,-0.0607,PANW,0.0,Hold,0.0,0.0,189.0800018310547
2015-01-23,21.13500022888184,20.3799991607666,21.36333274841309,20.295000076293945,21.13500022888184,7120800,2000.0,0,2000.0,0.0,0,0.0,2000,,59.022421143251904,20.8437,0.0,0.0,0.0,0.0,21.21333312988281,0.0399,PANW,0.0,Hold,0.0,0.0,188.0399932861328
2015-01-26,21.155000686645508,21.10333251953125,21.22166633605957,20.76000022888184,21.155000686645508,6809400,2000.0,0,2000.0,0.0,0,0.0,2000,,55.78033965128601,20.9077,0.0,0.0,0.0,0.0,21.21333312988281,0.1002,PANW,0.0,Hold,0.0,0.0,188.41000366210932
2015-01-27,21.0,20.75,21.25833320617676,20.625,21.0,3831000,2000.0,0,2000.0,0.0,0,0.0,2000,,57.76282344116527,20.959,0.0,0.0,0.0,0.0,21.21333312988281,0.0783,PANW,0.0,Hold,0.0,0.0,185.94000244140625
2015-01-28,20.90833282470703,21.19499969482422,21.46999931335449,20.76666641235352,20.90833282470703,5195400,2000.0,0,2000.0,0.0,0,0.0,2000,,49.83049647487949,20.9623,0.0,0.0,0.0,0.0,21.21333312988281,0.0255,PANW,0.0,Hold,0.0,0.0,183.4900054931641
2015-01-29,21.54833221435547,20.94833374023437,21.666667938232425,20.83833312988281,21.54833221435547,7269600,2000.0,0,2000.0,0.0,0,0.0,2000,,54.037243074232926,21.1493,0.0,0.0,0.0,0.0,21.54833221435547,0.1795,PANW,0.0,Hold,0.0,0.0,185.2700042724609
2015-01-30,21.065000534057617,21.421667098999023,21.59499931335449,20.94499969482422,21.065000534057617,7054800,2000.0,0,2000.0,0.0,0,0.0,2000,,51.045119237764666,21.1353,20.8778,0.0,0.0,0.0,21.54833221435547,0.1114,PANW,0.0,Hold,0.0,0.0,182.9900054931641
2015-02-02,20.851667404174805,21.02666664123535,21.12166786193848,20.440000534057617,20.851667404174805,8651400,3000.0,0,3000.0,0.0,0,0.0,3000,"Monthly invest 33.3% of total investment ($1,000.00)",45.9948368443665,21.0747,20.9086,0.0,0.0,0.0,21.54833221435547,-0.0095,PANW,0.0,Hold,0.0,0.0,185.08999633789065
2015-02-03,20.58833312988281,20.933332443237305,20.933332443237305,20.21833229064941,20.58833312988281,8341800,3000.0,0,3000.0,0.0,0,0.0,3000,,47.66639260362508,20.9923,20.9069,0.0,0.0,0.0,21.54833221435547,-0.1727,PANW,0.0,Hold,0.0,0.0,187.7899932861328
2015-02-04,20.946666717529297,20.358333587646484,21.038333892822266,20.358333587646484,20.946666717529297,5437800,3000.0,0,3000.0,0.0,0,0.0,3000,,48.840696814484104,21.0,20.9388,0.0,0.0,0.0,21.54833221435547,-0.1637,PANW,0.0,Hold,0.0,0.0,187.1499938964844
2015-02-05,21.184999465942383,21.14166641235352,21.233333587646484,20.96833229064941,21.184999465942383,4797600,3000.0,0,3000.0,0.0,0,0.0,3000,,60.501045976121716,20.9273,20.952,0.0,0.0,0.0,21.54833221435547,-0.0835,PANW,0.0,Hold,0.0,0.0,189.0500030517578
2015-02-06,20.93666648864746,21.268333435058597,21.358333587646484,20.78499984741211,20.93666648864746,4248000,3000.0,0,3000.0,0.0,0,0.0,3000,,51.3549637434143,20.9017,20.9387,0.0,0.0,0.0,21.54833221435547,-0.1113,PANW,0.0,Hold,0.0,0.0,188.5200042724609
2015-02-09,20.83833312988281,20.93166732788086,21.01666641235352,20.59833335876465,20.83833312988281,3883800,3000.0,0,3000.0,0.0,0,0.0,3000,,51.26384900091294,20.899,20.9322,0.0,0.0,0.0,21.54833221435547,-0.1591,PANW,0.0,Hold,0.0,0.0,187.66000366210932
2015-02-10,21.405000686645508,21.059999465942383,21.489999771118164,20.96666717529297,21.405000686645508,3906600,3000.0,0,3000.0,0.0,0,0.0,3000,,56.14526045346164,21.0623,20.9417,0.0,0.0,0.0,21.54833221435547,-0.0142,PANW,0.0,Hold,0.0,0.0,189.66000366210932
2015-02-11,21.953332901000977,21.56833267211914,22.030000686645508,21.524999618530277,21.953332901000977,7326000,3000.0,0,3000.0,0.0,0,0.0,3000,,65.06746781027508,21.2637,20.9998,0.0,0.0,0.0,21.953332901000977,0.2369,PANW,0.0,Hold,0.0,0.0,189.7899932861328
2015-02-12,22.168333053588867,22.420000076293945,22.49333381652832,22.038333892822266,22.168333053588867,6999600,3000.0,0,3000.0,0.0,0,0.0,3000,,62.47986687257428,21.4603,21.0557,0.0,0.0,0.0,22.168333053588867,0.438,PANW,0.0,Hold,0.0,0.0,191.5500030517578
2015-02-13,22.545000076293945,22.524999618530277,22.661666870117188,22.104999542236328,22.545000076293945,7425600,3000.0,0,3000.0,0.0,0,0.0,3000,,65.45588891509308,21.782,21.1657,0.0,0.0,0.0,22.545000076293945,0.6436,PANW,0.0,Hold,0.0,0.0,192.38999938964844
2015-02-17,22.815000534057617,22.76499938964844,23.053333282470703,22.476667404174805,22.815000534057617,7772400,3000.0,0,3000.0,0.0,0,0.0,3000,,69.67836181121912,22.1773,21.2647,0.0,0.0,0.0,22.815000534057617,0.8061,PANW,0.0,Hold,0.0,0.0,192.6999969482422
2015-02-18,22.81333351135254,22.821666717529297,22.875,22.483333587646484,22.81333351135254,4373400,3000.0,0,3000.0,0.0,0,0.0,3000,,71.06525411753286,22.459,21.3682,0.0,0.0,0.0,22.815000534057617,0.8507,PANW,0.0,Hold,0.0,0.0,192.7400054931641
2015-02-19,22.98500061035156,22.981666564941406,23.196666717529297,22.803333282470703,22.98500061035156,4804800,3000.0,0,3000.0,0.0,0,0.0,3000,,67.72206102825534,22.6653,21.4728,0.0,0.0,0.0,22.98500061035156,0.8683,PANW,0.0,Hold,0.0,0.0,192.6100006103516
2015-02-20,23.601667404174805,23.011667251586918,23.74833297729492,22.959999084472656,23.601667404174805,6699600,3000.0,0,3000.0,0.0,0,0.0,3000,,80.29457590363631,22.952,21.6223,0.0,0.0,0.0,23.601667404174805,0.9934,PANW,0.0,Hold,0.0,0.0,193.77999877929688
2015-02-23,23.03333282470703,23.75666618347168,23.916667938232425,22.773332595825195,23.03333282470703,10122600,3000.0,0,3000.0,0.0,0,0.0,3000,,74.01831809345336,23.0497,21.7172,0.0,0.0,0.0,23.601667404174805,0.8356,PANW,0.0,Hold,0.0,0.0,193.72999572753903
2015-02-24,23.101667404174805,23.08666610717773,23.36833381652832,22.989999771118164,23.101667404174805,5619000,3000.0,0,3000.0,0.0,0,0.0,3000,,78.91103059492991,23.107,21.8145,0.0,0.0,0.0,23.601667404174805,0.6917,PANW,0.0,Hold,0.0,0.0,194.3000030517578
2015-02-25,23.676666259765625,23.166667938232425,23.725000381469727,23.155000686645508,23.676666259765625,7074600,3000.0,0,3000.0,0.0,0,0.0,3000,,79.91232609209936,23.2797,21.9483,0.0,0.0,0.0,23.676666259765625,0.7056,PANW,0.0,Hold,0.0,0.0,194.08999633789065
