Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2015-01-02,40.73182678222656,40.6191783098197,40.79723619868391,40.22308995690025,40.73182678222656,1432800,2000.0,0,2000.0,0.0,0,0.0,2000,"Monthly invest 50.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,40.73182678222656,0.0,SRE,0.2583529110627633,Buy,0.0,0,157.08824157714844
2015-01-05,39.98689651489258,40.61555118185696,40.746370038924006,39.79066822929201,39.98689651489258,1946000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,40.73182678222656,-0.1169,SRE,0.2652330348023323,Buy,0.0,0,154.328369140625
2015-01-06,39.61260986328125,40.008698284885966,40.622819980762614,39.57990376317716,39.61260986328125,2360600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,40.73182678222656,-0.243,SRE,0.2681006708886183,Buy,0.0,0,152.810791015625
2015-01-07,40.25216293334961,39.75069253544803,40.41205325111884,39.65621164109276,40.25216293334961,2236800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,40.73182678222656,-0.2079,SRE,0.2577343790252529,Buy,0.0,0,154.72019958496094
2015-01-08,40.61191940307617,40.317575587919876,40.76454047913749,40.317575587919876,40.61191940307617,1494800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,40.2391,0.0,0.0,0.0,0.0,40.73182678222656,-0.117,SRE,0.2488844179899525,Buy,0.0,0,157.43841552734375
2015-01-09,40.244895935058594,40.61918210829597,40.61918210829597,39.96509065496332,40.244895935058594,1807800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,40.1417,0.0,0.0,0.0,0.0,40.73182678222656,-0.1102,SRE,0.2497306033577012,Buy,0.0,0,156.1126708984375
2015-01-12,40.02686309814453,40.42295146482491,40.42295146482491,39.754324315504974,40.02686309814453,1134200,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,40.1497,0.0,0.0,0.0,0.0,40.73182678222656,-0.1329,SRE,0.2572209450864074,Buy,0.0,0,154.95372009277344
2015-01-13,40.26670455932617,40.452031748178044,40.880826303861554,40.048674040187265,40.26670455932617,2213400,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,40.2805,0.0,0.0,0.0,0.0,40.73182678222656,-0.1002,SRE,0.2619192351401052,Buy,0.0,0,154.5451202392578
2015-01-14,40.502906799316406,40.095914450201,40.52470902023754,39.77250190196421,40.502906799316406,1479400,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,40.3307,0.0,0.0,0.0,0.0,40.73182678222656,-0.0347,SRE,0.2637867456866296,Buy,0.0,0,153.6363067626953
2015-01-15,40.75001525878906,40.65190247668935,40.91353748642491,40.40116580673266,40.75001525878906,1656000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,40.3583,0.0,0.0,0.0,0.0,40.75001525878906,0.0496,SRE,0.2645545752936427,Buy,0.0,0,152.20211791992188
2015-01-16,41.044342041015625,40.619182179740385,41.062512403254615,40.408418176363455,41.044342041015625,1874400,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,40.5182,0.0,0.0,0.0,0.0,41.044342041015625,0.1484,SRE,0.2598590565894026,Buy,0.0,0,154.08653259277344
2015-01-20,41.30598068237305,41.13882388107798,41.35322251631841,40.84811748542017,41.30598068237305,1651200,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,40.774,0.0,0.0,0.0,0.0,41.30598068237305,0.2455,SRE,0.2535716226458196,Buy,0.0,0,154.4700927734375
2015-01-21,41.607574462890625,41.1787801348222,41.68388496546123,40.98618656560966,41.607574462890625,1733600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,41.0422,0.0,0.0,0.0,0.0,41.607574462890625,0.3419,SRE,0.2505288467485065,Buy,0.0,0,155.27886962890625
2015-01-22,41.61123275756836,41.72024663507499,41.93827993490541,41.34959501569872,41.61123275756836,1434400,1990.2213603019716,0,34.49342069625868,1955.727939605713,47,-0.48893198490141954,2000,cash_2%_Buy 100% of cash (47 shares - Very Safe - MRI:0.24),60.25438121240751,41.2638,0.0,0.0,0.0,0.0,41.61123275756836,0.3851,SRE,0.2387725217947548,Buy,-0.4729654998779087,12,157.65516662597656
2015-01-23,41.818359375,41.77475216347143,42.11633505609089,41.603960717161705,41.818359375,1105400,1999.9563113212587,0,34.49342069625868,1965.462890625,47,-0.00218443393706913,2000,,62.085800749857,41.4775,0.0,0.0,0.0,0.0,41.818359375,0.4236,SRE,0.2360053412046232,Buy,-0.9932413787841599,12,156.7880401611328
2015-01-26,41.618492126464844,41.66936581508699,41.851058352282706,41.207867990469445,41.618492126464844,1101000,1990.5625506401063,0,34.49342069625868,1956.0691299438477,47,-0.47187246799468285,2000,,70.6530252358101,41.5923,0.0,0.0,0.0,0.0,41.818359375,0.3929,SRE,0.2303281252501776,Buy,-0.808140060424789,12,157.09654235839844
2015-01-27,41.62212371826172,41.44043119431562,41.82561845791083,41.385922882650206,41.62212371826172,1240600,1990.7332354545595,0,34.49342069625868,1956.2398147583008,47,-0.46333822727202545,2000,,78.07084667294748,41.6556,0.0,0.0,0.0,0.0,41.818359375,0.3513,SRE,0.2400961846186415,Buy,-2.0438273162841636,12,155.0370635986328
2015-01-28,41.18606948852539,41.63303442029371,42.22898581437911,41.10249246079859,41.18606948852539,1425800,1970.238686656952,0,34.49342069625868,1935.7452659606934,47,-1.488065667152394,2000,,63.83211934523742,41.5713,0.0,0.0,0.0,0.0,41.818359375,0.2362,SRE,0.2523816004513373,Buy,-3.2694987030029043,12,152.99427795410156
