Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2015-01-02,86.19258880615234,86.80837338551018,87.76626123396426,85.53404539633068,86.19258880615234,3060900,2000.0,0,2000.0,0.0,0,0.0,2000,"Monthly invest 50.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,86.19258880615234,0.0,UNH,0.2584,Buy,0.0,0,157.08822631835938
2015-01-05,84.77287292480469,85.78207402599561,85.91035704833041,84.45642624453149,84.77287292480469,4679000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,86.19258880615234,-0.1052,UNH,0.2652,Buy,0.0,0,154.32835388183594
2015-01-06,84.60182189941406,85.3801070710141,85.64523402943365,84.20840538769939,84.60182189941406,3468300,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,86.19258880615234,-0.1784,UNH,0.2681,Buy,0.0,0,152.81082153320312
2015-01-07,85.46564483642578,84.63604632180216,85.7820915814604,84.60183533381904,85.46564483642578,3225800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,86.19258880615234,-0.1501,UNH,0.2577,Buy,0.0,0,154.72023010253906
2015-01-08,89.54519653320312,86.86825071300171,89.78467341598875,86.14128526279524,89.54519653320312,5346100,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,86.1156,0.0,0.0,0.0,0.0,89.54519653320312,0.1792,UNH,0.2489,Buy,0.0,0,157.43844604492188
2015-01-09,88.7070541381836,89.30573005848322,89.48533283457311,88.00574526365625,88.7070541381836,3397600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,86.6185,0.0,0.0,0.0,0.0,89.54519653320312,0.3137,UNH,0.2497,Buy,0.0,0,156.11268615722656
2015-01-12,87.7063980102539,88.80112330570797,88.94651508164976,87.15903536252688,87.7063980102539,3051500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,87.2052,0.0,0.0,0.0,0.0,89.54519653320312,0.3073,UNH,0.2572,Buy,0.0,0,154.95367431640625
2015-01-13,88.15113067626953,88.89520485915243,90.31492473530648,87.09916417806114,88.15113067626953,3856500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,87.9151,0.0,0.0,0.0,0.0,89.54519653320312,0.3188,UNH,0.2619,Buy,0.0,0,154.54513549804688
2015-01-14,88.37351989746094,86.90247993415976,88.50180948032171,86.53471994333447,88.37351989746094,4725600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,88.4967,0.0,0.0,0.0,0.0,89.54519653320312,0.3238,UNH,0.2638,Buy,0.0,0,153.6362762451172
2015-01-15,89.33992004394531,88.57018938085743,89.4511008244171,88.20242953766414,89.33992004394531,5888900,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,88.4556,0.0,0.0,0.0,0.0,89.54519653320312,0.3779,UNH,0.2646,Buy,0.0,0,152.20211791992188
