Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2015-01-02,157.08819580078125,157.83027861879071,158.18881987574417,156.13766261004102,157.08819580078125,1865000,2000.0,0,2000.0,0.0,0,0.0,2000,"Monthly invest 50.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,157.08819580078125,0.0,VOO,0.2584,Buy,0.0,0,157.08819580078125
2015-01-05,154.32830810546875,156.13765573435916,156.26273358617033,153.96977958710454,154.32830810546875,2734700,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,157.08819580078125,-0.1123,VOO,0.2652,Buy,0.0,0,154.32830810546875
2015-01-06,152.81080627441406,154.56178181143912,154.98702872406054,152.0520438469692,152.81080627441406,2245300,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,157.08819580078125,-0.2387,VOO,0.2681,Buy,0.0,0,152.81080627441406
2015-01-07,154.72019958496094,154.0281428343344,155.01203519017963,153.61124209705102,154.72019958496094,2305600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,157.08819580078125,-0.2269,VOO,0.2577,Buy,0.0,0,154.72019958496094
2015-01-08,157.43841552734375,156.02928886548804,157.630186322372,155.97926280789824,157.43841552734375,1740600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,155.2772,0.0,0.0,0.0,0.0,157.43841552734375,-0.0952,VOO,0.2489,Buy,0.0,0,157.43841552734375
2015-01-09,156.11264038085938,157.83861547227457,157.87196193191338,155.62903401789475,156.11264038085938,2525200,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,155.0821,0.0,0.0,0.0,0.0,157.43841552734375,-0.0603,VOO,0.2497,Buy,0.0,0,156.11264038085938
2015-01-12,154.9536590576172,156.30442606372745,156.4211577582999,154.4116932019881,154.9536590576172,1847500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,155.2071,0.0,0.0,0.0,0.0,157.43841552734375,-0.081,VOO,0.2572,Buy,0.0,0,154.9536590576172
2015-01-13,154.54515075683594,156.10435587031668,157.09658193264235,153.33612810911214,154.54515075683594,2158500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,155.554,0.0,0.0,0.0,0.0,157.43841552734375,-0.1046,VOO,0.2619,Buy,0.0,0,154.54515075683594
2015-01-14,153.6363525390625,152.66915188462454,153.75308431060546,151.84368332119354,153.6363525390625,5216300,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,155.3372,0.0,0.0,0.0,0.0,157.43841552734375,-0.1493,VOO,0.2638,Buy,0.0,0,153.6363525390625
2015-01-15,152.2021484375,154.1532539786569,154.46175651957157,152.08541671476442,152.2021484375,1940700,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,154.29,0.0,0.0,0.0,0.0,157.43841552734375,-0.2262,VOO,0.2646,Buy,0.0,0,152.2021484375
2015-01-16,154.08660888671875,152.01043737040393,154.32007242395795,151.82699991645762,154.08660888671875,1472800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,153.8848,0.0,0.0,0.0,0.0,157.43841552734375,-0.1822,VOO,0.2599,Buy,0.0,0,154.08660888671875
2015-01-20,154.47007751464844,154.77024659505005,155.00371002171772,153.06929695464257,154.47007751464844,1637600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,153.7881,0.0,0.0,0.0,0.0,157.43841552734375,-0.126,VOO,0.2536,Buy,0.0,0,154.47007751464844
2015-01-21,155.2788543701172,154.06151126892112,155.7041012902733,153.66962353451925,155.2788543701172,1586500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,153.9348,0.0,0.0,0.0,0.0,157.43841552734375,-0.0472,VOO,0.2505,Buy,0.0,0,155.2788543701172
2015-01-22,157.6551971435547,155.99592749418233,157.71355663565825,154.7535713387585,157.6551971435547,6074900,1990.540688171387,0,98.6783224487308,1891.8623657226562,12,-0.47296559143065187,2000,cash_5%_Buy 100% of cash (12 shares - Very Safe - MRI:0.24),51.446851689038446,154.7386,0.0,0.0,0.0,0.0,157.6551971435547,0.1062,VOO,0.2388,Buy,-0.47296559143065187,12,157.6551971435547
2015-01-23,156.78807067871094,157.35506246723574,157.60520552914946,156.5796202475836,156.78807067871094,3109800,1980.135170593262,0,98.6783224487308,1881.4568481445312,12,-0.993241470336903,2000,,49.2666080519866,155.6558,0.0,0.0,0.0,0.0,157.6551971435547,0.1646,VOO,0.236,Buy,-0.993241470336903,12,156.78807067871094
2015-01-26,157.09657287597656,156.5796071983571,157.1799454077965,155.86253726612694,157.09657287597656,2018000,1983.8371969604495,0,98.6783224487308,1885.1588745117188,12,-0.8081401519775211,2000,,57.68533101981095,156.2578,0.0,0.0,0.0,0.0,157.6551971435547,0.2083,VOO,0.2303,Buy,-0.8081401519775211,12,157.09657287597656
2015-01-27,155.0370635986328,155.2038213655309,156.07096938708227,154.26996769265986,155.0370635986328,1979100,1959.1230856323245,0,98.6783224487308,1860.4447631835938,12,-2.0438457183837744,2000,,56.0000263195123,156.3712,0.0,0.0,0.0,0.0,157.6551971435547,0.1429,VOO,0.2401,Buy,-2.0438457183837744,12,155.0370635986328
2015-01-28,152.99427795410156,156.1460473507593,156.18773998016778,152.87754622544034,152.99427795410156,2530800,1934.6096578979495,0,98.6783224487308,1835.9313354492188,12,-3.2695171051025262,2000,,45.381644168973594,155.9142,0.0,0.0,0.0,0.0,157.6551971435547,0.013,VOO,0.2524,Buy,-3.2695171051025262,12,152.99427795410156
2015-01-29,154.47845458984375,153.20273892352066,154.69523846576357,151.92702325719753,154.47845458984375,4338200,1952.4197775268558,0,98.6783224487308,1853.741455078125,12,-2.3790111236572153,2000,,41.519424742239195,155.2789,0.0,0.0,0.0,0.0,157.6551971435547,-0.006,VOO,0.2448,Buy,-2.3790111236572153,12,154.47845458984375
2015-01-30,152.57736206054688,153.38615064466396,154.57014741085115,152.2771929703302,152.57736206054688,2302500,1929.6066671752933,0,98.6783224487308,1830.9283447265625,12,-3.5196666412353306,2000,,40.1943456915524,154.4367,154.9149,0.0,0.0,0.0,157.6551971435547,-0.0936,VOO,0.2527,Buy,-3.5196666412353306,12,152.57736206054688
2015-02-02,154.32830810546875,153.00256684675375,154.47005282594768,151.30995091254013,154.32830810546875,3397800,2950.618019714356,0,1098.6783224487308,1851.939697265625,12,-1.646066009521474,3000,"Monthly invest 33.3% of total investment ($1,000.00)",48.32063727518962,153.8831,154.7769,0.0,0.0,0.0,157.6551971435547,-0.069,VOO,0.2443,Buy,-1.646066009521474,12,154.32830810546875
2015-02-03,156.57958984375,155.19548891915366,156.63796206007746,154.91198671853797,156.57958984375,1435000,2972.9360128784183,0,154.50339569091852,2818.4326171875,18,-0.9021329040527215,3000,cash_5%_Buy 100% of cash (6 shares - Very Safe - MRI:0.24),54.97138996377976,154.1916,154.8895,0.0,0.0,0.0,157.6551971435547,0.0455,VOO,0.2386,Buy,-0.9021329040527215,18,156.57958984375
2015-02-04,156.04600524902344,155.9459531020976,157.04657760950593,155.62910433975776,156.04600524902344,1861200,2963.33149017334,0,154.50339569091852,2808.828094482422,18,-1.2222836608886567,3000,,55.998261890816664,154.8019,155.0513,0.0,0.0,0.0,157.6551971435547,0.0954,VOO,0.2456,Buy,-1.2222836608886567,18,156.04600524902344
