Date,rate_WELL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,2.3186,-0.6039
2016-03,8.9071,5.2168
2016-04,6.7443,3.9893
2016-05,5.5812,4.6886
2016-06,15.5487,4.1237
2016-07,17.946,7.1795
2016-08,13.107,6.3603
2016-09,8.781,5.6281
2016-10,-0.9971,3.196
2016-11,-7.868,6.7601
2016-12,-0.9316,8.3626
2017-01,-1.8609,10.2536
2017-02,5.6742,13.6522
2017-03,5.9929,12.7005
2017-04,6.4511,12.9818
2017-05,8.9558,13.693
2017-06,11.793,13.5288
2017-07,8.8719,15.0481
2017-08,9.485,14.5515
2017-09,4.5753,16.1037
2017-10,-0.5339,17.9557
2017-11,1.4936,20.6805
2017-12,-4.1758,21.3029
2018-01,-9.8758,28.0338
2018-02,-19.3031,22.1441
2018-03,-15.5847,18.3021
2018-04,-16.5173,18.0902
2018-05,-8.041,20.2208
2018-06,0.2379,20.3415
2018-07,0.1026,23.8746
2018-08,8.0146,27.0072
2018-09,4.1985,27.7347
2018-10,6.9413,18.1437
2018-11,18.1386,19.7418
2018-12,12.8048,8.5778
2019-01,25.9286,17.1263
2019-02,21.4666,20.3748
2019-03,26.1979,22.0514
2019-04,20.5126,26.2651
2019-05,32.0904,17.5943
2019-06,31.6891,25.308
2019-07,33.4056,26.4355
2019-08,44.1817,23.7232
2019-09,45.9175,26.1617
2019-10,44.8941,28.2707
2019-11,35.5057,32.1761
2019-12,30.2806,35.3247
2020-01,35.2595,35.2749
2020-02,19.8745,23.5454
2020-03,-26.942,7.7105
2020-04,-17.3055,21.425
2020-05,-16.6925,26.7132
2020-06,-14.7171,28.4357
2020-07,-11.5121,35.3124
2020-08,-3.6978,43.9511
2020-09,-7.7403,37.6938
2020-10,-9.8551,33.4637
2020-11,6.692,47.2943
2020-12,9.3041,51.8455
2021-01,2.5073,50.305
2021-02,15.7578,53.4604
2021-03,21.7795,59.4101
2021-04,27.1083,66.6882
2021-05,27.1897,66.6274
2021-06,40.7511,69.2184
2021-07,46.3865,72.1455
2021-08,47.7735,75.992
2021-09,38.3561,66.6118
2021-10,34.3749,77.1553
2021-11,33.509,74.6519
2021-12,43.2548,81.397
2022-01,44.0249,70.7122
2022-02,38.8768,64.6001
2022-03,59.6557,69.8532
2022-04,49.9613,54.0273
2022-05,47.4278,53.6333
2022-06,35.6756,40.2902
2022-07,41.7035,52.5094
2022-08,26.2922,45.531
2022-09,5.683,31.5965
2022-10,0.1941,41.7445
2022-11,17.5974,48.9584
2022-12,8.3059,39.838
2023-01,23.9829,48.5632
2023-02,23.1612,44.2258
2023-03,18.8618,48.9578
2023-04,31.0717,50.6836
2023-05,24.0997,50.7741
2023-06,34.2105,59.884
2023-07,35.8669,64.3798
2023-08,37.6067,60.953
2023-09,35.5718,52.6248
2023-10,37.9417,48.7132
2023-11,47.501,61.6976
2023-12,48.7062,68.3392
2024-01,42.6714,71.0275
2024-02,52.4485,79.0476
2024-03,53.9507,83.99
2024-04,56.3886,75.7344
2024-05,70.4941,83.6813
2024-06,70.6677,89.2836
2024-07,81.3216,90.5002
2024-08,96.8238,94.0822
2024-09,108.7386,98.2932
2024-10,118.7055,95.412
2024-11,123.8906,105.8418
2024-12,103.1033,99.9875
2025-01,119.9406,105.351
2025-02,147.0523,101.7087
2025-03,145.0483,89.4719
2025-04,142.6168,87.0451
2025-05,144.9586,97.8575
2025-06,142.6619,107.0685
2025-07,159.0945,110.7404
2025-08,163.7298,114.0337
2025-09,179.1114,121.6081
2025-10,181.9117,125.7153
2025-11,223.41,125.0226
2025-12,186.494,124.0393
2026-01,183.4396,127.5807
