Date,rate_WM_5D,rate_VOO_20D
2015-01,0.0,-3.5177
2015-02,0.0,1.8034
2015-03,0.0,-0.4386
2015-04,0.0,0.3124
2015-05,0.0,1.1978
2015-06,0.0,-1.0769
2015-07,0.0,0.8299
2015-08,0.0,-5.1327
2015-09,0.0,-6.8019
2015-10,0.0,1.4676
2015-11,0.0,1.6362
2015-12,0.0,-2.0181
2016-01,0.0,-6.207
2016-02,0.0,-6.0172
2016-03,0.0,0.5909
2016-04,0.0,0.7779
2016-05,0.0,2.385
2016-06,0.0,2.5472
2016-07,0.0,6.1314
2016-08,0.0,5.9606
2016-09,0.0,5.6856
2016-10,0.0,3.5422
2016-11,0.0,7.191
2016-12,0.0,9.1197
2017-01,0.0,10.5734
2017-02,0.0,14.3713
2017-03,0.0,13.9618
2017-04,0.0,14.6092
2017-05,0.0,15.6969
2017-06,0.0,15.8718
2017-07,0.0,17.6968
2017-08,0.0,17.4806
2017-09,0.0,19.3207
2017-10,0.0,21.5
2017-11,1.0609,24.5613
2017-12,5.9519,25.4765
2018-01,8.3369,31.6693
2018-02,5.6409,23.5121
2018-03,3.0853,19.9608
2018-04,-1.9244,19.1283
2018-05,-0.2416,21.5215
2018-06,-1.3803,21.8868
2018-07,9.1044,25.6292
2018-08,9.9823,29.0401
2018-09,9.6766,29.1388
2018-10,8.3702,21.9599
2018-11,13.957,23.0749
2018-12,7.6266,11.7886
2019-01,13.7501,20.319
2019-02,20.0836,23.797
2019-03,23.4385,25.6541
2019-04,27.0421,30.1743
2019-05,28.9213,21.5217
2019-06,36.0215,29.4331
2019-07,37.2644,30.7622
2019-08,39.2743,28.1093
2019-09,34.1099,30.1391
2019-10,30.2858,32.4242
2019-11,30.5842,36.6374
2019-12,31.9045,40.0509
2020-01,40.2927,39.3266
2020-02,27.1525,27.427
2020-03,25.3382,9.0272
2020-04,34.7521,23.4789
2020-05,43.2699,28.9861
2020-06,42.2175,30.8845
2020-07,46.5172,38.0281
2020-08,51.698,47.038
2020-09,50.548,40.8786
2020-10,42.8485,36.721
2020-11,51.8069,46.5833
2020-12,50.2641,51.3733
2021-01,41.1986,48.6611
2021-02,40.0706,47.5026
2021-03,63.0911,53.5248
2021-04,73.5137,60.8732
2021-05,75.9263,57.1735
2021-06,74.9714,59.9749
2021-07,84.1107,63.1028
2021-08,91.5313,67.0966
2021-09,84.0198,58.5355
2021-10,96.2691,68.8974
2021-11,95.6455,66.8215
2021-12,96.949,68.7995
2022-01,76.5333,59.2087
2022-02,68.6544,51.592
2022-03,85.0016,56.0141
2022-04,83.2419,46.8756
2022-05,72.94,49.6983
2022-06,67.0941,32.3555
2022-07,78.9299,44.1085
2022-08,83.9709,40.8953
2022-09,79.9533,35.6007
2022-10,75.7933,40.8885
2022-11,85.3312,48.1758
2022-12,75.9047,41.6071
2023-01,75.1943,48.1304
2023-02,68.8345,44.1745
2023-03,84.0217,47.6365
2023-04,86.4115,49.4957
2023-05,82.4378,49.7167
2023-06,92.6488,58.9131
2023-07,80.6922,63.5217
2023-08,75.5057,58.7923
2023-09,70.7074,50.7282
2023-10,83.2666,46.9601
2023-11,88.797,59.9071
2023-12,91.1563,66.6479
2024-01,97.2463,64.3668
2024-02,117.5097,72.2876
2024-03,125.1325,77.2485
2024-04,117.3644,70.9998
2024-05,119.1495,75.925
2024-06,116.5389,81.4895
2024-07,102.1261,80.0272
2024-08,106.9314,84.3283
2024-09,102.4444,83.3967
2024-10,109.5857,80.9709
2024-11,120.6224,90.8436
2024-12,103.2986,84.6806
2025-01,117.0695,85.4813
2025-02,128.3798,81.9164
2025-03,120.8314,76.0329
2025-04,109.4171,75.2606
2025-05,106.466,85.6064
2025-06,95.3593,94.4397
2025-07,95.2385,98.1206
2025-08,94.2609,94.1457
