Date,rate_XEL_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return,sma60_ta,sma120_ta,sma240_ta,Mean_Relative_Divergence_240,Percentile_90_Relative_Divergence_240,Difference_Percentile_vs_Mean,Rolling_Divergence_480
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,
2015-03-03,-3.95,4.16,-8.11,8.05,-69.48,5.72,,0.0,,,,,,,
2015-04-29,-4.39,3.8,-8.19,7.51,-18.62,5.72,,0.0,,,,,,,
2015-06-25,-11.49,3.4,-14.89,1.01,-11.91,5.72,,0.0,,,,,,,
2015-08-21,-1.27,-2.77,1.5,79.73,61.14,5.72,,-0.014033386832298137,,,,,,,
2015-10-19,0.77,0.19,0.58,75.31,12.29,5.72,,-0.014344889999999997,,,,,,,
2015-12-15,-1.14,0.99,-2.13,62.3,1.16,5.72,,0.0,,,,,,,
2016-02-12,7.81,-8.03,15.84,91.59,-8.41,18.68,,-0.002993780427046262,,,,,,,
2016-04-12,13.61,1.51,12.1,80.52,-0.74,18.68,,-0.0027918299065420567,,,,,,,
2016-06-08,16.62,4.64,11.98,80.17,0.54,18.68,,-0.000252022271468144,,,,,,,
2016-08-04,19.4,6.55,12.85,74.14,-16.71,22.6,,0.003867392019950125,,,,,,,
2016-09-30,13.3,6.55,6.75,57.96,0.19,22.6,,0.00914899074829932,,,,,,,
2016-11-28,10.85,8.53,2.32,46.21,-13.34,22.6,1.6339951111235986,0.012557163437500001,,,,,,,
2017-01-26,12.31,12.65,-0.34,39.15,-2.76,22.6,1.6138732830845042,0.0,,,,,,,
2017-03-24,22.63,14.65,7.98,61.22,14.11,22.6,1.5373695485713796,0.012399420250000001,,,,,,,
2017-05-22,26.46,17.16,9.3,64.72,6.02,22.6,1.4286094995456229,0.016764027000000004,,,,,,,
2017-07-19,26.9,20.55,6.35,56.9,-11.48,22.6,1.3728457251587547,0.02662664125,,,,,,,
2017-09-14,33.15,21.78,11.37,70.21,-3.29,22.6,1.3517335086538003,0.021717220312500004,,,,,,,
2017-11-09,36.48,25.33,11.15,69.63,7.75,22.6,1.3465138937160634,0.024903210187500004,,,,,,,
2018-01-09,25.43,32.87,-7.44,20.32,-44.67,22.6,1.3182445290435285,0.0,,,,,,,
2018-03-08,15.86,32.18,-16.32,1.69,-3.08,22.6,1.4010775361012056,0.0,,,,,,,
2018-05-04,24.27,27.87,-3.6,35.8,-1.35,22.6,1.4673110378375471,0.0,,,,,,,
2018-07-02,23.54,30.25,-6.71,32.64,21.76,22.6,1.4733025312710635,0.0,,,,,,,
2018-08-28,26.94,38.61,-11.67,21.24,-4.96,22.6,1.5692492088358059,0.0,,,,,,,
2018-10-24,33.7,26.38,7.32,64.88,52.68,22.6,1.6375697815564243,-0.002296262666666667,,,,,,,
2018-12-21,34.93,14.29,20.64,95.5,27.38,22.6,1.6014810659398824,2.0043749999999996e-05,,,,,,,
2019-02-21,44.73,31.47,13.26,78.53,6.55,22.6,1.590768108668258,0.0015089831666666668,,,,,,,
2019-04-18,43.86,36.81,7.05,64.26,-16.87,22.6,1.6347197737639052,0.004296990416666666,,,,,,,
2019-06-17,56.84,36.1,20.74,95.42,5.6,22.74,1.667733169760788,0.0008208027916666663,,,,,,,
2019-08-13,60.01,37.04,22.97,94.65,3.84,25.45,1.765682301341799,0.001305110208333332,,,,,,,
2019-10-09,65.77,35.98,29.79,91.73,10.49,34.36,1.7276234433611448,0.0034342036458333315,,,,,,,
2019-12-05,60.39,45.14,15.25,65.42,-0.2,34.36,1.6883143978048392,0.0179098465,,,,,,,
2020-02-04,77.95,52.49,25.46,83.9,26.31,34.36,1.5523992290438877,0.01219974145833333,,,,,,,
2020-04-01,48.46,13.74,34.72,79.47,-17.27,49.09,1.4632268486494422,0.02225781335416667,,,,,,,
2020-05-29,65.84,40.47,25.37,66.11,-3.96,49.09,1.3687922757002293,0.04818571985416666,,,,,,,
2020-07-27,71.34,48.57,22.77,62.4,4.5,49.09,1.315629209435664,0.06291882166666667,,,,,,,
2020-09-22,68.84,51.8,17.04,54.21,-5.53,49.09,1.2694542613472446,0.08795247804166666,,,,,,,
2020-11-17,82.41,64.37,18.04,55.64,-7.57,49.09,1.2718121847043928,0.09104871516666667,,,,,,,
