Date,rate_XRP-USD_5D,rate_VOO_20D
2017-11,15.3526,2.6014
2017-12,957.7917,3.4193
2018-01,434.4617,9.1955
2018-02,315.9232,5.1269
2018-03,135.5776,2.0659
2018-04,285.2801,2.4201
2018-05,181.6808,4.895
2018-06,114.3773,5.1986
2018-07,100.1145,8.9468
2018-08,54.1841,12.4547
2018-09,167.4042,12.5938
2018-10,106.164,4.895
2018-11,66.6552,6.8724
2018-12,62.1726,-3.1073
2019-01,42.5532,4.5662
2019-02,44.8714,7.9644
2019-03,42.1821,9.4274
2019-04,42.2957,13.8418
2019-05,101.6543,6.6152
2019-06,82.268,13.4792
2019-07,47.5525,15.1362
2019-08,19.1808,13.2473
2019-09,17.6768,14.9338
2019-10,36.2641,17.4424
2019-11,4.1317,21.7008
2019-12,-11.3082,24.7154
2020-01,9.9983,24.669
2020-02,6.3015,14.5712
2020-03,-19.7367,-0.1518
2020-04,-2.1735,12.6149
2020-05,-6.7047,17.9484
2020-06,-19.1358,19.5
2020-07,19.0429,26.5284
2020-08,29.5547,35.3487
2020-09,11.1712,29.7116
2020-10,10.2332,26.4103
2020-11,205.4591,40.2479
2020-12,1.0842,44.9068
2021-01,126.3638,43.4269
2021-02,90.7935,47.3944
2021-03,163.8624,53.5964
2021-04,631.8445,61.7211
2021-05,381.2146,62.8004
2021-06,224.7876,65.9162
2021-07,243.8286,69.9764
2021-08,446.0499,74.9937
2021-09,338.0177,66.2872
2021-10,411.8659,77.9914
2021-11,359.2226,76.6844
2021-12,282.165,84.067
2022-01,184.6819,74.4203
2022-02,259.5803,69.2217
2022-03,274.5328,75.0443
2022-04,169.9418,59.6678
2022-05,93.9725,60.081
2022-06,52.3983,46.2518
2022-07,74.9329,59.7057
2022-08,50.7531,53.1116
2022-09,120.5979,38.4181
2022-10,114.2256,49.6543
2022-11,87.9382,57.8927
2022-12,56.2978,48.1322
2023-01,86.8558,57.45
2023-02,73.4119,53.5163
2023-03,147.5962,58.5589
2023-04,117.1761,61.0802
2023-05,137.8917,61.856
2023-06,117.9601,71.7177
2023-07,221.1768,77.3674
2023-08,134.8631,74.4793
2023-09,136.9809,65.5705
2023-10,176.007,61.974
2023-11,178.8007,76.8277
2023-12,182.7471,84.1639
2024-01,131.3659,87.1237
2024-02,169.5896,96.8674
2024-03,189.3148,102.6731
2024-04,129.9276,94.5484
2024-05,138.0821,104.3258
2024-06,118.6249,110.8652
2024-07,186.8843,113.3106
2024-08,160.3882,118.4164
2024-09,181.1612,122.4766
2024-10,134.1449,120.3685
2024-11,793.898,133.346
2024-12,856.4334,127.1735
2025-01,1295.6723,133.2954
2025-02,886.5349,130.3441
2025-03,860.9251,116.6751
2025-04,907.668,114.9169
2025-05,900.0828,128.4172
2025-06,929.3671,139.4932
2025-07,1290.9595,144.9701
2025-08,1228.8474,150.1138
