Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2016-01-04,62.369998931884766,63.02000045776367,63.040000915527344,62.02000045776367,62.369998931884766,537800.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,0.0,0.0,0.0,0.0,0.0,62.369998931884766,0.0,ATO,0.6,Hold,0.0,0.0,184.3099975585937
2016-01-05,62.59999847412109,62.369998931884766,62.81999969482422,61.83000183105469,62.59999847412109,590800.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,0.0,0.0,0.0,0.0,0.0,62.59999847412109,0.0235,ATO,0.7,Hold,0.0,0.0,184.63999938964844
2016-01-06,62.79999923706055,62.43000030517578,63.18000030517578,62.20000076293945,62.79999923706055,409700.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,0.0,0.0,0.0,0.0,0.0,62.79999923706055,0.0574,ATO,0.6,Hold,0.0,0.0,182.3000030517578
2016-01-07,62.18999862670898,62.16999816894531,62.709999084472656,61.959999084472656,62.18999862670898,432000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,0.0,0.0,0.0,0.0,0.0,62.79999923706055,0.0131,ATO,0.6,Hold,0.0,0.0,177.86000061035156
2016-01-08,62.2599983215332,62.18000030517578,65.48999786376953,61.70000076293945,62.2599983215332,482300.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,62.444,0.0,0.0,0.0,0.0,62.79999923706055,-0.0084,ATO,0.6,Hold,0.0,0.0,175.97000122070312
2016-01-09,62.2599983215332,62.18000030517578,65.48999786376953,61.70000076293945,62.2599983215332,482300.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,62.444,0.0,0.0,0.0,0.0,62.79999923706055,-0.0084,ATO,0.6,Hold,0.0,0.0,175.97000122070312
2016-01-10,62.2599983215332,62.18000030517578,65.48999786376953,61.70000076293945,62.2599983215332,482300.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,62.444,0.0,0.0,0.0,0.0,62.79999923706055,-0.0084,ATO,0.6,Hold,0.0,0.0,175.97000122070312
2016-01-11,62.470001220703125,61.709999084472656,62.68999862670898,61.709999084472656,62.470001220703125,501800.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,62.464,0.0,0.0,0.0,0.0,62.79999923706055,-0.0002,ATO,0.6,Hold,0.0,0.0,175.99000549316406
2016-01-12,62.09000015258789,62.70000076293945,62.70000076293945,61.5099983215332,62.09000015258789,531600.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,62.362,0.0,0.0,0.0,0.0,62.79999923706055,-0.0341,ATO,0.6,Hold,0.0,0.0,177.4499969482422
2016-01-13,61.7400016784668,62.27000045776367,62.38999938964844,61.5099983215332,61.7400016784668,513800.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,62.15,0.0,0.0,0.0,0.0,62.79999923706055,-0.0895,ATO,0.6,Hold,0.0,0.0,173.11000061035156
2016-01-14,62.97999954223633,61.880001068115234,63.2599983215332,61.86000061035156,62.97999954223633,455200.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,62.308,0.0,0.0,0.0,0.0,62.97999954223633,0.0075,ATO,0.6,Hold,0.0,0.0,175.9199981689453
