Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,MRI_Stress,GeoMRI,rate_vs,shares_vs,Close_vs,Dividend_vs,Dividend
2016-01-04,6.550000190734863,6.599999904632568,6.760000228881836,6.300000190734863,6.550000190734863,43095300.0,999.0043999710084,0,3.404370979309192,995.6000289916992,152,0.0,1000,"cash_0%_Buy 100% of cash (152 shares - DCA Strategy) Monthly invest 100.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,6.550000190734863,0.0,FCX,0.5577,DeployReady,0.8841,0.1488,0.0,0,184.3099975585937,0.0,0.0
2016-01-05,6.710000038146973,6.619999885559082,6.730000019073486,6.510000228881836,6.710000038146973,37753400.0,1023.324376777649,0,3.404370979309192,1019.9200057983398,152,2.4319976806640553,1000,DeployReady,0.0,0.0,0.0,0.0,0.0,0.0,6.710000038146973,0.1556,FCX,0.5837,DeployReady,0.871,0.1367,0.165000915527369,0,184.63999938964844,0.0,0.0
2016-01-06,6.170000076293945,6.369999885559082,6.46999979019165,6.130000114440918,6.170000076293945,45365100.0,941.2443825759889,0,3.404370979309192,937.8400115966797,152,-5.776001739501957,1000,DeployReady,0.0,0.0,0.0,0.0,0.0,0.0,6.710000038146973,-0.2817,FCX,0.5819,DeployReady,0.888,0.1437,-1.0049972534179386,0,182.3000030517578,0.0,0.0
2016-01-07,5.610000133514404,5.980000019073486,6.039999961853027,5.429999828338623,5.610000133514404,66615400.0,856.1243912734986,0,3.404370979309192,852.7200202941895,152,-14.288000869750984,1000,DeployReady,0.0,0.0,0.0,0.0,0.0,0.0,6.710000038146973,-1.1,FCX,0.5361,DeployReady,0.9213,0.1566,-3.2249984741210658,0,177.86000061035156,0.0,0.0
2016-01-08,5.409999847412109,5.670000076293945,5.710000038146973,5.360000133514404,5.409999847412109,44313100.0,825.7243477859498,0,3.404370979309192,822.3199768066406,152,-17.32800521850586,1000,DeployReady,0.0,6.09,0.0,0.0,0.0,0.0,6.710000038146973,-1.7723,FCX,0.5369,DeployReady,0.9387,0.1578,-4.1699981689452885,0,175.97000122070312,0.0,0.0
2016-01-09,5.409999847412109,5.670000076293945,5.710000038146973,5.360000133514404,5.409999847412109,44313100.0,825.7243477859498,0,3.404370979309192,822.3199768066406,152,-17.32800521850586,1000,DeployReady,0.0,5.862,0.0,0.0,0.0,0.0,6.710000038146973,-2.1138,FCX,0.5369,DeployReady,0.9387,0.1578,-4.1699981689452885,0,175.97000122070312,0.0,0.0
2016-01-10,5.409999847412109,5.670000076293945,5.710000038146973,5.360000133514404,5.409999847412109,44313100.0,825.7243477859498,0,3.404370979309192,822.3199768066406,152,-17.32800521850586,1000,DeployReady,0.0,5.602,0.0,0.0,0.0,0.0,6.710000038146973,-2.2217,FCX,0.5369,DeployReady,0.9387,0.1578,-4.1699981689452885,0,175.97000122070312,0.0,0.0
2016-01-11,4.309999942779541,5.400000095367432,5.420000076293945,4.230000019073486,4.309999942779541,117668200.0,658.5243622817994,0,3.404370979309192,655.1199913024902,152,-34.04800376892089,1000,DeployReady,0.0,5.23,0.0,0.0,0.0,0.0,6.710000038146973,-3.3682,FCX,0.5414,DeployReady,0.9312,0.1497,-4.15999603271482,0,175.99000549316406,0.0,0.0
2016-01-12,4.110000133514404,4.309999942779541,4.579999923706055,3.650000095367432,4.110000133514404,141597300.0,628.1243912734986,0,3.404370979309192,624.7200202941895,152,-37.08800086975098,1000,DeployReady,0.0,4.93,0.0,0.0,0.0,0.0,6.710000038146973,-4.1883,FCX,0.5789,DeployReady,0.9231,0.1375,-3.430000305175751,0,177.4499969482422,0.0,0.0
2016-01-13,3.740000009536743,4.179999828338623,4.28000020980835,3.700000047683716,3.740000009536743,64602100.0,571.8843724288942,0,3.404370979309192,568.480001449585,152,-42.712002754211426,1000,DeployReady,0.0,4.596,0.0,0.0,0.0,0.0,6.710000038146973,-4.9704,FCX,0.5581,DeployReady,0.9392,0.1257,-5.599998474121072,0,173.11000061035156,0.0,0.0
