Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,MRI_Stress,GeoMRI,rate_vs,shares_vs,Close_vs,Dividend_vs,Dividend
2016-01-04,29.530000686645508,30.65999984741211,30.65999984741211,29.0,29.530000686645508,18265300.0,999.0255099773408,0,24.53548731803903,974.4900226593018,33,0.0,1000,"cash_2%_Buy 100% of cash (33 shares - DCA Strategy) Monthly invest 100.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,29.530000686645508,0.0,JD,0.6286,RiskWatch,0.7829,0.1499,0.0,0,184.3099975585937,0.0,0.0
2016-01-05,30.0,30.049999237060547,30.299999237060547,29.600000381469727,30.0,9426400.0,1014.535487318039,0,24.53548731803903,990.0,33,1.5509977340698256,1000,RiskWatch,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.1015,JD,0.6512,RiskWatch,0.7652,0.1376,0.16500091552736906,0,184.63999938964844,0.0,0.0
2016-01-06,29.76000022888184,29.229999542236328,30.030000686645508,29.049999237060547,29.76000022888184,12988900.0,1006.6154948711397,0,24.53548731803903,982.0800075531007,33,0.7589984893798918,1000,RiskWatch,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.1076,JD,0.6512,RiskWatch,0.7897,0.1444,-1.0049972534179386,0,182.3000030517578,0.0,0.0
2016-01-07,27.950000762939453,28.34000015258789,29.14999961853028,27.64999961853028,27.950000762939453,18155700.0,946.885512495041,0,24.53548731803903,922.350025177002,33,-5.2139997482299805,1000,DeployReady,0.0,0.0,0.0,0.0,0.0,0.0,30.0,-0.2861,JD,0.608,DeployReady,0.847,0.157,-3.2249984741210658,0,177.86000061035156,0.0,0.0
2016-01-08,27.6200008392334,28.57999992370605,28.89999961853028,27.46999931335449,27.6200008392334,15164100.0,935.9955150127412,0,24.53548731803903,911.4600276947021,33,-6.302999496459961,1000,DeployReady,0.0,28.972,0.0,0.0,0.0,0.0,30.0,-0.5924,JD,0.6091,DeployReady,0.8783,0.158,-4.169998168945288,0,175.97000122070312,0.0,0.0
2016-01-09,27.6200008392334,28.57999992370605,28.89999961853028,27.46999931335449,27.6200008392334,15164100.0,935.9955150127412,0,24.53548731803903,911.4600276947021,33,-6.302999496459961,1000,DeployReady,0.0,28.59,0.0,0.0,0.0,0.0,30.0,-0.7547,JD,0.6091,DeployReady,0.8783,0.158,-4.169998168945288,0,175.97000122070312,0.0,0.0
2016-01-10,27.6200008392334,28.57999992370605,28.89999961853028,27.46999931335449,27.6200008392334,15164100.0,935.9955150127412,0,24.53548731803903,911.4600276947021,33,-6.302999496459961,1000,DeployReady,0.0,28.114,0.0,0.0,0.0,0.0,30.0,-0.816,JD,0.6091,DeployReady,0.8783,0.158,-4.169998168945288,0,175.97000122070312,0.0,0.0
2016-01-11,27.030000686645508,27.350000381469727,27.729999542236328,25.96999931335449,27.030000686645508,18866600.0,916.5255099773408,0,24.53548731803903,891.9900226593018,33,-8.249999999999991,1000,DeployReady,0.0,27.568,0.0,0.0,0.0,0.0,30.0,-0.9405,JD,0.6133,DeployReady,0.8648,0.1499,-4.159996032714819,0,175.99000549316406,0.0,0.0
2016-01-12,28.20499992370605,27.520000457763672,28.299999237060547,27.2450008392334,28.20499992370605,11202600.0,955.3004848003387,0,24.53548731803903,930.7649974822997,33,-4.372502517700205,1000,DeployReady,0.0,27.619,0.0,0.0,0.0,0.0,30.0,-0.7007,JD,0.6487,DeployReady,0.8501,0.1378,-3.430000305175751,0,177.4499969482422,0.0,0.0
2016-01-13,27.100000381469727,28.3700008392334,28.5,26.780000686645508,27.100000381469727,8981100.0,918.83549990654,0,24.53548731803903,894.300012588501,33,-8.019001007080075,1000,DeployReady,0.0,27.515,0.0,0.0,0.0,0.0,30.0,-0.754,JD,0.6291,DeployReady,0.8795,0.1261,-5.599998474121071,0,173.11000061035156,0.0,0.0
2016-01-14,28.1200008392334,27.350000381469727,28.43000030517578,26.850000381469727,28.1200008392334,9756900.0,952.4955150127412,0,24.53548731803903,927.9600276947021,33,-4.6529994964599535,1000,DeployReady,0.0,27.615,0.0,0.0,0.0,0.0,30.0,-0.5083,JD,0.6411,DeployReady,0.8661,0.096,-4.194999694824197,0,175.9199981689453,0.0,0.0
2016-01-15,26.989999771118164,26.5,27.290000915527344,26.350000381469727,26.989999771118164,13641500.0,915.2054797649384,0,24.53548731803903,890.6699924468994,33,-8.382003021240227,1000,DeployReady,0.0,27.489,0.0,0.0,0.0,0.0,30.0,-0.5724,JD,0.6328,DeployReady,0.8846,0.0911,-6.080001831054659,0,172.14999389648438,0.0,0.0
2016-01-16,26.989999771118164,26.5,27.290000915527344,26.350000381469727,26.989999771118164,13641500.0,915.2054797649384,0,24.53548731803903,890.6699924468994,33,-8.382003021240227,1000,DeployReady,0.0,27.481,0.0,0.0,0.0,0.0,30.0,-0.5716,JD,0.6328,DeployReady,0.8846,0.0911,-6.080001831054659,0,172.14999389648438,0.0,0.0
2016-01-17,26.989999771118164,26.5,27.290000915527344,26.350000381469727,26.989999771118164,13641500.0,915.2054797649384,0,24.53548731803903,890.6699924468994,33,-8.382003021240227,1000,DeployReady,33.86276200599784,27.238,0.0,0.0,0.0,0.0,30.0,-0.5284,JD,0.6328,DeployReady,0.8846,0.0911,-6.080001831054659,0,172.14999389648438,0.0,0.0
2016-01-18,26.989999771118164,26.5,27.290000915527344,26.350000381469727,26.989999771118164,13641500.0,915.2054797649384,0,24.53548731803903,890.6699924468994,33,-8.382003021240227,1000,DeployReady,33.86276200599784,27.216,0.0,0.0,0.0,0.0,30.0,-0.4595,JD,0.6327,DeployReady,0.8846,0.0914,-6.080001831054659,0,172.14999389648438,0.0,0.0
2016-01-19,27.40999984741211,28.31999969482422,28.63500022888184,26.940000534057617,27.40999984741211,14022400.0,929.0654822826386,0,24.53548731803903,904.5299949645996,33,-6.996002769470211,1000,DeployReady,33.439896076325155,27.074,0.0,0.0,0.0,0.0,30.0,-0.2795,JD,0.6335,DeployReady,0.8848,0.0937,-5.985000610351532,0,172.33999633789062,0.0,0.0
2016-01-20,26.3799991607666,26.5,26.8799991607666,25.36000061035156,26.3799991607666,23393300.0,895.0754596233369,0,24.53548731803903,870.5399723052979,33,-10.395005035400384,1000,DeployReady,30.37165604813339,26.952,0.0,0.0,0.0,0.0,30.0,-0.3738,JD,0.6465,DeployReady,0.8882,0.1063,-6.994995117187475,0,170.32000732421875,0.0,0.0
2016-01-21,26.690000534057617,26.170000076293945,27.15999984741211,25.799999237060547,26.690000534057617,8423100.0,905.3055049419404,0,24.53548731803903,880.7700176239014,33,-9.372000503540034,1000,DeployReady,41.1392420344079,26.892,0.0,0.0,0.0,0.0,30.0,-0.3252,JD,0.6437,DeployReady,0.8874,0.1208,-6.580001831054661,0,171.14999389648438,0.0,0.0
2016-01-22,27.270000457763672,27.88999938964844,27.88999938964844,26.95499992370605,27.270000457763672,9454400.0,924.4455024242402,0,24.53548731803903,899.9100151062012,33,-7.4580007553100565,1000,DeployReady,47.62228083055675,26.948,0.0,0.0,0.0,0.0,30.0,-0.1242,JD,0.6764,DeployReady,0.8512,0.1522,-4.824996948242166,0,174.66000366210938,0.0,0.0
2016-01-23,27.270000457763672,27.88999938964844,27.88999938964844,26.95499992370605,27.270000457763672,9454400.0,924.4455024242402,0,24.53548731803903,899.9100151062012,33,-7.4580007553100565,1000,DeployReady,47.62228083055675,27.004,27.6768,0.0,0.0,0.0,30.0,0.0272,JD,0.6764,DeployReady,0.8512,0.1522,-4.824996948242166,0,174.66000366210938,0.0,0.0
2016-01-24,27.270000457763672,27.88999938964844,27.88999938964844,26.95499992370605,27.270000457763672,9454400.0,924.4455024242402,0,24.53548731803903,899.9100151062012,33,-7.4580007553100565,1000,DeployReady,47.62228083055675,26.976,27.5638,0.0,0.0,0.0,30.0,0.1398,JD,0.6764,DeployReady,0.8512,0.1522,-4.824996948242166,0,174.66000366210938,0.0,0.0
2016-01-25,27.030000686645508,27.1200008392334,27.52499961853028,26.950000762939453,27.030000686645508,6988400.0,916.5255099773408,0,24.53548731803903,891.9900226593018,33,-8.249999999999991,1000,DeployReady,50.0,27.106,27.4153,0.0,0.0,0.0,30.0,0.1655,JD,0.6622,DeployReady,0.8695,0.1691,-6.119995117187472,0,172.07000732421875,0.0,0.0
2016-01-26,27.0,26.75,27.200000762939453,26.09000015258789,27.0,6816300.0,915.535487318039,0,24.53548731803903,891.0,33,-8.349002265930173,1000,DeployReady,39.72720215704252,27.168,27.2773,0.0,0.0,0.0,30.0,0.1841,JD,0.6863,DeployReady,0.8559,0.2087,-4.955001831054661,0,174.39999389648438,0.0,0.0
2016-01-27,25.3799991607666,27.040000915527344,27.040000915527344,25.145000457763672,25.3799991607666,21140400.0,862.0754596233369,0,24.53548731803903,837.5399723052979,33,-13.695005035400388,1000,DeployReady,36.52037692528461,26.79,27.1488,0.0,0.0,0.0,30.0,-0.1778,JD,0.6798,DeployReady,0.8612,0.2462,-5.944999694824194,0,172.4199981689453,0.0,0.0
2016-01-28,25.3700008392334,26.0,26.07999992370605,24.96999931335449,25.3700008392334,21548300.0,861.7455150127412,0,24.53548731803903,837.2100276947021,33,-13.727999496459953,1000,DeployReady,24.39479894353542,26.41,27.0363,0.0,0.0,0.0,30.0,-0.3839,JD,0.6917,DeployReady,0.8558,0.2887,-5.474998474121072,0,173.36000061035156,0.0,0.0
2016-01-29,26.030000686645508,25.850000381469727,26.350000381469727,25.5,26.030000686645508,11895800.0,883.5255099773408,0,24.53548731803903,858.9900226593018,33,-11.549999999999994,1000,DeployReady,40.204094025251734,26.162,26.9568,0.0,0.0,0.0,30.0,-0.3191,JD,0.7164,DeployReady,0.8069,0.3071,-3.2799987792968444,0,177.75,0.0,0.0
2016-01-30,26.030000686645508,25.850000381469727,26.350000381469727,25.5,26.030000686645508,11895800.0,883.5255099773408,0,24.53548731803903,858.9900226593018,33,-11.549999999999994,1000,DeployReady,40.204094025251734,25.962,26.8773,0.0,0.0,0.0,30.0,-0.2428,JD,0.7164,DeployReady,0.8069,0.3071,-3.2799987792968444,0,177.75,0.0,0.0
2016-01-31,26.030000686645508,25.850000381469727,26.350000381469727,25.5,26.030000686645508,11895800.0,883.5255099773408,0,24.53548731803903,858.9900226593018,33,-11.549999999999994,1000,DeployReady,40.204094025251734,25.768,26.8273,0.0,0.0,0.0,30.0,-0.1627,JD,0.7164,DeployReady,0.8069,0.3071,-3.2799987792968444,0,177.75,0.0,0.0
2016-02-01,25.59000015258789,25.6200008392334,25.959999084472656,25.13999938964844,25.59000015258789,10915500.0,1868.0074823474886,0,25.52747136116045,1842.4800109863281,72,-6.502176880359645,2000,"cash_1%_Buy 100% of cash (39 shares - DCA Strategy) Monthly invest 50.0% of total investment ($1,000.00)",36.89139439632618,25.81,26.6965,0.0,0.0,0.0,30.0,-0.1901,JD,0.7119,DeployReady,0.8006,0.3208,-1.6871998046874892,6,177.58999633789062,0.0,0.0
2016-02-02,24.670000076293945,25.31999969482422,25.56999969482422,24.52499961853028,24.670000076293945,11283200.0,1801.7674768543245,0,25.52747136116045,1776.240005493164,72,-9.814177155017845,2000,DeployReady,26.54110612464453,25.67,26.575,0.0,0.0,0.0,30.0,-0.4017,JD,0.7163,DeployReady,0.8338,0.2989,-3.4582004760742024,6,174.3699951171875,0.0,0.0
2016-02-03,23.809999465942383,24.68000030517578,24.790000915527344,23.3700008392334,23.809999465942383,20210000.0,1739.847432909012,0,25.52747136116045,1714.3199615478516,72,-12.91017935228347,2000,DeployReady,27.33687129000637,25.226,26.3595,0.0,0.0,0.0,30.0,-0.7077,JD,0.7168,DeployReady,0.8285,0.3107,-2.8971981262206903,6,175.38999938964844,0.0,0.0
2016-02-04,24.959999084472656,24.0,25.26000022888184,23.96999931335449,24.959999084472656,20951000.0,1822.6474054431917,0,25.52747136116045,1797.1199340820312,72,-8.770180725574495,2000,DeployReady,36.71273894961055,25.012,26.258,0.0,0.0,0.0,30.0,-0.5597,JD,0.7101,DeployReady,0.828,0.3176,-2.776197454833973,6,175.61000061035156,0.0,0.0
2016-02-05,23.63999938964844,24.690000534057617,24.950000762939453,23.51000022888184,23.63999938964844,19828500.0,1727.6074274158482,0,25.52747136116045,1702.0799560546877,72,-13.522179626941666,2000,DeployReady,24.96550987506737,24.534,26.0905,0.0,0.0,0.0,30.0,-0.7447,JD,0.6988,DeployReady,0.8588,0.3096,-4.59119913330076,6,172.30999755859375,0.0,0.0
2016-02-06,23.63999938964844,24.690000534057617,24.950000762939453,23.51000022888184,23.63999938964844,19828500.0,1727.6074274158482,0,25.52747136116045,1702.0799560546877,72,-13.522179626941666,2000,DeployReady,24.96550987506737,24.144,25.923,0.0,0.0,0.0,30.0,-0.8015,JD,0.6988,DeployReady,0.8588,0.3096,-4.59119913330076,6,172.30999755859375,0.0,0.0
2016-02-07,23.63999938964844,24.690000534057617,24.950000762939453,23.51000022888184,23.63999938964844,19828500.0,1727.6074274158482,0,25.52747136116045,1702.0799560546877,72,-13.522179626941666,2000,DeployReady,24.96550987506737,23.938,25.7555,0.0,0.0,0.0,30.0,-0.7719,JD,0.6988,DeployReady,0.8588,0.3096,-4.59119913330076,6,172.30999755859375,0.0,0.0
2016-02-08,23.209999084472656,23.049999237060547,23.26000022888184,22.18000030517578,23.209999084472656,30399400.0,1696.6474054431917,0,25.52747136116045,1671.1199340820312,72,-15.07018072557449,2000,DeployReady,24.32794806474628,23.818,25.5455,0.0,0.0,0.0,30.0,-0.7979,JD,0.6916,DeployReady,0.8862,0.318,-5.894696447753889,6,169.94000244140625,0.0,0.0
2016-02-09,22.8799991607666,22.700000762939453,23.52499961853028,22.46999931335449,22.8799991607666,16699000.0,1672.8874109363558,0,25.52747136116045,1647.3599395751953,72,-16.25818045091628,2000,DeployReady,23.38500671145239,23.402,25.3705,0.0,0.0,0.0,30.0,-0.8319,JD,0.6945,DeployReady,0.8915,0.3363,-5.867194769287098,6,169.99000549316406,0.0,0.0
2016-02-10,23.239999771118164,23.3799991607666,23.559999465942383,22.84000015258789,23.239999771118164,12427200.0,1698.8074548816683,0,25.52747136116045,1673.2799835205078,72,-14.96217825365066,2000,DeployReady,33.487657864016626,23.322,25.198,0.0,0.0,0.0,30.0,-0.6872,JD,0.7003,DeployReady,0.8895,0.3248,-5.927695104980456,6,169.8800048828125,0.0,0.0
2016-02-11,22.89999961853028,22.530000686645508,23.1299991607666,22.13500022888184,22.89999961853028,20207600.0,1674.3274438953406,0,25.52747136116045,1648.7999725341801,72,-16.186178802967046,2000,DeployReady,31.864899246639496,23.174,24.9795,0.0,0.0,0.0,30.0,-0.6182,JD,0.7021,DeployReady,0.8938,0.3269,-7.126699468994124,6,167.6999969482422,0.0,0.0
2016-02-12,23.1299991607666,23.100000381469727,23.40999984741211,22.450000762939453,23.1299991607666,13903600.0,1690.8874109363558,0,25.52747136116045,1665.3599395751953,72,-15.358180450916281,2000,DeployReady,27.27271911934315,23.072,24.7725,0.0,0.0,0.0,30.0,-0.4485,JD,0.6971,DeployReady,0.887,0.3493,-5.234698126220682,6,171.13999938964844,0.0,0.0
2016-02-13,23.1299991607666,23.100000381469727,23.40999984741211,22.450000762939453,23.1299991607666,13903600.0,1690.8874109363558,0,25.52747136116045,1665.3599395751953,72,-15.358180450916281,2000,DeployReady,27.27271911934315,23.056,24.5655,0.0,0.0,0.0,30.0,-0.283,JD,0.6971,DeployReady,0.887,0.3493,-5.234698126220682,6,171.13999938964844,0.0,0.0
2016-02-14,23.1299991607666,23.100000381469727,23.40999984741211,22.450000762939453,23.1299991607666,13903600.0,1690.8874109363558,0,25.52747136116045,1665.3599395751953,72,-15.358180450916281,2000,DeployReady,27.27271911934315,23.106,24.3705,0.0,0.0,0.0,30.0,-0.1277,JD,0.6971,DeployReady,0.887,0.3493,-5.234698126220682,6,171.13999938964844,0.0,0.0
2016-02-15,23.1299991607666,23.100000381469727,23.40999984741211,22.450000762939453,23.1299991607666,13903600.0,1690.8874109363558,0,25.52747136116045,1665.3599395751953,72,-15.358180450916281,2000,DeployReady,29.292922806011376,23.084,24.177,0.0,0.0,0.0,30.0,0.0137,JD,0.6973,DeployReady,0.8864,0.376,-5.234698126220682,6,171.13999938964844,0.0,0.0
2016-02-16,24.979999542236328,24.76000022888184,25.989999771118164,24.18000030517578,24.979999542236328,20056900.0,1824.087438402176,0,25.52747136116045,1798.5599670410156,72,-8.698179077625268,2000,DeployReady,52.25618215482616,23.5,24.157,0.0,0.0,0.0,30.0,0.6369,JD,0.7039,DeployReady,0.874,0.3866,-3.6562008117675626,6,174.00999450683594,0.0,0.0
2016-02-17,25.71999931335449,25.420000076293945,26.200000762939453,24.86000061035156,25.71999931335449,17465700.0,1877.3674219226837,0,25.52747136116045,1851.8399505615232,72,-6.03417990159989,2000,DeployReady,64.14814701786749,24.018,24.1745,0.0,0.0,0.0,30.0,1.2271,JD,0.7152,DeployReady,0.8561,0.4205,-2.0886974548339654,6,176.86000061035156,0.0,0.0
2016-02-18,25.32999992370605,25.89999961853028,25.89999961853028,25.01000022888184,25.32999992370605,11910900.0,1849.2874658679962,0,25.52747136116045,1823.7599945068357,72,-7.4381777043342705,2000,DeployReady,53.08848792463583,24.458,24.1395,0.0,0.0,0.0,30.0,1.4626,JD,0.7286,DeployReady,0.8523,0.4576,-2.50119745483397,6,176.11000061035156,0.0,0.0
2016-02-19,25.540000915527344,25.200000762939453,25.81999969482422,24.88999938964844,25.540000915527344,7525300.0,1864.4075372791292,0,25.52747136116045,1838.8800659179688,72,-6.682174133777618,2000,DeployReady,69.46722448784965,24.94,24.115,0.0,0.0,0.0,30.0,1.6187,JD,0.7378,DeployReady,0.8101,0.4625,-2.52319376220701,6,176.07000732421875,0.0,0.0
2016-02-20,25.540000915527344,25.200000762939453,25.81999969482422,24.88999938964844,25.540000915527344,7525300.0,1864.4075372791292,0,25.52747136116045,1838.8800659179688,72,-6.682174133777618,2000,DeployReady,69.46722448784965,25.422,24.0905,0.0,0.0,0.0,30.0,1.6581,JD,0.7378,DeployReady,0.8101,0.4625,-2.52319376220701,6,176.07000732421875,0.0,0.0
2016-02-21,25.540000915527344,25.200000762939453,25.81999969482422,24.88999938964844,25.540000915527344,7525300.0,1864.4075372791292,0,25.52747136116045,1838.8800659179688,72,-6.682174133777618,2000,DeployReady,69.46722448784965,25.534,24.088,0.0,0.0,0.0,30.0,1.6189,JD,0.7378,DeployReady,0.8101,0.4625,-2.52319376220701,6,176.07000732421875,0.0,0.0
2016-02-22,26.31999969482422,26.09000015258789,26.46999931335449,25.670000076293945,26.31999969482422,8158100.0,1920.5674493885042,0,25.52747136116045,1895.0399780273438,72,-3.874178528308869,2000,RiskWatch,79.7323220129934,25.654,24.1705,0.0,0.0,0.0,30.0,1.7285,JD,0.7452,RiskWatch,0.7948,0.4755,-1.1371998046874832,6,178.58999633789062,0.0,0.0
