Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2017-11-09,0.0023439999204128,0.0023040000814944,0.0024379999376833,0.002284999936819,0.0023439999204128,2924350.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0023439999204128,0.0,TRX-USD,0.8,Buy,0.0,0.0,237.17999267578125
2017-11-10,0.0020129999611526,0.0023350000847131,0.0023499999660998,0.0019890000112354,0.0020129999611526,2193620.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0023439999204128,-0.9107,TRX-USD,0.8,Buy,-0.0693633339621691,0.0,237.0399932861328
2017-11-11,0.0020029998850077,0.002026000060141,0.0022980000358074,0.0018899999558925,0.0020029998850077,1748460.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0023439999204128,-1.476,TRX-USD,0.8,Buy,-0.0693633339621691,0.0,237.0399932861328
2017-11-12,0.001782999956049,0.0020059999078512,0.0020059999078512,0.0016840000171214,0.001782999956049,2174370.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0023439999204128,-2.3993,TRX-USD,0.8,Buy,-0.0693633339621691,0.0,237.0399932861328
2017-11-13,0.0021120000164955,0.0017950000474229,0.0021460000425577,0.0017709999810904,0.0021120000164955,2889150.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,0.0021,0.0,0.0,0.0,0.0,0.0023439999204128,-1.9033,TRX-USD,0.8,Buy,0.0693708939985882,0.0,237.32000732421875
2017-11-14,0.0024850000627338,0.002111000008881,0.0025659999810159,0.0020630001090466,0.0024850000627338,4040400.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,0.0021,0.0,0.0,0.0,0.0,0.0024850000627338,-0.3937,TRX-USD,0.8,Buy,-0.2179936495694043,0.0,236.7400054931641
2017-11-15,0.0023219999857246,0.0024439999833703,0.0024999999441206,0.0021879998967051,0.0023219999857246,5008060.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,0.0021,0.0,0.0,0.0,0.0,0.0024850000627338,0.1149,TRX-USD,0.8,Buy,-0.8174969759854314,0.0,235.52999877929688
2017-11-16,0.0022090000566095,0.0023229999933391,0.0023380001075565,0.0018230000277981,0.0022090000566095,5082450.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,0.0022,0.0,0.0,0.0,0.0,0.0024850000627338,0.1208,TRX-USD,0.8,Buy,0.1783639387651128,0.0,237.5399932861328
2017-11-17,0.001983999973163,0.0021869998890906,0.0021889999043196,0.0019490000559017,0.001983999973163,5720510.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,0.0022,0.0,0.0,0.0,0.0,0.0024850000627338,-0.5157,TRX-USD,0.8,Buy,-0.1387266679243382,0.0,236.8999938964844
2017-11-18,0.00202800007537,0.001979999942705,0.0020429999567568,0.0019059999613091,0.00202800007537,5709820.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,,0.0,0.0022,0.0,0.0,0.0,0.0,0.0024850000627338,-0.7522,TRX-USD,0.8,Buy,-0.1387266679243382,0.0,236.8999938964844
