Date,rate_456680.KS_5D,rate_VOO_20D
2023-05,0.0,1.4317
2023-06,4.1352,10.4466
2023-07,-9.4344,14.9519
2023-08,-16.9285,12.7623
2023-09,-22.114,4.6026
2023-10,-24.4971,0.7912
2023-11,-34.3623,13.7134
2023-12,-34.404,20.3644
2024-01,-43.056,22.3395
2024-02,-31.6278,30.3704
2024-03,-23.5802,36.5235
2024-04,-21.741,28.4164
2024-05,-26.4043,36.4178
2024-06,-38.7192,43.4215
2024-07,-38.8612,44.181
2024-08,-38.0039,50.4359
2024-09,4.3293,51.5495
2024-10,-0.6662,48.7483
2024-11,-9.0939,59.2352
2024-12,-5.7471,53.4831
2025-01,-11.8777,57.8977
2025-02,16.1874,54.3681
2025-03,10.6405,42.2844
2025-04,7.0877,41.9214
2025-05,6.0576,52.9107
2025-06,-0.8906,62.2854
2025-07,3.6329,66.0624
2025-08,25.0858,65.4102
2025-09,89.1708,71.9173
2025-10,65.6969,76.1033
2025-11,60.0035,75.5599
2025-12,60.9612,74.71
2026-01,48.6111,76.8862
2026-02,58.9377,75.9351
