Date,rate_BLK_5D,rate_VOO_20D
2016-01,5.327,1.4254
2016-02,2.4502,0.6142
2016-03,10.4136,6.1243
2016-04,12.1442,4.6014
2016-05,12.0645,5.2878
2016-06,2.15,4.687
2016-07,9.0981,7.7174
2016-08,10.4887,6.8637
2016-09,6.3436,5.9421
2016-10,-0.2856,3.4868
2016-11,8.3014,6.843
2016-12,10.6041,8.2789
2017-01,7.6199,9.3935
2017-02,10.8504,12.821
2017-03,9.5292,12.0413
2017-04,9.2287,12.4367
2017-05,15.6749,13.2406
2017-06,18.9873,14.1802
2017-07,18.8679,15.6892
2017-08,16.5022,15.2834
2017-09,23.4321,16.8657
2017-10,28.5742,18.7799
2017-11,35.5056,21.509
2017-12,39.2134,22.1709
2018-01,50.2762,27.9258
2018-02,45.2162,22.2578
2018-03,41.8284,18.4465
2018-04,36.8408,18.162
2018-05,38.9032,20.337
2018-06,29.0954,20.5057
2018-07,29.0759,24.0401
2018-08,22.2931,27.2093
2018-09,20.4443,27.1082
2018-10,5.086,17.9327
2018-11,9.1617,19.5577
2018-12,0.7561,8.5722
2019-01,6.4445,16.8959
2019-02,13.3957,20.2219
2019-03,7.8733,21.9603
2019-04,22.1828,26.2654
2019-05,4.1986,20.4953
2019-06,18.2955,25.3574
2019-07,17.4449,26.514
2019-08,5.9782,24.0717
2019-09,12.5043,25.9454
2019-10,16.3352,27.4086
2019-11,24.292,31.384
2019-12,26.5339,34.5804
2020-01,32.1419,33.8021
2020-02,27.0849,22.3336
2020-03,29.1501,15.1867
2020-04,46.8964,29.6272
2020-05,46.116,28.2305
2020-06,46.4143,28.0341
2020-07,51.7718,33.4885
2020-08,55.8358,42.106
2020-09,49.1947,38.2475
2020-10,64.7102,34.0563
2020-11,77.0527,42.9575
2020-12,81.2881,47.5016
2021-01,79.3724,45.1166
2021-02,71.3428,43.0879
2021-03,85.8199,49.8512
2021-04,100.4361,56.911
2021-05,106.4897,54.6413
2021-06,105.3254,57.2758
2021-07,101.9247,60.2291
2021-08,118.0036,64.0213
2021-09,96.092,55.5224
2021-10,119.0061,65.5435
2021-11,111.9927,65.5034
2021-12,110.0518,68.4598
2022-01,87.4466,58.7763
2022-02,68.3751,53.2596
2022-03,72.6731,58.2953
2022-04,57.6939,52.2757
2022-05,63.6987,51.0659
2022-06,51.4879,38.0304
2022-07,60.0837,50.1558
2022-08,58.6636,43.3725
2022-09,31.2839,29.6913
2022-10,53.5529,39.7003
2022-11,70.2318,46.8631
2022-12,69.6805,40.5677
2023-01,77.7776,48.7988
2023-02,68.9898,45.5387
2023-03,63.6013,49.6635
2023-04,61.3296,48.4614
2023-05,61.6422,48.1923
2023-06,70.3924,57.2072
2023-07,81.3169,61.7125
2023-08,71.1702,59.5229
2023-09,58.3852,51.3631
2023-10,49.4146,47.5518
2023-11,82.6404,60.474
2023-12,97.5593,67.125
2024-01,87.4913,69.1001
2024-02,95.4884,77.1309
2024-03,101.1048,83.2841
2024-04,87.2688,75.177
2024-05,90.6986,83.1784
2024-06,97.3817,90.182
2024-07,118.6906,90.9416
2024-08,115.0018,97.1965
2024-09,116.6685,98.31
2024-10,122.9487,95.5089
2024-11,123.5968,105.9957
2024-12,120.1128,100.2436
2025-01,129.8039,104.6582
2025-02,107.9006,101.1287
2025-03,103.5856,89.045
2025-04,98.0165,88.6819
2025-05,111.2919,99.6712
2025-06,118.1882,109.046
2025-07,128.7916,112.823
2025-08,121.0545,112.1707
2025-09,130.7331,118.6779
2025-10,113.2823,122.8639
2025-11,105.3665,122.3204
2025-12,112.0506,121.4705
2026-01,120.6727,123.6468
2026-02,108.7761,120.852
