Date,rate_C_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-16.0244,-1.8027
2016-03,-6.1429,4.5695
2016-04,5.1712,3.6217
2016-05,4.7856,4.6859
2016-06,-5.4074,4.2011
2016-07,-1.0163,7.3141
2016-08,8.1184,6.5393
2016-09,6.1601,5.8417
2016-10,9.8255,3.4057
2016-11,25.3177,7.0013
2016-12,29.6874,8.6582
2017-01,19.705,9.9058
2017-02,27.0221,13.4199
2017-03,25.0449,12.5861
2017-04,22.3656,12.9516
2017-05,23.9142,13.7442
2017-06,35.3551,14.6714
2017-07,36.618,16.2352
2017-08,34.504,15.7466
2017-09,41.9917,17.3266
2017-10,41.5441,19.2474
2017-11,45.319,22.0133
2017-12,41.3615,22.6523
2018-01,47.3421,28.4864
2018-02,41.7326,22.6807
2018-03,25.4948,18.8927
2018-04,26.0031,18.6249
2018-05,23.9721,20.8091
2018-06,23.552,20.9812
2018-07,31.8985,24.5763
2018-08,32.1729,27.7899
2018-09,32.1152,27.6747
2018-10,19.6925,18.1983
2018-11,20.3496,19.8597
2018-12,-3.7333,8.8011
2019-01,19.2908,17.1215
2019-02,20.412,20.4441
2019-03,16.5657,22.1999
2019-04,31.8598,26.5012
2019-05,17.7792,17.9266
2019-06,32.2128,25.7011
2019-07,33.5586,26.9004
2019-08,23.0395,24.2426
2019-09,31.5222,26.142
2019-10,36.1231,28.3311
2019-11,44.3179,32.3256
2019-12,52.4856,35.5485
2020-01,42.0017,34.7719
2020-02,22.1868,23.2511
2020-03,-19.1299,7.5779
2020-04,-6.1406,21.2186
2020-05,-4.1464,26.5774
2020-06,2.1797,28.3766
2020-07,1.0094,35.3325
2020-08,5.2872,44.0777
2020-09,-11.2666,37.914
2020-10,-12.4648,33.7633
2020-11,17.9956,47.7098
2020-12,31.7533,52.3667
2021-01,26.6826,49.9654
2021-02,43.3672,53.2453
2021-03,57.4498,60.4049
2021-04,54.3935,67.83
2021-05,71.9445,67.8968
2021-06,53.5613,70.6358
2021-07,48.2057,73.7106
2021-08,57.9963,77.7187
2021-09,53.3895,68.3779
2021-10,53.7149,79.119
2021-11,40.8672,76.6949
2021-12,33.0407,83.6042
2022-01,42.9617,72.9303
2022-02,32.8306,66.8181
2022-03,19.4196,72.1992
2022-04,9.8961,56.2223
2022-05,22.8326,55.8933
2022-06,5.5558,42.4002
2022-07,22.4987,54.8512
2022-08,14.9429,47.8158
2022-09,-2.0059,33.7039
2022-10,7.8599,44.0824
2022-11,17.3313,51.4429
2022-12,9.4949,42.1877
2023-01,26.2661,50.5828
2023-02,25.9622,46.2373
2023-03,16.1808,52.2586
2023-04,20.2233,54.0684
2023-05,12.9722,54.1996
2023-06,17.188,63.548
2023-07,21.1113,68.1942
2023-08,8.7843,64.7317
2023-09,8.2289,56.2636
2023-10,3.8337,52.2886
2023-11,25.3175,65.5989
2023-12,39.383,72.448
2024-01,51.7431,74.4576
2024-02,53.6648,82.7177
2024-03,74.4716,89.0282
2024-04,68.4803,80.6052
2024-05,74.8275,88.8335
2024-06,77.3005,96.0415
2024-07,80.4975,97.3583
2024-08,75.0974,101.128
2024-09,74.2693,105.7758
2024-10,77.9307,102.865
2024-11,97.2454,113.7798
2024-12,95.0146,107.7813
2025-01,124.5687,112.3595
2025-02,120.9138,108.6721
2025-03,95.2031,96.0839
2025-04,87.2184,93.6359
2025-05,106.8856,104.9003
2025-06,132.7245,114.5225
2025-07,154.8885,118.4064
2025-08,162.9534,121.8959
2025-09,174.9037,128.6764
2025-10,172.7181,133.0211
2025-11,179.2208,132.409
2025-12,212.829,131.4906
2026-01,208.459,133.7386
2026-02,193.7122,130.7823
2026-03,190.3606,117.6607
