Date,rate_FE_5D,rate_VOO_20D
2016-01,3.345,1.4254
2016-02,2.5565,0.6142
2016-03,8.4061,6.1243
2016-04,-3.5115,4.6014
2016-05,-1.9365,5.2878
2016-06,1.7864,4.687
2016-07,1.4395,7.7174
2016-08,-3.5632,6.8637
2016-09,-2.0589,5.9421
2016-10,1.9406,3.4868
2016-11,-5.9769,6.843
2016-12,-6.3125,8.2789
2017-01,-7.8494,9.3935
2017-02,2.8983,12.821
2017-03,0.9449,12.0413
2017-04,-5.0799,12.4367
2017-05,-5.6768,13.2406
2017-06,-5.6003,14.1802
2017-07,3.6002,15.6892
2017-08,6.7601,15.2834
2017-09,0.9767,16.8657
2017-10,7.8505,18.7799
2017-11,12.662,21.509
2017-12,0.9983,22.1709
2018-01,8.4715,27.9258
2018-02,2.7771,22.2578
2018-03,6.1614,18.4465
2018-04,7.045,18.162
2018-05,10.2106,20.337
2018-06,14.6454,20.5057
2018-07,12.6374,24.0401
2018-08,19.4986,27.2093
2018-09,18.2365,27.1082
2018-10,16.6866,17.9327
2018-11,15.8545,19.5577
2018-12,12.9002,8.5722
2019-01,17.5007,16.8959
2019-02,22.7885,20.2219
2019-03,24.771,21.9603
2019-04,25.417,26.2654
2019-05,22.9345,20.4953
2019-06,23.0186,25.3574
2019-07,25.7457,26.514
2019-08,32.0333,24.0717
2019-09,37.6768,25.9454
2019-10,34.8762,27.4086
2019-11,33.4498,31.384
2019-12,35.284,34.5804
2020-01,40.6503,33.8021
2020-02,35.2608,22.3336
2020-03,34.4724,15.1867
2020-04,42.4998,29.6272
2020-05,46.7527,28.2305
2020-06,37.9071,28.0341
2020-07,0.4705,33.4885
2020-08,0.3555,42.106
2020-09,-0.6618,38.2475
2020-10,7.154,34.0563
2020-11,5.0958,42.9575
2020-12,13.6218,47.5016
2021-01,13.6348,45.1166
2021-02,18.7005,43.0879
2021-03,18.3491,49.8512
2021-04,28.2626,56.911
2021-05,27.3683,54.6413
2021-06,23.3252,57.2758
2021-07,26.6244,60.2291
2021-08,29.3328,64.0213
2021-09,22.8221,55.5224
2021-10,30.4433,65.5435
2021-11,28.3357,65.5034
2021-12,37.6976,68.4598
2022-01,38.4073,58.7763
2022-02,38.6203,53.2596
2022-03,46.9608,58.2953
2022-04,42.8156,52.2757
2022-05,43.5101,51.0659
2022-06,27.7961,38.0304
2022-07,36.4725,50.1558
2022-08,32.1548,43.3725
2022-09,23.2186,29.6913
2022-10,24.8303,39.7003
2022-11,40.3974,46.8631
2022-12,39.4456,40.5677
2023-01,33.2765,48.7988
2023-02,29.5568,45.5387
2023-03,30.91,49.6635
2023-04,31.167,48.4614
2023-05,24.5313,48.1923
2023-06,29.1801,57.2072
2023-07,30.533,61.7125
2023-08,25.945,59.5229
2023-09,19.0912,51.3631
2023-10,23.8001,47.5518
2023-11,29.6332,60.474
2023-12,28.3058,67.125
2024-01,28.078,69.1001
2024-02,28.9319,77.1309
2024-03,35.6748,83.2841
2024-04,32.3952,75.177
2024-05,40.1802,83.1784
2024-06,32.876,90.182
2024-07,45.1627,90.9416
2024-08,53.1203,97.1965
2024-09,53.1424,98.31
2024-10,42.6623,95.5089
2024-11,46.1861,105.9957
2024-12,36.2743,100.2436
2025-01,36.0089,104.6582
2025-02,36.3102,101.1287
2025-03,38.9642,89.045
2025-04,40.1869,88.6819
2025-05,38.2155,99.6712
2025-06,32.4577,109.046
2025-07,40.2217,112.823
2025-08,44.3068,112.1707
2025-09,51.1803,118.6779
2025-10,50.7853,122.8639
2025-11,61.0305,122.3204
2025-12,50.6195,121.4705
2026-01,58.8225,123.6468
2026-02,75.829,120.852
