Date,rate_GD_5D,rate_VOO_20D
2016-01,3.8279,1.4254
2016-02,3.8176,0.6142
2016-03,-1.5075,6.1243
2016-04,6.1429,4.6014
2016-05,5.8638,5.2878
2016-06,3.7237,4.687
2016-07,8.377,7.7174
2016-08,11.0284,6.8637
2016-09,11.8354,5.9421
2016-10,8.0258,3.4868
2016-11,24.8146,6.843
2016-12,20.9916,8.2789
2017-01,25.3836,9.3935
2017-02,29.5241,12.821
2017-03,25.6993,12.0413
2017-04,28.9656,12.4367
2017-05,33.4854,13.2406
2017-06,28.2953,14.1802
2017-07,26.0883,15.6892
2017-08,27.8734,15.2834
2017-09,29.2325,16.8657
2017-10,26.7712,18.7799
2017-11,28.2534,21.509
2017-12,24.8875,22.1709
2018-01,36.0282,27.9258
2018-02,27.7588,22.2578
2018-03,25.7786,18.4465
2018-04,14.2891,18.162
2018-05,14.0128,20.337
2018-06,5.186,20.5057
2018-07,12.9669,24.0401
2018-08,9.0345,27.2093
2018-09,15.1234,27.1082
2018-10,6.777,17.9327
2018-11,12.0693,19.5577
2018-12,-4.9911,8.5722
2019-01,4.1644,16.8959
2019-02,3.4139,20.2219
2019-03,2.731,21.9603
2019-04,8.9827,26.2654
2019-05,-1.8855,20.4953
2019-06,10.6798,25.3574
2019-07,14.167,26.514
2019-08,15.6259,24.0717
2019-09,11.4274,25.9454
2019-10,8.9841,27.4086
2019-11,11.795,31.384
2019-12,8.219,34.5804
2020-01,8.0488,33.8021
2020-02,-1.904,22.3336
2020-03,-15.214,15.1867
2020-04,-15.2382,29.6272
2020-05,-8.8454,28.2305
2020-06,-7.2951,28.0341
2020-07,-8.3331,33.4885
2020-08,-5.9616,42.106
2020-09,-7.9132,38.2475
2020-10,-12.0737,34.0563
2020-11,-1.8829,42.9575
2020-12,-1.6162,47.5016
2021-01,-3.5335,45.1166
2021-02,3.3515,43.0879
2021-03,11.1661,49.8512
2021-04,16.9276,56.911
2021-05,16.1472,54.6413
2021-06,13.2946,57.2758
2021-07,18.4928,60.2291
2021-08,20.8005,64.0213
2021-09,17.9079,55.5224
2021-10,22.3838,65.5435
2021-11,13.8001,65.5034
2021-12,25.256,68.4598
2022-01,25.7877,58.7763
2022-02,38.5766,53.2596
2022-03,37.1443,58.2953
2022-04,35.4963,52.2757
2022-05,29.5884,51.0659
2022-06,25.7073,38.0304
2022-07,28.4282,50.1558
2022-08,29.335,43.3725
2022-09,19.5162,29.6913
2022-10,41.1299,39.7003
2022-11,38.1353,46.8631
2022-12,34.943,40.5677
2023-01,27.053,48.7988
2023-02,23.9497,45.5387
2023-03,23.8303,49.6635
2023-04,18.9005,48.4614
2023-05,11.0386,48.1923
2023-06,16.8591,57.2072
2023-07,21.9768,61.7125
2023-08,21.403,59.5229
2023-09,18.1423,51.3631
2023-10,26.3816,47.5518
2023-11,28.0959,60.474
2023-12,34.3593,67.125
2024-01,37.4385,69.1001
2024-02,41.3215,77.1309
2024-03,45.6497,83.2841
2024-04,48.4307,75.177
2024-05,53.9303,83.1784
2024-06,48.4775,90.182
2024-07,54.6688,90.9416
2024-08,54.4965,97.1965
2024-09,54.5841,98.31
2024-10,47.7224,95.5089
2024-11,44.6004,105.9957
2024-12,33.8649,100.2436
2025-01,33.0475,104.6582
2025-02,30.5224,101.1287
2025-03,40.546,89.045
2025-04,33.3121,88.6819
2025-05,36.1166,99.6712
2025-06,42.2121,109.046
2025-07,47.9851,112.823
2025-08,53.6852,112.1707
2025-09,60.9824,118.6779
2025-10,64.432,122.8639
2025-11,62.3182,122.3204
2025-12,59.4429,121.4705
2026-01,65.7466,123.6468
2026-02,67.9908,120.852
