Date,rate_HIG_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,4.9748,-0.6039
2016-03,12.0305,5.2168
2016-04,4.5032,3.9893
2016-05,5.5684,4.6886
2016-06,2.7553,4.1237
2016-07,-8.0906,7.1795
2016-08,-3.8671,6.3603
2016-09,0.7144,5.6281
2016-10,3.7003,3.196
2016-11,10.8836,6.7601
2016-12,11.0459,8.3626
2017-01,13.5104,10.2536
2017-02,12.891,13.6522
2017-03,10.4719,12.7005
2017-04,10.3909,12.9818
2017-05,12.518,13.693
2017-06,18.8742,13.5288
2017-07,23.2098,15.0481
2017-08,20.3435,14.5515
2017-09,22.3001,16.1037
2017-10,20.3692,17.9557
2017-11,25.1284,20.6805
2017-12,21.5114,21.3029
2018-01,26.8595,28.0338
2018-02,13.0862,22.1441
2018-03,10.3163,18.3021
2018-04,14.9433,18.0902
2018-05,11.6938,20.2208
2018-06,8.693,20.3415
2018-07,11.6874,23.8746
2018-08,7.0055,27.0072
2018-09,6.1404,27.7347
2018-10,-3.6561,18.1437
2018-11,-5.5571,19.7418
2018-12,-4.8152,8.5778
2019-01,0.4691,17.1263
2019-02,5.6519,20.3748
2019-03,6.8666,22.0514
2019-04,12.2083,26.2651
2019-05,13.3015,17.5943
2019-06,19.4435,25.308
2019-07,22.9989,26.4355
2019-08,24.4592,23.7232
2019-09,29.4047,26.1617
2019-10,21.2412,28.2707
2019-11,31.4448,32.1761
2019-12,28.4166,35.3247
2020-01,25.2703,35.2749
2020-02,5.7202,23.5454
2020-03,-25.6119,7.7105
2020-04,-19.0972,21.425
2020-05,-17.2254,26.7132
2020-06,-16.3575,28.4357
2020-07,-7.7793,35.3124
2020-08,-10.9896,43.9511
2020-09,-18.7376,37.6938
2020-10,-14.7078,33.4637
2020-11,-1.154,47.2943
2020-12,9.4618,51.8455
2021-01,7.3178,50.305
2021-02,13.9006,53.4604
2021-03,49.6312,59.4101
2021-04,46.8644,66.6882
2021-05,45.4699,66.6274
2021-06,37.2,69.2184
2021-07,40.1879,72.1455
2021-08,48.1591,75.992
2021-09,53.9906,66.6118
2021-10,58.9496,77.1553
2021-11,44.0593,74.6519
2021-12,49.7888,81.397
2022-01,55.123,70.7122
2022-02,49.9842,64.6001
2022-03,54.3451,69.8532
2022-04,49.5165,54.0273
2022-05,55.1057,53.6333
2022-06,39.2892,40.2902
2022-07,36.6851,52.5094
2022-08,36.6736,45.531
2022-09,31.1245,31.5965
2022-10,52.7527,41.7445
2022-11,61.2322,48.9584
2022-12,59.3133,39.838
2023-01,63.0513,48.5632
2023-02,63.6631,44.2258
2023-03,45.8819,48.9578
2023-04,47.9938,50.6836
2023-05,43.1461,50.7741
2023-06,49.8799,59.884
2023-07,48.978,64.3798
2023-08,49.1406,60.953
2023-09,46.6551,52.6248
2023-10,51.3414,48.7132
2023-11,61.3676,61.6976
2023-12,65.23,68.3392
2024-01,78.7489,71.0275
2024-02,96.0158,79.0476
2024-03,110.6513,83.99
2024-04,96.9195,75.7344
2024-05,109.1126,83.6813
2024-06,103.0298,89.2836
2024-07,122.7725,90.5002
2024-08,131.8254,94.0822
2024-09,135.7771,98.2932
2024-10,120.0668,95.412
2024-11,144.3151,105.8418
2024-12,116.3798,99.9875
2025-01,120.6315,105.351
2025-02,132.6368,101.7087
2025-03,142.9878,89.4719
2025-04,139.4933,87.0451
2025-05,152.0459,97.8575
2025-06,145.8069,107.0685
2025-07,139.6257,110.7404
2025-08,153.4705,114.0337
2025-09,156.5349,121.6081
2025-10,137.4525,125.7153
2025-11,160.5895,125.0226
2025-12,161.7083,124.0393
2026-01,156.5048,127.2713
2026-02,109.815,125.3185
