Date,rate_HUBB_5D,rate_VOO_20D
2016-01,2.9063,1.4254
2016-02,12.4478,0.6142
2016-03,13.3494,6.1243
2016-04,9.2732,4.6014
2016-05,8.4529,5.2878
2016-06,6.2784,4.687
2016-07,7.7139,7.7174
2016-08,8.039,6.8637
2016-09,6.5219,5.9421
2016-10,2.6972,3.4868
2016-11,10.7901,6.843
2016-12,13.8898,8.2789
2017-01,15.6854,9.3935
2017-02,13.2749,12.821
2017-03,13.5797,12.0413
2017-04,6.227,12.4367
2017-05,10.9835,13.2406
2017-06,7.6997,14.1802
2017-07,12.6003,15.6892
2017-08,7.0166,15.2834
2017-09,9.7327,16.8657
2017-10,18.5119,18.7799
2017-11,18.383,21.509
2017-12,26.5942,22.1709
2018-01,26.0059,27.9258
2018-02,19.2461,22.2578
2018-03,10.2784,18.4465
2018-04,-6.2142,18.162
2018-05,-1.8543,20.337
2018-06,-3.5829,20.5057
2018-07,12.4139,24.0401
2018-08,15.6349,27.2093
2018-09,21.6606,27.1082
2018-10,-7.1511,17.9327
2018-11,1.2134,19.5577
2018-12,-8.761,8.5722
2019-01,0.6736,16.8959
2019-02,9.4312,20.2219
2019-03,6.912,21.9603
2019-04,14.3603,26.2654
2019-05,5.4123,20.4953
2019-06,14.1294,25.3574
2019-07,13.3531,26.514
2019-08,11.7686,24.0717
2019-09,11.5371,25.9454
2019-10,19.4469,27.4086
2019-11,24.9962,31.384
2019-12,25.1105,34.5804
2020-01,20.7093,33.8021
2020-02,12.615,22.3336
2020-03,9.0203,15.1867
2020-04,11.8456,29.6272
2020-05,11.8505,28.2305
2020-06,13.7021,28.0341
2020-07,23.0761,33.4885
2020-08,31.1684,42.106
2020-09,28.8454,38.2475
2020-10,35.5834,34.0563
2020-11,46.0236,42.9575
2020-12,38.7516,47.5016
2021-01,40.9394,45.1166
2021-02,55.9668,43.0879
2021-03,61.0421,49.8512
2021-04,62.2409,56.911
2021-05,60.8032,54.6413
2021-06,56.6564,57.2758
2021-07,67.1716,60.2291
2021-08,65.8113,64.0213
2021-09,44.6603,55.5224
2021-10,58.9313,65.5435
2021-11,56.0109,65.5034
2021-12,65.0527,68.4598
2022-01,54.5739,58.7763
2022-02,49.6238,53.2596
2022-03,53.5764,58.2953
2022-04,58.7781,52.2757
2022-05,54.6863,51.0659
2022-06,44.9302,38.0304
2022-07,76.9894,50.1558
2022-08,66.6823,43.3725
2022-09,75.2295,29.6913
2022-10,76.5569,39.7003
2022-11,85.2181,46.8631
2022-12,75.6522,40.5677
2023-01,66.9998,48.7988
2023-02,83.3288,45.5387
2023-03,79.6351,49.6635
2023-04,93.422,48.4614
2023-05,93.7228,48.1923
2023-06,125.2816,57.2072
2023-07,117.3196,61.7125
2023-08,128.7532,59.5229
2023-09,115.817,51.3631
2023-10,90.4458,47.5518
2023-11,109.0233,60.474
2023-12,127.9092,67.125
2024-01,131.1587,69.1001
2024-02,152.0855,77.1309
2024-03,173.0789,83.2841
2024-04,145.3312,75.177
2024-05,145.0984,83.1784
2024-06,130.4785,90.182
2024-07,133.4728,90.9416
2024-08,129.5398,97.1965
2024-09,131.9653,98.31
2024-10,137.7155,95.5089
2024-11,130.1922,105.9957
2024-12,109.0695,100.2436
2025-01,110.0884,104.6582
2025-02,84.3787,101.1287
2025-03,64.7795,89.045
2025-04,80.2,88.6819
2025-05,93.879,99.6712
2025-06,99.8887,109.046
2025-07,113.175,112.823
2025-08,104.7881,112.1707
2025-09,104.0987,118.6779
2025-10,121.9644,122.8639
2025-11,104.8147,122.3204
2025-12,109.9415,121.4705
2026-01,129.6247,123.6468
2026-02,140.2962,120.852
