Date,rate_IQV_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.1825,-1.8027
2016-03,1.5499,4.5695
2016-04,6.3073,3.6217
2016-05,3.2753,4.6859
2016-06,-1.1194,4.2011
2016-07,17.1896,7.3141
2016-08,14.3807,6.5393
2016-09,18.2377,5.8417
2016-10,3.086,3.4057
2016-11,10.0798,7.0013
2016-12,8.5745,8.6582
2017-01,11.3681,9.9058
2017-02,9.0011,13.4199
2017-03,12.7994,12.5861
2017-04,17.2019,12.9516
2017-05,19.1408,13.7442
2017-06,22.2002,14.6714
2017-07,22.4463,16.2352
2017-08,28.5987,15.7466
2017-09,25.9838,17.3266
2017-10,41.8601,19.2474
2017-11,32.163,22.0133
2017-12,25.5543,22.6523
2018-01,29.9717,28.4864
2018-02,23.8896,22.6807
2018-03,22.772,18.8927
2018-04,19.0462,18.6249
2018-05,22.2148,20.8091
2018-06,22.5108,20.9812
2018-07,48.6853,24.5763
2018-08,53.3568,27.7899
2018-09,54.8956,27.6747
2018-10,45.2412,18.1983
2018-11,46.465,19.8597
2018-12,34.8649,8.8011
2019-01,48.7057,17.1215
2019-02,60.0507,20.4441
2019-03,62.6832,22.1999
2019-04,55.5763,26.5012
2019-05,50.9119,17.9266
2019-06,77.2547,25.7011
2019-07,73.5779,26.9004
2019-08,67.5881,24.2426
2019-09,59.9184,26.142
2019-10,53.4199,28.3311
2019-11,53.8916,32.3256
2019-12,61.6896,35.5485
2020-01,61.1978,34.7719
2020-02,43.7726,23.2511
2020-03,10.5397,7.5779
2020-04,46.0188,21.2186
2020-05,52.2783,26.5774
2020-06,43.5866,28.3766
2020-07,59.3985,35.3325
2020-08,63.6882,44.0777
2020-09,56.4899,37.914
2020-10,51.9252,33.7633
2020-11,65.7398,47.7098
2020-12,74.5301,52.3667
2021-01,71.9855,49.9654
2021-02,85.1842,53.2453
2021-03,84.1527,60.4049
2021-04,122.077,67.83
2021-05,125.3239,67.8968
2021-06,125.4489,70.6358
2021-07,128.502,73.7106
2021-08,137.5985,77.7187
2021-09,117.3016,68.3779
2021-10,135.2751,79.119
2021-11,131.3423,76.6949
2021-12,149.8747,83.6042
2022-01,115.173,72.9303
2022-02,100.7188,66.8181
2022-03,100.3313,72.1992
2022-04,87.6045,56.2223
2022-05,84.1251,55.8933
2022-06,84.5584,42.4002
2022-07,103.1533,54.8512
2022-08,78.7155,47.8158
2022-09,51.4444,33.7039
2022-10,74.5455,44.0824
2022-11,80.5603,51.4429
2022-12,68.7882,42.1877
2023-01,88.0564,50.5828
2023-02,69.9694,46.2373
2023-03,61.3887,52.2586
2023-04,52.0903,54.0684
2023-05,58.4683,54.1996
2023-06,80.0952,63.548
2023-07,78.4101,68.1942
2023-08,76.6826,64.7317
2023-09,55.423,56.2636
2023-10,42.3176,52.2886
2023-11,67.9321,65.5989
2023-12,80.6917,72.448
2024-01,61.8888,74.4576
2024-02,91.3526,82.7177
2024-03,94.8188,89.0282
2024-04,77.7087,80.6052
2024-05,67.2678,88.8335
2024-06,60.7956,96.0415
2024-07,86.5654,97.3583
2024-08,89.7353,101.128
2024-09,77.9386,105.7758
2024-10,53.9502,102.865
2024-11,49.7209,113.7798
2024-12,46.045,107.7813
2025-01,49.2133,112.3595
2025-02,39.4943,108.6721
2025-03,29.938,96.0839
2025-04,14.0975,93.6359
2025-05,3.1705,104.9003
2025-06,15.8151,114.5225
2025-07,36.3745,118.4064
2025-08,39.6943,121.8959
2025-09,38.7207,128.6764
2025-10,57.617,133.0211
2025-11,66.9593,132.409
2025-12,63.083,131.4906
2026-01,65.9774,133.7386
2026-02,28.5728,130.7823
2026-03,23.156,126.4154
