Date,rate_JNJ_5D,rate_VOO_20D
2016-01,2.3334,1.4254
2016-02,4.2656,0.6142
2016-03,5.1066,6.1243
2016-04,7.0617,4.6014
2016-05,8.0083,5.2878
2016-06,14.4858,4.687
2016-07,16.045,7.7174
2016-08,11.1812,6.8637
2016-09,8.8351,5.9421
2016-10,5.9856,3.4868
2016-11,3.4075,6.843
2016-12,6.6439,8.2789
2017-01,4.2166,9.3935
2017-02,14.3303,12.821
2017-03,15.2553,12.0413
2017-04,13.2569,12.4367
2017-05,17.5993,13.2406
2017-06,20.2575,14.1802
2017-07,19.4841,15.6892
2017-08,20.4249,15.2834
2017-09,17.2761,16.8657
2017-10,24.8019,18.7799
2017-11,24.3452,21.509
2017-12,23.6525,22.1709
2018-01,21.3033,27.9258
2018-02,14.093,22.2578
2018-03,11.5647,18.4465
2018-04,9.2822,18.162
2018-05,6.1221,20.337
2018-06,7.3445,20.5057
2018-07,16.9308,24.0401
2018-08,19.0935,27.2093
2018-09,21.5128,27.1082
2018-10,22.4458,17.9327
2018-11,25.0341,19.5577
2018-12,9.2163,8.5722
2019-01,12.3706,16.8959
2019-02,15.7747,20.2219
2019-03,17.9848,21.9603
2019-04,18.7329,26.2654
2019-05,11.201,20.4953
2019-06,17.5297,25.3574
2019-07,9.6362,26.514
2019-08,8.6429,24.0717
2019-09,9.3019,25.9454
2019-10,11.2933,27.4086
2019-11,16.4488,31.384
2019-12,23.1351,34.5804
2020-01,25.1509,33.8021
2020-02,13.3601,22.3336
2020-03,6.6426,15.1867
2020-04,21.888,29.6272
2020-05,21.8443,28.2305
2020-06,14.9776,28.0341
2020-07,18.8815,33.4885
2020-08,25.5508,42.106
2020-09,21.7559,38.2475
2020-10,16.0281,34.0563
2020-11,19.4081,42.9575
2020-12,29.4539,47.5016
2021-01,33.6804,45.1166
2021-02,29.4492,43.0879
2021-03,33.1842,49.8512
2021-04,31.3706,56.911
2021-05,36.9359,54.6413
2021-06,32.8102,57.2758
2021-07,38.2942,60.2291
2021-08,39.3014,64.0213
2021-09,29.4914,55.5224
2021-10,30.1738,65.5435
2021-11,25.0504,65.5034
2021-12,36.6958,68.4598
2022-01,37.1627,58.7763
2022-02,33.8867,53.2596
2022-03,43.6808,58.2953
2022-04,42.1077,52.2757
2022-05,41.4889,51.0659
2022-06,39.3812,38.0304
2022-07,36.5292,50.1558
2022-08,26.6478,43.3725
2022-09,27.8879,29.6913
2022-10,35.8175,39.7003
2022-11,36.3871,46.8631
2022-12,34.9133,40.5677
2023-01,29.6398,48.7988
2023-02,24.799,45.5387
2023-03,25.911,49.6635
2023-04,31.9934,48.4614
2023-05,29.8423,48.1923
2023-06,36.9396,57.2072
2023-07,38.1694,61.7125
2023-08,37.9491,59.5229
2023-09,31.7235,51.3631
2023-10,25.1217,47.5518
2023-11,31.1885,60.474
2023-12,32.5996,67.125
2024-01,34.0807,69.1001
2024-02,39.9893,77.1309
2024-03,36.8208,83.2841
2024-04,24.724,75.177
2024-05,27.2632,83.1784
2024-06,26.5506,90.182
2024-07,36.389,90.9416
2024-08,40.9745,97.1965
2024-09,37.3622,98.31
2024-10,35.1513,95.5089
2024-11,31.8117,105.9957
2024-12,22.7021,100.2436
2025-01,28.8708,104.6582
2025-02,40.5681,101.1287
2025-03,38.7026,89.045
2025-04,35.4469,88.6819
2025-05,35.3243,99.6712
2025-06,31.6015,109.046
2025-07,41.2139,112.823
2025-08,52.5509,112.1707
2025-09,59.1535,118.6779
2025-10,61.6004,122.8639
2025-11,77.5613,122.3204
2025-12,76.896,121.4705
2026-01,93.5168,123.6468
2026-02,110.6384,120.852
