Date,rate_LULU_5D,rate_VOO_20D
2016-01,10.7968,1.4254
2016-02,3.8226,0.6142
2016-03,11.2298,6.1243
2016-04,4.5949,4.6014
2016-05,3.8084,5.2878
2016-06,11.0182,4.687
2016-07,14.8653,7.7174
2016-08,11.022,6.8637
2016-09,-11.0852,5.9421
2016-10,-14.7702,3.4868
2016-11,-13.8295,6.843
2016-12,-0.4161,8.2789
2017-01,2.9701,9.3935
2017-02,-0.6849,12.821
2017-03,-21.0895,12.0413
2017-04,-19.5976,12.4367
2017-05,-24.2657,13.2406
2017-06,-4.8466,14.1802
2017-07,-1.4472,15.6892
2017-08,-7.7992,15.2834
2017-09,-0.2181,16.8657
2017-10,-1.4026,18.7799
2017-11,7.2044,21.509
2017-12,25.1136,22.1709
2018-01,23.5283,27.9258
2018-02,22.5698,22.2578
2018-03,33.7156,18.4465
2018-04,48.4086,18.162
2018-05,54.3729,20.337
2018-06,80.7439,20.5057
2018-07,71.2744,24.0401
2018-08,117.9446,27.2093
2018-09,124.8771,27.1082
2018-10,85.2019,17.9327
2018-11,71.4502,19.5577
2018-12,55.4717,8.5722
2019-01,87.1364,16.8959
2019-02,87.976,20.2219
2019-03,102.3521,21.9603
2019-04,114.9797,26.2654
2019-05,105.1935,20.4953
2019-06,114.2651,25.3574
2019-07,124.2987,26.514
2019-08,117.2943,24.0717
2019-09,124.7428,25.9454
2019-10,129.3303,27.4086
2019-11,150.3024,31.384
2019-12,153.7182,34.5804
2020-01,158.9133,33.8021
2020-02,156.5745,22.3336
2020-03,155.741,15.1867
2020-04,198.0701,29.6272
2020-05,268.542,28.2305
2020-06,279.9692,28.0341
2020-07,297.729,33.4885
2020-08,352.6796,42.106
2020-09,335.7174,38.2475
2020-10,326.1752,34.0563
2020-11,361.5409,42.9575
2020-12,327.5319,47.5016
2021-01,297.7504,45.1166
2021-02,264.3818,43.0879
2021-03,254.4549,49.8512
2021-04,283.0751,56.911
2021-05,258.6407,54.6413
2021-06,300.6729,57.2758
2021-07,315.3414,60.2291
2021-08,310.6736,64.0213
2021-09,314.3217,55.5224
2021-10,372.4777,65.5435
2021-11,356.819,65.5034
2021-12,332.6973,68.4598
2022-01,265.0425,58.7763
2022-02,246.4579,53.2596
2022-03,280.972,58.2953
2022-04,282.3835,52.2757
2022-05,258.6405,51.0659
2022-06,230.8488,38.0304
2022-07,252.7223,50.1558
2022-08,237.6884,43.3725
2022-09,211.8858,29.6913
2022-10,263.9061,39.7003
2022-11,288.0474,46.8631
2022-12,262.9819,40.5677
2023-01,244.6173,48.7988
2023-02,243.0598,45.5387
2023-03,291.834,49.6635
2023-04,293.4273,48.4614
2023-05,275.2426,48.1923
2023-06,296.1384,57.2072
2023-07,283.0508,61.7125
2023-08,282.7019,59.5229
2023-09,288.0269,51.3631
2023-10,292.5891,47.5518
2023-11,331.3198,60.474
2023-12,389.5745,67.125
2024-01,331.0421,69.1001
2024-02,340.1315,77.1309
2024-03,265.2449,83.2841
2024-04,234.8154,75.177
2024-05,187.6873,83.1784
2024-06,173.6705,90.182
2024-07,135.5648,90.9416
2024-08,135.0855,97.1965
2024-09,136.8008,98.31
2024-10,148.195,95.5089
2024-11,158.956,105.9957
2024-12,196.9087,100.2436
2025-01,219.6004,104.6582
2025-02,180.3526,101.1287
2025-03,121.735,89.045
2025-04,125.5748,88.6819
2025-05,162.5032,99.6712
2025-06,95.9062,109.046
2025-07,64.6287,112.823
2025-08,65.4414,112.1707
2025-09,45.0906,118.6779
2025-10,38.6991,122.8639
2025-11,49.4442,122.3204
2025-12,68.1577,121.4705
2026-01,40.8631,123.6468
2026-02,49.099,120.852
