Date,rate_NXPI_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-9.6829,-3.7423
2016-03,-7.5202,0.3764
2016-04,4.9564,5.1946
2016-05,7.7743,3.5695
2016-06,17.4819,4.8356
2016-07,-5.3255,4.3651
2016-08,3.0821,7.2005
2016-09,7.2194,6.5176
2016-10,23.4166,5.8316
2016-11,18.1454,2.6321
2016-12,14.3805,6.5262
2017-01,13.4748,8.6002
2017-02,12.1324,9.8701
2017-03,17.4618,14.9815
2017-04,16.6291,12.5254
2017-05,18.3307,13.1716
2017-06,20.9645,14.581
2017-07,19.9367,14.626
2017-08,20.6743,16.4591
2017-09,21.5739,15.9061
2017-10,20.7447,17.2911
2017-11,24.2569,19.4181
2017-12,20.5512,21.7575
2018-01,22.0995,22.6249
2018-02,25.5698,28.3844
2018-03,27.1193,21.0506
2018-04,19.2131,18.8566
2018-05,5.344,18.843
2018-06,15.2785,22.0592
2018-07,10.0041,20.962
2018-08,-4.2436,24.4135
2018-09,-6.3856,27.7869
2018-10,-14.1113,28.1445
2018-11,-14.6535,19.3954
2018-12,-14.972,19.8359
2019-01,-24.6433,8.7501
2019-02,-8.2949,17.203
2019-03,-1.9963,21.2677
2019-04,-1.0217,23.6016
2019-05,10.1183,25.5902
2019-06,-7.743,17.8911
2019-07,5.0319,26.7327
2019-08,4.9963,25.8061
2019-09,7.1249,24.2046
2019-10,15.2951,24.595
2019-11,24.4856,29.5299
2019-12,21.4202,32.3145
2020-01,34.3742,35.5516
2020-02,33.2494,34.7733
2020-03,18.8183,23.2161
2020-04,-20.9708,2.6957
2020-05,1.5055,17.923
2020-06,5.3961,27.1545
2020-07,19.9913,29.2791
2020-08,25.6323,35.3897
2020-09,36.5366,45.4969
2020-10,39.2488,38.8421
2020-11,42.939,33.8054
2020-12,67.4267,49.4413
2021-01,66.6201,52.4925
2021-02,78.559,52.5474
2021-03,93.5899,57.1165
2021-04,115.1479,62.2404
2021-05,97.3814,68.0147
2021-06,111.5515,67.9506
2021-07,104.3213,71.7835
2021-08,107.3125,73.9065
2021-09,110.8266,78.108
2021-10,91.3666,70.559
2021-11,102.1198,79.7147
2021-12,118.1624,74.8714
2022-01,121.7076,83.8439
2022-02,101.1239,74.2485
2022-03,73.8319,64.4857
2022-04,74.4536,72.8765
2022-05,62.8741,56.3809
2022-06,75.0189,54.7432
2022-07,38.5647,43.9638
2022-08,74.3771,54.5402
2022-09,54.5503,48.4061
2022-10,38.8578,33.808
2022-11,42.4534,43.6413
2022-12,62.1218,51.6237
2023-01,47.8287,42.3283
2023-02,80.7277,52.4008
2023-03,65.8175,45.8599
2023-04,73.018,52.4428
2023-05,53.2852,54.1535
2023-06,66.4722,55.8684
2023-07,88.3436,63.7729
2023-08,104.5809,67.9151
2023-09,91.1353,65.3142
2023-10,81.9797,56.4671
2023-11,56.2842,54.158
2023-12,85.6159,66.8181
2024-01,107.1883,72.7134
2024-02,91.1241,77.0248
2024-03,129.9266,84.7703
2024-04,119.5436,89.0895
2024-05,121.139,80.3005
2024-06,139.9282,89.1407
2024-07,133.8071,96.817
2024-08,113.2087,94.9948
2024-09,123.2118,101.4737
2024-10,102.0077,104.2286
2024-11,106.5583,104.0979
2024-12,97.6178,114.1559
2025-01,79.1266,108.1307
2025-02,78.9997,112.719
2025-03,84.2988,109.0154
2025-04,62.6162,97.097
2025-05,55.0955,95.2965
2025-06,62.5058,105.2137
2025-07,88.3045,114.7559
2025-08,77.9636,115.142
2025-09,98.3456,122.2543
2025-10,89.9976,129.8729
2025-11,75.9479,133.4127
2025-12,67.2359,131.7276
2026-01,82.2018,131.8756
2026-02,85.3417,120.852
