Date,rate_OKLO_5D,rate_VOO_20D
2021-07,0.0,0.0
2021-08,-0.8508,6.9999
2021-09,-0.5674,-2.341
2021-10,2.8823,8.4001
2021-11,0.8129,5.976
2021-12,-0.2164,12.8853
2022-01,-2.006,2.2114
2022-02,-1.5543,-3.9008
2022-03,-0.8744,1.4803
2022-04,-0.99,-14.4966
2022-05,-1.7131,-14.8256
2022-06,-1.6635,-28.3187
2022-07,-1.05,-15.8677
2022-08,-0.748,-22.9031
2022-09,-0.3207,-37.015
2022-10,0.5153,-26.6365
2022-11,0.695,-19.276
2022-12,1.2568,-28.5312
2023-01,2.2096,-20.1361
2023-02,3.0,-24.4816
2023-03,3.2636,-18.4602
2023-04,4.4342,-16.6505
2023-05,8.4498,-16.5193
2023-06,5.4243,-7.1708
2023-07,4.1997,-2.5247
2023-08,4.34,-5.9872
2023-09,4.0859,-14.4553
2023-10,3.639,-18.4303
2023-11,3.8175,-5.1199
2023-12,5.7821,1.7291
2024-01,11.1883,3.7387
2024-02,6.0512,11.9988
2024-03,13.6234,18.3093
2024-04,35.9802,9.8863
2024-05,-1.097,18.1146
2024-06,-16.7687,25.3226
2024-07,-9.9282,26.6395
2024-08,-40.552,30.4091
2024-09,-18.0731,35.0569
2024-10,128.0864,32.1461
2024-11,135.8668,43.0609
2024-12,109.8178,37.0624
2025-01,306.0874,41.6407
2025-02,220.3123,37.9532
2025-03,104.3759,25.365
2025-04,121.7152,22.917
2025-05,386.027,34.1815
2025-06,407.626,43.8036
2025-07,583.1902,47.6875
2025-08,545.8036,51.177
2025-09,862.6351,57.9575
2025-10,1025.0923,62.3023
2025-11,661.1207,61.6901
2025-12,488.192,60.7717
2026-01,542.7531,63.0197
2026-02,400.5644,60.0634
2026-03,288.8368,46.8909
2026-04,461.2299,68.6674
2026-05,410.5693,80.1185
2026-06,294.1647,75.8043
2026-07,188.9296,74.5948
2026-08,198.6881,79.9429
2026-09,180.7589,77.1491
