Date,rate_ROP_5D,rate_VOO_20D
2016-01,3.3248,1.4254
2016-02,0.6409,0.6142
2016-03,8.4434,6.1243
2016-04,2.355,4.6014
2016-05,-1.1738,5.2878
2016-06,-1.5755,4.687
2016-07,-1.2496,7.7174
2016-08,2.9888,6.8637
2016-09,5.2816,5.9421
2016-10,-0.3508,3.4868
2016-11,4.2704,6.843
2016-12,4.8243,8.2789
2017-01,9.4322,9.3935
2017-02,18.6013,12.821
2017-03,15.9274,12.0413
2017-04,21.7876,12.4367
2017-05,25.2363,13.2406
2017-06,26.0603,14.1802
2017-07,25.2804,15.6892
2017-08,22.9804,15.2834
2017-09,28.6256,16.8657
2017-10,35.1093,18.7799
2017-11,38.2143,21.509
2017-12,32.5229,22.1709
2018-01,42.3712,27.9258
2018-02,34.7516,22.2578
2018-03,34.0204,18.4465
2018-04,27.4797,18.162
2018-05,32.0153,20.337
2018-06,30.9253,20.5057
2018-07,42.7987,24.0401
2018-08,39.8421,27.2093
2018-09,37.5803,27.1082
2018-10,24.6589,17.9327
2018-11,30.3651,19.5577
2018-12,15.9966,8.5722
2019-01,23.0315,16.8959
2019-02,39.7868,20.2219
2019-03,46.5512,21.9603
2019-04,53.4674,26.2654
2019-05,46.6244,20.4953
2019-06,49.8296,25.3574
2019-07,48.1082,26.514
2019-08,48.2247,24.0717
2019-09,43.0778,25.9454
2019-10,34.5752,27.4086
2019-11,43.1014,31.384
2019-12,39.7786,34.5804
2020-01,49.9358,33.8021
2020-02,37.2009,22.3336
2020-03,36.9942,15.1867
2020-04,39.315,29.6272
2020-05,60.0412,28.2305
2020-06,57.8631,28.0341
2020-07,71.7647,33.4885
2020-08,71.5344,42.106
2020-09,65.9366,38.2475
2020-10,55.0798,34.0563
2020-11,77.1534,42.9575
2020-12,77.5746,47.5016
2021-01,58.8594,45.1166
2021-02,51.6355,43.0879
2021-03,61.0733,49.8512
2021-04,78.1674,56.911
2021-05,76.6441,54.6413
2021-06,83.3604,57.2758
2021-07,90.5221,60.2291
2021-08,86.1117,64.0213
2021-09,70.6501,55.5224
2021-10,85.7156,65.5435
2021-11,78.3381,65.5034
2021-12,85.1122,68.4598
2022-01,64.1874,58.7763
2022-02,67.4138,53.2596
2022-03,68.7802,58.2953
2022-04,65.4045,52.2757
2022-05,58.5995,51.0659
2022-06,40.8301,38.0304
2022-07,55.4694,50.1558
2022-08,42.7188,43.3725
2022-09,27.0036,29.6913
2022-10,46.1727,39.7003
2022-11,52.3431,46.8631
2022-12,50.6532,40.5677
2023-01,50.2424,48.7988
2023-02,50.5264,45.5387
2023-03,53.6175,49.6635
2023-04,58.1465,48.4614
2023-05,56.1561,48.1923
2023-06,63.3667,57.2072
2023-07,67.5206,61.7125
2023-08,68.8135,59.5229
2023-09,63.5327,51.3631
2023-10,61.6678,47.5518
2023-11,77.381,60.474
2023-12,78.8395,67.125
2024-01,75.6228,69.1001
2024-02,77.3324,77.1309
2024-03,81.7544,83.2841
2024-04,66.0605,75.177
2024-05,70.511,83.1784
2024-06,79.6398,90.182
2024-07,72.1002,90.9416
2024-08,75.9484,97.1965
2024-09,75.8657,98.31
2024-10,70.3136,95.5089
2024-11,69.3645,105.9957
2024-12,54.8721,100.2436
2025-01,71.7907,104.6582
2025-02,73.7728,101.1287
2025-03,70.8669,89.045
2025-04,60.7159,88.6819
2025-05,63.0892,99.6712
2025-06,61.5534,109.046
2025-07,56.5694,112.823
2025-08,49.2775,112.1707
2025-09,41.0438,118.6779
2025-10,26.4966,122.8639
2025-11,26.2913,122.3204
2025-12,25.7683,121.4705
2026-01,5.613,123.6468
2026-02,-0.2883,120.852
