Date,rate_SJM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.1517,-0.6039
2016-03,0.6255,5.2168
2016-04,-2.2608,3.9893
2016-05,0.1356,4.6886
2016-06,17.7832,4.1237
2016-07,16.5438,7.1795
2016-08,5.828,6.3603
2016-09,0.6303,5.6281
2016-10,-2.6051,3.196
2016-11,-5.7816,6.7601
2016-12,-3.6734,8.3626
2017-01,2.1692,10.2536
2017-02,6.9317,13.6522
2017-03,-1.5317,12.7005
2017-04,-4.7157,12.9818
2017-05,-3.0009,13.693
2017-06,-10.135,13.5288
2017-07,-6.8753,15.0481
2017-08,-18.9753,14.5515
2017-09,-17.9272,16.1037
2017-10,-16.207,17.9557
2017-11,-6.3883,20.6805
2017-12,-0.0007,21.3029
2018-01,2.1309,28.0338
2018-02,2.2025,22.1441
2018-03,0.2197,18.3021
2018-04,-7.6971,18.0902
2018-05,-12.1667,20.2208
2018-06,-11.721,20.3415
2018-07,-8.2551,23.8746
2018-08,-13.6405,27.0072
2018-09,-14.277,27.7347
2018-10,-9.0434,18.1437
2018-11,-11.3044,19.7418
2018-12,-20.3189,8.5778
2019-01,-10.6201,17.1263
2019-02,-8.6902,20.3748
2019-03,0.6945,22.0514
2019-04,5.9756,26.2651
2019-05,5.6136,17.5943
2019-06,-0.1377,25.308
2019-07,-3.6296,26.4355
2019-08,-8.0183,23.7232
2019-09,-3.8144,26.1617
2019-10,-7.4665,28.2707
2019-11,-7.0448,32.1761
2019-12,-7.7611,35.3247
2020-01,-8.2206,35.2749
2020-02,-7.8279,23.5454
2020-03,-0.6126,7.7105
2020-04,2.9213,21.425
2020-05,2.7497,26.7132
2020-06,-4.6648,28.4357
2020-07,-1.3824,35.3124
2020-08,9.1631,43.9511
2020-09,4.8004,37.6938
2020-10,1.6826,33.4637
2020-11,6.907,47.2943
2020-12,5.3175,51.8455
2021-01,6.054,50.305
2021-02,2.7612,53.4604
2021-03,16.008,59.4101
2021-04,19.7989,66.6882
2021-05,22.3495,66.6274
2021-06,18.5557,69.2184
2021-07,19.6353,72.1455
2021-08,13.434,75.992
2021-09,9.9022,66.6118
2021-10,12.3247,77.1553
2021-11,16.3102,74.6519
2021-12,24.6194,81.397
2022-01,28.5776,70.7122
2022-02,23.759,64.6001
2022-03,24.1634,69.8532
2022-04,25.1727,54.0273
2022-05,15.1945,53.6333
2022-06,17.4047,40.2902
2022-07,21.0645,52.5094
2022-08,28.6778,45.531
2022-09,25.8896,31.5965
2022-10,37.6157,41.7445
2022-11,41.0988,48.9584
2022-12,44.6121,39.838
2023-01,39.4519,48.5632
2023-02,35.4098,44.2258
2023-03,43.6427,48.9578
2023-04,40.3993,50.6836
2023-05,33.7217,50.7741
2023-06,34.3058,59.884
2023-07,36.5631,64.3798
2023-08,31.9372,60.953
2023-09,11.5946,52.6248
2023-10,3.2519,48.7132
2023-11,0.4549,61.6976
2023-12,15.6373,68.3392
2024-01,20.3667,71.0275
2024-02,10.6998,79.0476
2024-03,15.7689,83.99
2024-04,5.4884,75.7344
2024-05,3.463,83.6813
2024-06,1.0142,89.2836
2024-07,9.2305,90.5002
2024-08,7.0871,94.0822
2024-09,13.0205,98.2932
2024-10,5.8048,95.412
2024-11,10.7349,105.8418
2024-12,3.3836,99.9875
2025-01,0.3513,105.351
2025-02,4.7813,101.7087
2025-03,12.1577,89.4719
2025-04,10.0083,87.0451
2025-05,7.4888,97.8575
2025-06,-6.3215,107.0685
2025-07,2.4068,110.7404
2025-08,6.4422,114.0337
2025-09,4.6214,121.6081
2025-10,-0.29,125.7153
2025-11,1.3724,125.0226
2025-12,-4.8227,124.0393
2026-01,2.0314,127.2713
2026-02,-26.1548,125.3185
