Date,rate_VZ_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,5.6637,-1.8027
2016-03,10.0986,4.5695
2016-04,2.5196,3.6217
2016-05,1.9335,4.6859
2016-06,11.5579,4.2011
2016-07,10.07,7.3141
2016-08,2.9926,6.5393
2016-09,1.9267,5.8417
2016-10,-4.7051,3.4057
2016-11,-0.6193,7.0013
2016-12,6.339,8.6582
2017-01,0.6399,9.9058
2017-02,1.9945,13.4199
2017-03,0.0363,12.5861
2017-04,-4.589,12.9516
2017-05,-2.8,13.7442
2017-06,-6.7539,14.6714
2017-07,2.6238,16.2352
2017-08,1.5228,15.7466
2017-09,4.6615,17.3266
2017-10,4.7652,19.2474
2017-11,11.1393,22.0133
2017-12,15.0734,22.6523
2018-01,18.2071,28.4864
2018-02,3.753,22.6807
2018-03,3.7701,18.8927
2018-04,8.2236,18.6249
2018-05,4.3169,20.8091
2018-06,9.9189,20.9812
2018-07,13.7733,24.5763
2018-08,19.3143,27.7899
2018-09,16.5907,27.6747
2018-10,25.4189,18.1983
2018-11,31.7755,19.8597
2018-12,22.0528,8.8011
2019-01,20.2553,17.1215
2019-02,23.7954,20.4441
2019-03,27.9602,22.1999
2019-04,24.3883,26.5012
2019-05,17.6921,17.9266
2019-06,23.261,25.7011
2019-07,20.0415,26.9004
2019-08,25.8316,24.2426
2019-09,29.99,26.142
2019-10,30.9092,28.3311
2019-11,29.7611,32.3256
2019-12,31.6252,35.5485
2020-01,28.1141,34.7719
2020-02,16.2301,23.2511
2020-03,14.9928,7.5779
2020-04,27.9141,21.2186
2020-05,27.3032,26.5774
2020-06,21.8842,28.3766
2020-07,28.0304,35.3325
2020-08,31.4953,44.0777
2020-09,31.4315,37.914
2020-10,26.7755,33.7633
2020-11,33.8907,47.7098
2020-12,29.6606,52.3667
2021-01,21.767,49.9654
2021-02,22.6591,53.2453
2021-03,28.5948,60.4049
2021-04,28.734,67.83
2021-05,25.4086,67.8968
2021-06,24.0096,70.6358
2021-07,24.4775,73.7106
2021-08,22.383,77.7187
2021-09,19.8649,68.3779
2021-10,18.7333,79.119
2021-11,12.3942,76.6949
2021-12,16.0055,83.6042
2022-01,22.8873,72.9303
2022-02,23.5889,66.8181
2022-03,17.0113,72.1992
2022-04,7.6001,56.2223
2022-05,19.0741,55.8933
2022-06,17.5772,42.4002
2022-07,8.2826,54.8512
2022-08,-2.0703,47.8158
2022-09,-11.0285,33.7039
2022-10,-10.7699,44.0824
2022-11,-6.797,51.4429
2022-12,-5.692,42.1877
2023-01,1.1268,50.5828
2023-02,-5.5999,46.2373
2023-03,-5.3258,52.2586
2023-04,0.9435,54.0684
2023-05,-7.3597,54.1996
2023-06,-3.2265,63.548
2023-07,-6.1837,68.1942
2023-08,-3.5239,64.7317
2023-09,-10.565,56.2636
2023-10,2.5587,52.2886
2023-11,11.8007,65.5989
2023-12,9.8374,72.448
2024-01,25.1878,74.4576
2024-02,18.0527,82.7177
2024-03,23.5741,89.0282
2024-04,18.0315,80.6052
2024-05,22.8232,88.8335
2024-06,22.8673,96.0415
2024-07,22.4702,97.3583
2024-08,26.0256,101.128
2024-09,35.1916,105.7758
2024-10,28.5473,102.865
2024-11,35.0582,113.7798
2024-12,21.5265,107.7813
2025-01,25.6757,112.3595
2025-02,37.2406,108.6721
2025-03,44.0781,96.0839
2025-04,41.7154,93.6359
2025-05,41.0759,104.9003
2025-06,38.5088,114.5225
2025-07,38.7016,118.4064
2025-08,43.1096,121.8959
2025-09,41.8382,128.6764
2025-10,34.6017,133.0211
2025-11,38.93,132.409
2025-12,37.333,131.4906
2026-01,49.7632,133.7386
2026-02,68.1961,130.7823
2026-03,69.446,126.4154
