Date,rate_XRP-USD_5D,rate_VOO_20D
2017-11,0.0,0.0
2017-12,877.8453,3.7241
2018-01,245.6678,9.5581
2018-02,125.2741,3.7524
2018-03,13.1579,-0.0356
2018-04,82.9434,-0.3034
2018-05,25.0743,1.8808
2018-06,-7.3347,2.0529
2018-07,-12.6227,5.648
2018-08,-31.8648,8.8616
2018-09,22.5554,8.7465
2018-10,-6.8807,-0.7299
2018-11,-24.3784,0.9314
2018-12,-24.9097,-10.1272
2019-01,-32.7157,-1.8067
2019-02,-29.5139,1.5158
2019-03,-29.1573,3.2716
2019-04,-27.5421,7.573
2019-05,4.8131,-1.0016
2019-06,-5.3873,6.7728
2019-07,-23.2796,7.9722
2019-08,-37.1229,5.3144
2019-09,-36.3023,7.2137
2019-10,-24.3826,9.4029
2019-11,-41.4062,13.3973
2019-12,-48.7062,16.6203
2020-01,-34.1653,15.8436
2020-02,-35.227,4.3228
2020-03,-50.1245,-11.3504
2020-04,-37.2139,2.2903
2020-05,-39.0636,7.6491
2020-06,-46.206,9.4484
2020-07,-18.822,16.4043
2020-08,-11.3984,25.1495
2020-09,-23.7925,18.9858
2020-10,-23.7385,14.8351
2020-11,112.9214,28.7815
2020-12,-30.3824,33.4384
2021-01,57.0941,31.0371
2021-02,31.9059,34.3171
2021-03,81.0643,41.4766
2021-04,396.604,48.9017
2021-05,220.4502,48.9685
2021-06,112.9875,51.7075
2021-07,122.9709,54.7824
2021-08,249.9091,58.7905
2021-09,176.3715,49.4496
2021-10,218.4458,60.1907
2021-11,181.7399,57.7666
2021-12,131.4693,64.6759
2022-01,70.4996,54.002
2022-02,113.5793,47.8898
2022-03,120.2173,53.271
2022-04,57.1223,37.2941
2022-05,12.1412,36.965
2022-06,-11.9592,23.4719
2022-07,1.399,35.9229
2022-08,-12.6217,28.8875
2022-09,28.0883,14.7756
2022-10,23.9524,25.1541
2022-11,8.4142,32.5146
2022-12,-9.8932,23.2595
2023-01,7.8984,31.6546
2023-02,0.0017,27.309
2023-03,42.7003,33.3304
2023-04,24.674,35.1402
2023-05,36.1791,35.2714
2023-06,24.317,44.6198
2023-07,82.6238,49.2659
2023-08,32.6963,45.8035
2023-09,33.4636,37.3353
2023-10,54.8574,33.3604
2023-11,55.6438,46.6707
2023-12,57.0682,53.5197
2024-01,27.8949,55.5293
2024-02,48.5719,63.7894
2024-03,58.7223,70.0999
2024-04,25.5939,61.6769
2024-05,29.6662,69.9052
2024-06,18.7358,77.1132
2024-07,55.4689,78.4301
2024-08,40.5563,82.1998
2024-09,51.2773,86.8475
2024-10,25.5119,83.9368
2024-11,377.7089,94.8516
2024-12,406.2209,88.853
2025-01,631.6662,93.4313
2025-02,412.1787,89.7438
2025-03,394.352,77.1556
2025-04,413.7722,74.7076
2025-05,405.3817,85.9721
2025-06,415.6399,95.5942
2025-07,590.7415,99.4781
2025-08,528.2546,102.9676
2025-09,538.4638,109.7481
2025-10,457.6563,114.0929
2025-11,376.3039,113.4807
2025-12,302.3538,112.5623
2026-01,279.4389,114.8103
2026-02,191.9832,111.8541
2026-03,206.1663,101.9414
