Month,RelDiv,D0,DivPct3y,Bucket3y,DivPct5y,Bucket5y,DivPct7y,Bucket7y,D_1m,ΔDiv_1m,D_3m,ΔDiv_3m,D_6m,ΔDiv_6m,D_1y,ΔDiv_1y,D_2y,ΔDiv_2y,D_3y,ΔDiv_3y,D_5y,ΔDiv_5y,D_7y,ΔDiv_7y,D_max,ΔDiv_max
2016-01,,3.475,,NA,,NA,,NA,3.206,-0.269,1.5315,-1.9435,5.4663,1.9913,-12.593,-16.068,-18.8927,-22.3677,-6.8108,-10.2858,-16.1581,-19.6331,-51.2821,-54.7571,-90.419,-93.894
2016-02,0.0,3.206,,NA,,NA,,NA,-4.8553,-8.0613,1.1664,-2.0396,3.8207,0.6147,-9.6611,-12.8671,-21.0295,-24.2354,-7.7815,-10.9875,-13.2405,-16.4465,-48.0121,-51.2181,-95.1683,-98.3743
2016-04,76.67,1.5315,,NA,,NA,,NA,1.1664,-0.3651,5.4663,3.9348,-0.7676,-2.2991,-6.4287,-7.9602,-16.1654,-17.6969,-16.019,-17.5505,-11.8226,-13.3541,-45.2022,-46.7337,,
2016-05,72.29,1.1664,,NA,,NA,,NA,8.843,7.6767,3.8207,2.6543,-15.6953,-16.8616,-6.1391,-7.3054,-10.5765,-11.7429,-3.0155,-4.1818,-17.8736,-19.04,-55.2117,-56.3781,,
2016-06,100.0,8.843,,NA,,NA,,NA,5.4663,-3.3767,3.1246,-5.7184,-18.1948,-27.0378,-1.947,-10.79,-12.0467,-20.8898,-5.2012,-14.0443,-23.5032,-32.3462,-57.3463,-66.1893,,
2016-07,75.35,5.4663,,NA,,NA,,NA,3.8207,-1.6456,-0.7676,-6.2339,-12.593,-18.0593,-9.6146,-15.0809,-9.4393,-14.9056,0.6967,-4.7696,-18.8629,-24.3292,-62.4705,-67.9369,,
2016-08,63.34,3.8207,,NA,,NA,,NA,3.1246,-0.696,-15.6953,-19.5159,-9.6611,-13.4817,-13.6493,-17.47,-5.2861,-9.1068,10.1047,6.284,-21.1343,-24.9549,-66.5949,-70.4156,,
2016-09,58.25,3.1246,,NA,,NA,,NA,-0.7676,-3.8923,-18.1948,-21.3194,-9.0688,-12.1934,-18.31,-21.4347,-3.382,-6.5066,9.0112,5.8866,-21.3595,-24.4842,-61.0601,-64.1847,,
2018-11,77.69,2.1784,,NA,,NA,,NA,5.0879,2.9095,-7.7815,-9.9598,-3.0155,-5.1939,4.7429,2.5645,-10.477,-12.6554,-52.6217,-54.8,-69.0783,-71.2567,-85.1103,-87.2886,,
2018-12,87.43,5.0879,95.71,90-100,,NA,,NA,-6.8108,-11.8987,-8.5693,-13.6572,-5.2012,-10.2891,3.9218,-1.1661,-10.9071,-15.9949,-62.8832,-67.9711,-71.2776,-76.3655,-97.4872,-102.5751,,
2019-07,72.73,0.6967,93.06,90-100,,NA,,NA,10.1047,9.408,6.4134,5.7167,6.3208,5.6241,-17.9647,-18.6614,-18.8629,-19.5595,-47.044,-47.7407,-95.4074,-96.1041,,,,
2019-08,100.0,10.1047,98.61,90-100,,NA,,NA,9.0112,-1.0935,4.7429,-5.3618,-0.9112,-11.0158,-13.7143,-23.819,-21.1343,-31.2389,-45.4615,-55.5662,-88.7298,-98.8345,,,,
2019-09,96.49,9.0112,95.83,90-100,,NA,,NA,6.4134,-2.5978,3.9218,-5.0894,2.2864,-6.7248,-11.6691,-20.6803,-21.3595,-30.3708,-38.9265,-47.9377,-89.0023,-98.0136,,,,
2019-10,88.14,6.4134,93.06,90-100,,NA,,NA,4.7429,-1.6705,6.3208,-0.0926,-2.3148,-8.7282,-11.9841,-18.3975,-39.2064,-45.6198,-41.511,-47.9244,-87.2601,-93.6735,,,,
2019-11,82.78,4.7429,87.5,80-89,,NA,,NA,3.9218,-0.8211,-0.9112,-5.6541,-6.8262,-11.5691,-10.477,-15.2199,-52.6217,-57.3646,-58.6378,-63.3807,-101.8294,-106.5723,,,,
2019-12,80.14,3.9218,84.72,80-89,,NA,,NA,6.3208,2.399,2.2864,-1.6354,-16.5823,-20.5041,-10.9071,-14.8289,-62.8832,-66.805,-50.0515,-53.9733,-101.8273,-105.7492,,,,
2020-01,87.85,6.3208,90.28,90-100,,NA,,NA,-0.9112,-7.232,-2.3148,-8.6356,-17.9647,-24.2855,-16.1581,-22.4789,-52.4474,-58.7682,-51.2821,-57.603,-91.98,-98.3008,,,,
2020-03,74.89,2.2864,76.39,70-79,,NA,,NA,-2.3148,-4.6012,-16.5823,-18.8687,-11.6691,-13.9556,-18.9765,-21.2629,-42.9032,-45.1896,-55.7807,-58.0671,-74.5788,-76.8653,,,,
