Month,RelDiv,D0,DivPct3y,Bucket3y,DivPct5y,Bucket5y,DivPct7y,Bucket7y,D_1m,ΔDiv_1m,D_3m,ΔDiv_3m,D_6m,ΔDiv_6m,D_1y,ΔDiv_1y,D_2y,ΔDiv_2y,D_3y,ΔDiv_3y,D_5y,ΔDiv_5y,D_7y,ΔDiv_7y,D_max,ΔDiv_max
2016-01,,4.0804,,NA,,NA,,NA,-4.778,-8.8584,-1.0515,-5.1319,-8.3126,-12.393,2.8051,-1.2752,-46.0336,-50.114,-34.4923,-38.5727,260.9468,256.8664,-10.298,-14.3783,411.081,407.0006
2016-05,70.54,1.471,,NA,,NA,,NA,-5.5345,-7.0055,-11.7908,-13.2618,3.2575,1.7865,-13.3408,-14.8118,-40.2361,-41.7071,-30.5079,-31.9788,129.9401,128.4691,11.157,9.686,,
2016-10,100.0,8.3775,,NA,,NA,,NA,3.2575,-5.12,2.8051,-5.5724,-7.9198,-16.2973,-42.7663,-51.1438,-37.6368,-46.0143,-26.5629,-34.9404,250.0442,241.6667,73.934,65.5565,,
2016-11,74.61,3.2575,,NA,,NA,,NA,2.7494,-0.5081,-6.6772,-9.9348,-13.3408,-16.5984,-41.9535,-45.211,-36.3747,-39.6322,-32.5369,-35.7945,251.5736,248.316,99.0525,95.795,,
2016-12,72.09,2.7494,,NA,,NA,,NA,2.8051,0.0557,-8.6124,-11.3618,-9.2856,-12.035,-44.9334,-47.6828,-26.0796,-28.829,-40.8616,-43.611,136.235,133.4856,160.7287,157.9793,,
2017-01,72.37,2.8051,,NA,,NA,,NA,-6.6772,-9.4824,-7.9198,-10.7249,-42.4205,-45.2257,-46.0336,-48.8388,-34.4923,-37.2974,-33.7361,-36.5412,41.2489,38.4438,88.0449,85.2397,,
2020-11,100.0,84.9629,98.61,90-100,,NA,,NA,108.9712,24.0083,340.0886,255.1257,129.9401,44.9772,251.5736,166.6106,-41.2462,-126.2091,99.0525,14.0896,541.6787,456.7158,,,,
2020-12,100.0,108.9712,97.22,90-100,97.46,90-100,,NA,260.9468,151.9756,280.1691,171.198,246.1245,137.1533,136.235,27.2638,-63.4932,-172.4644,160.7287,51.7575,427.5944,318.6232,,,,
2021-01,100.0,260.9468,95.83,90-100,96.67,90-100,,NA,340.0886,79.1418,253.4946,-7.4522,214.4944,-46.4524,41.2489,-219.6979,-10.298,-271.2447,88.0449,-172.9019,411.081,150.1342,,,,
2021-02,100.0,340.0886,94.44,90-100,95.83,90-100,,NA,280.1691,-59.9195,129.9401,-210.1485,248.1157,-91.9729,89.1016,-250.987,-0.6445,-340.7331,349.476,9.3874,323.1488,-16.9398,,,,
2021-03,84.69,280.1691,87.5,80-89,90.83,90-100,,NA,253.4946,-26.6746,246.1245,-34.0447,182.4554,-97.7137,106.3829,-173.7863,9.44,-270.7291,690.4196,410.2504,361.3348,81.1657,,,,
2021-04,77.87,253.4946,84.72,80-89,89.17,80-89,,NA,129.9401,-123.5545,214.4944,-39.0002,250.0442,-3.4504,44.9672,-208.5274,26.7744,-226.7202,364.0972,110.6026,,,,,,
2021-05,46.3,129.9401,79.17,70-79,80.83,80-89,,NA,246.1245,116.1843,248.1157,118.1756,251.5736,121.6334,-6.487,-136.4271,11.157,-118.7831,584.5531,454.613,,,,,,
2021-06,75.99,246.1245,81.94,80-89,87.5,80-89,,NA,214.4944,-31.6301,182.4554,-63.669,136.235,-109.8895,-49.9215,-296.046,23.3373,-222.7872,496.8204,250.6959,,,,,,
2021-07,67.9,214.4944,79.17,70-79,80.83,80-89,,NA,248.1157,33.6214,250.0442,35.5499,41.2489,-173.2455,6.2132,-208.2812,69.5365,-144.9579,607.9373,393.443,,,,,,
2021-08,76.5,248.1157,81.94,80-89,87.5,80-89,,NA,182.4554,-65.6603,251.5736,3.4578,89.1016,-159.0141,-17.9951,-266.1109,28.1813,-219.9345,453.916,205.8002,,,,,,
2021-09,59.72,182.4554,73.61,70-79,77.5,70-79,,NA,250.0442,67.5888,136.235,-46.2204,106.3829,-76.0726,-14.9764,-197.4319,19.9774,-162.4781,621.4708,439.0154,,,,,,
2021-10,76.99,250.0442,81.94,80-89,89.17,80-89,,NA,251.5736,1.5293,41.2489,-208.7953,44.9672,-205.0771,5.2354,-244.8089,73.934,-176.1102,986.8148,736.7706,,,,,,
2021-11,77.38,251.5736,81.94,80-89,89.17,80-89,,NA,136.235,-115.3386,89.1016,-162.4719,-6.487,-258.0605,-41.2462,-292.8198,99.0525,-152.5211,1655.3679,1403.7944,,,,,,
2021-12,47.9,136.235,62.5,60-69,75.83,70-79,,NA,41.2489,-94.9861,106.3829,-29.8521,-49.9215,-186.1565,-63.4932,-199.7282,160.7287,24.4937,1177.2083,1040.9733,,,,,,
2022-01,23.63,41.2489,26.39,20-29,50.83,50-59,,NA,89.1016,47.8527,44.9672,3.7183,6.2132,-35.0357,-10.298,-51.5469,88.0449,46.796,1374.9634,1333.7145,,,,,,
2022-02,35.86,89.1016,56.94,50-59,72.5,70-79,,NA,106.3829,17.2813,-6.487,-95.5886,-17.9951,-107.0967,-0.6445,-89.7461,349.476,260.3744,992.1377,903.0361,,,,,,
2022-03,40.28,106.3829,56.94,50-59,74.17,70-79,,NA,44.9672,-61.4157,-49.9215,-156.3044,-14.9764,-121.3593,9.44,-96.9428,690.4196,584.0367,1147.8844,1041.5016,,,,,,
2022-04,24.58,44.9672,29.17,20-29,50.83,50-59,,NA,-6.487,-51.4541,6.2132,-38.754,5.2354,-39.7318,26.7744,-18.1927,364.0972,319.13,1563.6921,1518.7249,,,,,,
2022-07,14.68,6.2132,20.83,20-29,34.17,30-39,,NA,-17.9951,-24.2083,5.2354,-0.9778,-10.298,-16.5111,69.5365,63.3233,607.9373,601.7242,1593.7878,1587.5747,,,,,,
2022-10,14.43,5.2354,26.39,20-29,30.83,30-39,,NA,-41.2462,-46.4816,-10.298,-15.5333,26.7744,21.5391,73.934,68.6986,986.8148,981.5795,953.5007,948.2654,,,,,,
2023-03,18.07,9.44,43.06,40-49,40.83,40-49,47.02,40-49,26.7744,17.3344,23.3373,13.8972,19.9774,10.5373,690.4196,680.9795,1147.8844,1138.4444,361.3348,351.8948,,,,,,
2023-04,22.37,26.7744,43.06,40-49,42.5,40-49,51.79,50-59,11.157,-15.6174,69.5365,42.762,73.934,47.1596,364.0972,337.3227,1563.6921,1536.9177,,,,,,,,
2023-05,18.5,11.157,40.28,40-49,39.17,30-39,48.21,40-49,23.3373,12.1803,28.1813,17.0243,99.0525,87.8955,584.5531,573.3961,1487.103,1475.946,,,,,,,,
2023-06,21.51,23.3373,40.28,40-49,40.83,40-49,51.79,50-59,69.5365,46.1992,19.9774,-3.3599,160.7287,137.3914,496.8204,473.4831,1623.4159,1600.0786,,,,,,,,
2023-07,32.96,69.5365,51.39,50-59,62.5,60-69,68.45,60-69,28.1813,-41.3552,73.934,4.3975,88.0449,18.5084,607.9373,538.4009,1593.7878,1524.2513,,,,,,,,
2023-08,22.72,28.1813,40.28,40-49,44.17,40-49,52.98,50-59,19.9774,-8.2039,99.0525,70.8712,349.476,321.2947,453.916,425.7347,1273.9648,1245.7835,,,,,,,,
2023-09,20.68,19.9774,34.72,30-39,35.83,30-39,47.02,40-49,73.934,53.9566,160.7287,140.7513,690.4196,670.4422,621.4708,601.4934,1201.1254,1181.1481,,,,,,,,
2023-10,34.05,73.934,54.17,50-59,67.5,60-69,73.21,70-79,99.0525,25.1185,88.0449,14.1109,364.0972,290.1632,986.8148,912.8808,953.5007,879.5667,,,,,,,,
2023-11,40.28,99.0525,62.5,60-69,74.17,70-79,79.17,70-79,160.7287,61.6762,349.476,250.4235,584.5531,485.5006,1655.3679,1556.3154,541.6787,442.6262,,,,,,,,
2023-12,55.56,160.7287,70.83,70-79,79.17,70-79,83.93,80-89,88.0449,-72.6838,690.4196,529.6909,496.8204,336.0917,1177.2083,1016.4796,427.5944,266.8657,,,,,,,,
2024-01,37.55,88.0449,59.72,50-59,69.17,60-69,77.98,70-79,349.476,261.4311,364.0972,276.0523,607.9373,519.8925,1374.9634,1286.9185,411.081,323.0361,,,,,,,,
2024-02,100.0,349.476,98.61,90-100,95.83,90-100,97.02,90-100,690.4196,340.9436,584.5531,235.0771,453.916,104.44,992.1377,642.6617,323.1488,-26.3272,,,,,,,,
2024-03,100.0,690.4196,97.22,90-100,95.0,90-100,96.43,90-100,364.0972,-326.3224,496.8204,-193.5992,621.4708,-68.9488,1147.8844,457.4648,361.3348,-329.0848,,,,,,,,
