Month,RelDiv,D0,DivPct3y,Bucket3y,DivPct5y,Bucket5y,DivPct7y,Bucket7y,D_1m,ΔDiv_1m,D_3m,ΔDiv_3m,D_6m,ΔDiv_6m,D_1y,ΔDiv_1y,D_2y,ΔDiv_2y,D_3y,ΔDiv_3y,D_5y,ΔDiv_5y,D_7y,ΔDiv_7y,D_max,ΔDiv_max
2016-01,,4.064,,NA,,NA,,NA,0.6014,-3.4626,-8.7737,-12.8376,-13.8946,-17.9586,-15.2812,-19.3452,-4.7319,-8.7959,23.4644,19.4004,55.2566,51.1926,27.9751,23.9111,-144.6304,-148.6944
2016-02,0.0,0.6014,,NA,,NA,,NA,-5.9713,-6.5727,-14.8342,-15.4356,-8.6659,-9.2673,-10.7902,-11.3916,-1.9464,-2.5478,25.6415,25.0401,53.3204,52.719,19.4805,18.8792,-141.0517,-141.6531
2018-03,89.42,1.1334,,NA,,NA,,NA,4.181,3.0476,21.1747,20.0414,20.7747,19.6414,21.1932,20.0599,26.4301,25.2967,41.5408,40.4075,19.4622,18.3289,-106.4853,-107.6187,,
2018-04,100.0,4.181,,NA,,NA,,NA,7.3045,3.1235,11.3314,7.1504,12.0671,7.8861,21.8768,17.6958,19.3783,15.1973,32.1205,27.9395,22.5156,18.3346,-113.9614,-118.1424,,
2018-05,100.0,7.3045,,NA,,NA,,NA,21.1747,13.8703,16.5775,9.273,9.992,2.6875,11.8052,4.5007,32.7265,25.422,37.8958,30.5913,-8.2175,-15.5219,-119.1298,-126.4343,,
2018-06,100.0,21.1747,,NA,,NA,,NA,11.3314,-9.8433,20.7747,-0.4,19.2816,-1.8931,15.4483,-5.7264,28.9505,7.7757,60.5624,39.3876,-9.5926,-30.7673,-113.2659,-134.4406,,
2018-07,78.04,11.3314,,NA,,NA,,NA,16.5775,5.2461,12.0671,0.7357,23.4644,12.133,16.7122,5.3808,20.2643,8.9329,74.7947,63.4633,-14.8052,-26.1366,-112.0141,-123.3455,,
2018-08,89.74,16.5775,,NA,,NA,,NA,20.7747,4.1972,9.992,-6.5855,25.6415,9.064,16.6522,0.0748,34.2822,17.7047,65.7453,49.1678,-23.9144,-40.4919,-111.7481,-128.3256,,
2018-09,99.11,20.7747,,NA,,NA,,NA,12.0671,-8.7076,19.2816,-1.4931,21.1932,0.4185,30.1804,9.4057,60.5502,39.7755,44.4505,23.6758,-22.4412,-43.2159,-128.8999,-149.6746,,
2018-10,79.68,12.0671,,NA,,NA,,NA,9.992,-2.0751,23.4644,11.3974,21.8768,9.8097,19.6023,7.5353,54.4403,42.3733,64.1293,52.0622,-8.8556,-20.9226,-140.6702,-152.7373,,
2018-11,75.05,9.992,,NA,,NA,,NA,19.2816,9.2896,25.6415,15.6495,11.8052,1.8132,21.8543,11.8624,61.6971,51.7051,67.3535,57.3616,-12.184,-22.176,-139.9366,-149.9286,,
2018-12,95.78,19.2816,87.14,80-89,,NA,,NA,23.4644,4.1828,21.1932,1.9116,15.4483,-3.8333,30.7159,11.4343,66.903,47.6214,56.0994,36.8178,-20.4577,-39.7393,-139.715,-158.9966,,
2019-01,100.0,23.4644,94.44,90-100,,NA,,NA,25.6415,2.177,21.8768,-1.5876,16.7122,-6.7522,21.9913,-1.4731,55.2566,31.7922,38.334,14.8696,-32.8169,-56.2813,-144.6304,-168.0948,,
2019-02,100.0,25.6415,93.06,90-100,,NA,,NA,21.1932,-4.4482,11.8052,-13.8363,16.6522,-8.9892,21.9988,-3.6426,53.3204,27.679,26.6424,1.0009,-38.1687,-63.8102,-141.0517,-166.6932,,
2019-03,90.98,21.1932,79.17,70-79,,NA,,NA,21.8768,0.6836,15.4483,-5.7449,30.1804,8.9872,26.4301,5.2368,41.5408,20.3476,18.549,-2.6442,-57.1926,-78.3858,-145.3559,-166.5491,,
2019-04,92.36,21.8768,79.17,70-79,,NA,,NA,11.8052,-10.0716,16.7122,-5.1646,19.6023,-2.2745,19.3783,-2.4985,32.1205,10.2437,19.4692,-2.4076,-51.4623,-73.3391,,,,
2019-05,71.93,11.8052,56.94,50-59,,NA,,NA,15.4483,3.6431,16.6522,4.847,21.8543,10.0491,32.7265,20.9213,37.8958,26.0906,10.6252,-1.18,-56.0661,-67.8713,,,,
2019-06,79.32,15.4483,65.28,60-69,,NA,,NA,16.7122,1.2639,30.1804,14.7321,30.7159,15.2676,28.9505,13.5022,60.5624,45.1141,1.3593,-14.089,-90.4779,-105.9262,,,,
