Month,RelDiv,D0,DivPct3y,Bucket3y,DivPct5y,Bucket5y,DivPct7y,Bucket7y,D_1m,ΔDiv_1m,D_3m,ΔDiv_3m,D_6m,ΔDiv_6m,D_1y,ΔDiv_1y,D_2y,ΔDiv_2y,D_3y,ΔDiv_3y,D_5y,ΔDiv_5y,D_7y,ΔDiv_7y,D_max,ΔDiv_max
2020-06,100.0,6.7898,,NA,,NA,,NA,86.5721,79.7824,179.3479,172.5581,-6.7104,-13.5002,1894.4324,1887.6427,968.006,961.2162,305.4351,298.6453,2182.832,2176.0422,,,,
2020-07,100.0,86.5721,,NA,,NA,,NA,446.3316,359.7594,27.3054,-59.2667,218.2402,131.6681,1838.8389,1752.2667,1197.8893,1111.3172,405.3253,318.7531,2411.5153,2324.9432,,,,
2020-08,100.0,446.3316,,NA,,NA,,NA,179.3479,-266.9837,45.6698,-400.6618,871.0484,424.7168,5391.6788,4945.3472,828.8616,382.53,305.8294,-140.5021,2794.1456,2347.814,,,,
2020-09,45.26,179.3479,,NA,,NA,,NA,27.3054,-152.0424,-6.7104,-186.0583,1240.8644,1061.5165,6674.8748,6495.5269,865.7745,686.4266,343.4246,164.0767,2859.4035,2680.0557,,,,
2020-10,14.09,27.3054,,NA,,NA,,NA,45.6698,18.3643,218.2402,190.9348,2687.1073,2659.8018,9124.1838,9096.8784,809.6809,782.3755,717.8883,690.5829,2498.3014,2470.9959,,,,
2020-11,17.85,45.6698,,NA,,NA,,NA,-6.7104,-52.3802,871.0484,825.3786,1866.8026,1821.1328,8939.7784,8894.1086,259.2831,213.6133,1137.3719,1091.7021,1693.4991,1647.8293,,,,
2021-01,53.24,218.2402,,NA,,NA,,NA,871.0484,652.8082,2687.1073,2468.8671,1838.8389,1620.5986,3802.1451,3583.9048,508.0037,289.7635,1863.1075,1644.8673,1427.553,1209.3127,,,,
2021-02,100.0,871.0484,,NA,,NA,,NA,1240.8644,369.8159,1866.8026,995.7542,5391.6788,4520.6304,3631.7695,2760.721,443.446,-427.6025,2399.3812,1528.3328,907.699,36.6506,,,,
2021-03,100.0,1240.8644,,NA,,NA,,NA,2687.1073,1446.2429,1894.4324,653.5681,6674.8748,5434.0105,4316.7684,3075.904,405.1282,-835.7361,3885.0364,2644.172,1031.7567,-209.1077,,,,
2021-04,100.0,2687.1073,,NA,,NA,,NA,1866.8026,-820.3047,1838.8389,-848.2684,9124.1838,6437.0765,2841.5038,154.3965,432.9582,-2254.1491,2324.6152,-362.4921,,,,,,
