Month,RelDiv,D0,DivPct3y,Bucket3y,DivPct5y,Bucket5y,DivPct7y,Bucket7y,D_1m,ΔDiv_1m,D_3m,ΔDiv_3m,D_6m,ΔDiv_6m,D_1y,ΔDiv_1y,D_2y,ΔDiv_2y,D_3y,ΔDiv_3y,D_5y,ΔDiv_5y,D_7y,ΔDiv_7y,D_max,ΔDiv_max
2016-02,100.0,2.9262,,NA,,NA,,NA,4.6399,1.7137,18.0481,15.1219,2.1608,-0.7654,-7.1767,-10.1029,8.1932,5.267,40.4332,37.507,92.5609,89.6347,16.8018,13.8756,-111.422,-114.3482
2016-03,100.0,4.6399,,NA,,NA,,NA,1.5204,-3.1196,17.6405,13.0006,5.9976,1.3577,-11.514,-16.1539,19.7427,15.1027,40.8946,36.2546,96.6538,92.0138,13.4818,8.8419,-117.2104,-121.8503
2016-04,58.91,1.5204,,NA,,NA,,NA,18.0481,16.5277,11.1062,9.5858,1.6985,0.1781,-6.5589,-8.0793,18.5125,16.9921,39.9061,38.3857,117.0927,115.5723,23.5659,22.0455,,
2016-05,100.0,18.0481,,NA,,NA,,NA,17.6405,-0.4076,2.1608,-15.8873,-0.7402,-18.7883,-2.8136,-20.8617,14.5202,-3.5279,41.627,23.5789,105.1759,87.1278,26.7953,8.7472,,
2016-06,98.06,17.6405,,NA,,NA,,NA,11.1062,-6.5343,5.9976,-11.6429,-5.4946,-23.1351,0.9177,-16.7227,11.0424,-6.5981,40.7618,23.1213,123.618,105.9775,16.1963,-1.4442,,
2016-07,66.94,11.1062,,NA,,NA,,NA,2.1608,-8.9454,1.6985,-9.4077,-8.0634,-19.1696,-3.0169,-14.1231,17.6409,6.5347,39.3199,28.2137,138.3112,127.205,14.5484,3.4422,,
2016-08,24.35,2.1608,,NA,,NA,,NA,5.9976,3.8368,-0.7402,-2.901,-7.1767,-9.3376,4.4503,2.2894,40.6462,38.4853,25.9164,23.7556,142.0024,139.8416,6.233,4.0722,,
2016-09,42.62,5.9976,,NA,,NA,,NA,1.6985,-4.2991,-5.4946,-11.4922,-11.514,-17.5116,-0.8251,-6.8228,49.0174,43.0198,26.0889,20.0913,138.9079,132.9103,-8.4704,-14.468,,
2016-10,22.15,1.6985,,NA,,NA,,NA,-0.7402,-2.4387,-8.0634,-9.7619,-6.5589,-8.2574,6.185,4.4865,25.1772,23.4787,32.4795,30.781,149.7019,148.0034,-34.0572,-35.7557,,
2017-06,42.05,0.9177,,NA,,NA,,NA,-3.0169,-3.9346,-0.8251,-1.7429,-0.7037,-1.6215,11.0424,10.1247,40.7618,39.8441,63.7141,62.7964,61.272,60.3542,-44.9988,-45.9165,,
