Month,RelDiv,D0,DivPct3y,Bucket3y,DivPct5y,Bucket5y,DivPct7y,Bucket7y,D_1m,ΔDiv_1m,D_3m,ΔDiv_3m,D_6m,ΔDiv_6m,D_1y,ΔDiv_1y,D_2y,ΔDiv_2y,D_3y,ΔDiv_3y,D_5y,ΔDiv_5y,D_7y,ΔDiv_7y,D_max,ΔDiv_max
2016-01,,0.29,,NA,,NA,,NA,0.7132,0.4232,-0.6962,-0.9862,3.3368,3.0468,-5.8082,-6.0982,-6.7535,-7.0435,13.8886,13.5986,22.7919,22.5019,1.6462,1.3562,-74.5112,-74.8012
2016-02,100.0,0.7132,,NA,,NA,,NA,3.4946,2.7814,0.0069,-0.7063,-0.0005,-0.7136,-9.1896,-9.9027,0.7844,0.0712,19.691,18.9778,-0.036,-0.7491,-3.521,-4.2342,-79.2554,-79.9685
2016-03,100.0,3.4946,,NA,,NA,,NA,-0.6962,-4.1908,1.8948,-1.5998,-2.3051,-5.7996,-10.9691,-14.4636,5.9104,2.4158,24.3847,20.8902,4.6602,1.1656,7.4301,3.9355,-78.5343,-82.0289
2016-05,16.78,0.0069,,NA,,NA,,NA,1.8948,1.8879,-0.0005,-0.0074,-1.7935,-1.8005,-12.7544,-12.7613,4.8414,4.8345,33.807,33.8001,-8.5125,-8.5194,26.6162,26.6093,,
2016-06,61.83,1.8948,,NA,,NA,,NA,3.3368,1.442,-2.3051,-4.1999,-6.2159,-8.1107,-9.4245,-11.3193,5.4223,3.5275,32.0061,30.1113,-10.1413,-12.0361,22.3193,20.4245,,
2016-07,96.24,3.3368,,NA,,NA,,NA,-0.0005,-3.3373,0.1176,-3.2192,-5.8082,-9.1451,-7.675,-11.0118,4.4458,1.109,35.048,31.7112,-0.2614,-3.5983,19.1083,15.7715,,
2016-10,41.77,0.1176,,NA,,NA,,NA,-1.7935,-1.9112,-5.8082,-5.9259,-9.3585,-9.4762,-13.9895,-14.1071,18.1776,18.06,22.3198,22.2021,9.4694,9.3518,31.1279,31.0103,,
2018-02,85.56,0.7844,,NA,,NA,,NA,5.9104,5.126,4.8414,4.057,9.9876,9.2032,19.691,18.9066,33.7812,32.9968,-0.036,-0.8204,-3.521,-4.3054,16.3249,15.5405,,
2018-03,100.0,5.9104,,NA,,NA,,NA,8.2058,2.2955,5.4223,-0.4881,10.6301,4.7197,24.3847,18.4744,32.8153,26.9049,4.6602,-1.2502,7.4301,1.5197,29.3385,23.4281,,
2018-04,100.0,8.2058,,NA,,NA,,NA,4.8414,-3.3644,4.4458,-3.76,18.1776,9.9718,27.7663,19.5605,31.8259,23.6201,6.8434,-1.3624,6.8032,-1.4026,29.7638,21.558,,
2018-05,85.67,4.8414,,NA,,NA,,NA,5.4223,0.5809,9.9876,5.1462,19.5123,14.6708,33.807,28.9656,45.1596,40.3182,-8.5125,-13.3539,26.6162,21.7748,30.6886,25.8472,,
2018-06,88.15,5.4223,,NA,,NA,,NA,4.4458,-0.9765,10.6301,5.2078,13.4915,8.0691,32.0061,26.5838,40.4232,35.0009,-10.1413,-15.5636,22.3193,16.897,18.9152,13.4929,,
2018-07,83.99,4.4458,,NA,,NA,,NA,9.9876,5.5418,18.1776,13.7318,13.8886,9.4428,35.048,30.6022,50.3568,45.911,-0.2614,-4.7072,19.1083,14.6625,-10.5745,-15.0203,,
2018-08,100.0,9.9876,,NA,,NA,,NA,10.6301,0.6425,19.5123,9.5246,19.691,9.7033,46.6566,36.669,38.0922,28.1046,5.3579,-4.6297,32.4179,22.4303,-22.8271,-32.8147,,
2018-09,100.0,10.6301,,NA,,NA,,NA,18.1776,7.5475,13.4915,2.8613,24.3847,13.7546,39.8847,29.2546,41.7518,31.1217,12.4053,1.7752,35.2783,24.6482,-42.3879,-53.018,,
