Date,Period,rate,rate_vs
2026-02-01,1m,0.0,0.0
2026-03-01,1m,-13.238,-0.9007
2026-03-03,1m,-5.8374,-1.3595
2025-12-01,3m,0.0,0.0
2026-01-01,3m,2.4343,0.4401
2026-02-01,3m,-2.9279,1.6219
2026-03-01,3m,-14.8755,0.2379
2026-03-03,3m,-10.3902,-0.7114
2025-09-01,6m,0.0,0.0
2025-10-01,6m,-2.6693,3.813
2025-11-01,6m,-11.9735,3.9231
2025-12-01,6m,-9.5917,2.3335
2026-01-01,6m,-4.8651,2.275
2026-02-01,6m,-7.8022,3.2753
2026-03-01,6m,-18.8125,1.8894
2026-03-03,6m,-15.392,0.7278
2025-03-01,1y,0.0,0.0
2025-04-01,1y,-1.3741,-5.3512
2025-05-01,1y,-3.2797,-3.1878
2025-06-01,1y,6.5667,3.2563
2025-07-01,1y,1.4263,7.6642
2025-08-01,1y,-2.0397,6.7989
2025-09-01,1y,-0.5354,9.648
2025-10-01,1y,-3.033,12.4957
2025-11-01,1y,-13.1182,13.1716
2025-12-01,1y,-13.1851,11.4262
2026-01-01,1y,-9.6411,10.8696
2026-02-01,1y,-12.4672,11.4647
2026-03-01,1y,-23.0838,9.6152
2026-03-03,1y,-20.6147,7.9277
2024-03-01,2y,0.0,0.0
2024-04-01,2y,-1.2922,2.7119
2024-05-01,2y,0.1214,-2.9445
2024-06-01,2y,-0.9272,3.2648
2024-07-01,2y,-2.7675,7.0758
2024-08-01,2y,8.397,5.1656
2024-09-01,2y,12.9624,8.2607
2024-10-01,2y,14.4666,9.054
2024-11-01,2y,15.902,8.363
2024-12-01,2y,21.5493,13.2569
2025-01-01,2y,15.6581,9.3123
2025-02-01,2y,18.2352,11.3791
2025-03-01,2y,21.3947,9.0256
2025-04-01,2y,18.214,2.6295
2025-05-01,2y,13.9105,1.9477
2025-06-01,2y,23.1285,7.4457
2025-07-01,2y,17.6473,12.4545
2025-08-01,2y,12.9585,12.4397
2025-09-01,2y,13.5816,15.9727
2025-10-01,2y,9.9588,19.6361
2025-11-01,2y,-2.2978,21.0564
2025-12-01,2y,-3.869,19.758
2026-01-01,2y,-1.2547,19.4978
2026-02-01,2y,-5.2045,20.3651
2026-03-01,2y,-17.4866,18.5544
2026-03-03,2y,-16.0497,16.7909
2023-03-01,3y,0.0,0.0
2023-04-01,3y,1.8657,4.7883
2023-05-01,3y,0.1984,3.9002
2023-06-01,3y,-4.1156,4.1196
2023-07-01,3y,1.1104,8.7252
2023-08-01,3y,13.9611,10.1376
2023-09-01,3y,14.9573,7.2239
2023-10-01,3y,6.6665,0.9247
2023-11-01,3y,-7.4678,-0.3074
2023-12-01,3y,3.3662,8.306
2024-01-01,3y,3.652,11.73
2024-02-01,3y,9.5674,13.912
2024-03-01,3y,9.9107,18.2028
2024-04-01,3y,7.8381,20.0822
2024-05-01,3y,8.1538,13.6624
2024-06-01,3y,6.5551,18.7973
2024-07-01,3y,3.9507,22.9585
2024-08-01,3y,14.9896,21.055
2024-09-01,3y,20.5338,24.4465
2024-10-01,3y,23.0714,25.4408
2024-11-01,3y,25.4368,24.6852
2024-12-01,3y,32.303,30.2127
2025-01-01,3y,26.7467,25.8316
2025-02-01,3y,29.9875,28.0644
2025-03-01,3y,33.9043,25.2856
2025-04-01,3y,30.8536,17.7379
2025-05-01,3y,26.3408,16.4954
2025-06-01,3y,36.6264,22.2939
2025-07-01,3y,30.8337,27.7184
2025-08-01,3y,25.7107,27.5804
2025-09-01,3y,26.3505,31.4518
2025-10-01,3y,22.2696,35.5429
2025-11-01,3y,8.5159,37.1563
2025-12-01,3y,6.4,35.6976
2026-01-01,3y,8.9031,35.3725
2026-02-01,3y,4.247,36.3061
2026-03-01,3y,-9.5677,34.2103
2026-03-03,3y,-8.5038,32.1321
2021-03-01,5y,0.0,0.0
2021-04-01,5y,7.121,3.7578
2021-05-01,5y,2.1932,6.0906
2021-06-01,5y,6.7013,4.64
2021-07-01,5y,7.1521,6.4697
2021-08-01,5y,10.8962,7.1245
2021-09-01,5y,7.6224,9.1625
2021-10-01,5y,4.4955,3.93
2021-11-01,5y,14.2819,9.6271
2021-12-01,5y,15.0832,6.2858
2022-01-01,5y,23.9518,11.7333
2022-02-01,5y,1.5085,5.5422
2022-03-01,5y,-0.2283,-0.2398
2022-04-01,5y,15.6778,5.4124
2022-05-01,5y,7.0347,-4.4714
2022-06-01,5y,7.1158,-4.7367
2022-07-01,5y,4.2088,-10.6973
2022-08-01,5y,17.6494,-3.0919
2022-09-01,5y,18.9065,-6.365
2022-10-01,5y,8.9275,-14.9349
2022-11-01,5y,16.8443,-7.6019
2022-12-01,5y,27.6155,-1.7295
2023-01-01,5y,13.2273,-7.3081
2023-02-01,5y,6.9268,-0.0623
2023-03-01,5y,3.2619,-3.9683
2023-04-01,5y,5.1565,0.8929
2023-05-01,5y,4.2419,2.3875
2023-06-01,5y,-0.3011,3.8441
2023-07-01,5y,4.0509,9.3988
2023-08-01,5y,17.395,12.3112
2023-09-01,5y,20.307,10.6515
2023-10-01,5y,13.1364,4.8476
2023-11-01,5y,-1.4325,3.5462
2023-12-01,5y,9.1873,12.3465
2024-01-01,5y,9.5827,16.4243
2024-02-01,5y,15.9256,19.3655
2024-03-01,5y,16.7003,24.5776
2024-04-01,5y,14.8589,27.3982
2024-05-01,5y,15.4072,21.3592
2024-06-01,5y,13.8889,27.2942
2024-07-01,5y,11.1981,32.3601
2024-08-01,5y,22.9837,30.9765
2024-09-01,5y,29.2797,35.1978
2024-10-01,5y,32.4975,36.8715
2024-11-01,5y,35.5652,36.6025
2024-12-01,5y,43.5414,43.1617
2025-01-01,5y,38.142,38.906
2025-02-01,5y,42.1489,41.7965
2025-03-01,5y,46.9425,39.1409
2025-04-01,5y,44.1205,31.0682
2025-05-01,5y,39.566,29.8248
2025-06-01,5y,51.2597,36.3904
2025-07-01,5y,45.2957,42.6401
2025-08-01,5y,39.9241,42.7526
2025-09-01,5y,40.8553,47.3323
2025-10-01,5y,36.5071,52.2069
2025-11-01,5y,21.2651,54.3418
2025-12-01,5y,18.8189,53.0149
2026-01-01,5y,21.4986,52.9212
2026-02-01,5y,16.2281,54.2256
2026-03-01,5y,0.7062,52.0912
2026-03-03,5y,1.5902,49.9296
2019-03-01,7y,0.0,0.0
2019-04-01,7y,5.7163,2.285
2019-05-01,7y,-0.1037,3.214
2019-06-01,7y,1.5722,-3.6696
2019-07-01,7y,5.6143,4.8954
2019-08-01,7y,3.1588,3.6471
2019-09-01,7y,6.0758,2.1894
2019-10-01,7y,-0.1454,2.6288
2019-11-01,7y,1.4471,6.7993
2019-12-01,7y,6.1221,8.8419
2020-01-01,7y,5.8891,11.1561
2020-02-01,7y,5.894,10.0914
2020-03-01,7y,-4.8442,0.3938
2020-04-01,7y,-19.3623,-16.0459
2020-05-01,7y,-11.2221,-2.2384
2020-06-01,7y,-7.2102,5.8738
2020-07-01,7y,-3.9025,7.6907
2020-08-01,7y,-14.1441,12.7669
2020-09-01,7y,-9.7005,20.9834
2020-10-01,7y,-9.1428,15.0232
2020-11-01,7y,4.7432,10.657
2020-12-01,7y,15.5686,23.5464
2021-01-01,7y,16.474,25.6665
2021-02-01,7y,9.282,25.2995
2021-03-01,7y,16.1897,28.6788
2021-04-01,7y,23.8894,32.4522
2021-05-01,7y,21.4015,36.6904
2021-06-01,7y,26.8744,36.1252
2021-07-01,7y,28.4906,38.7604
2021-08-01,7y,33.7705,39.993
2021-09-01,7y,30.8888,42.9007
2021-10-01,7y,27.4215,36.3836
2021-11-01,7y,39.1794,43.3518
2021-12-01,7y,40.9273,39.0772
2022-01-01,7y,52.4997,45.8703
2022-02-01,7y,25.8772,37.8744
2022-03-01,7y,23.1768,29.9029
2022-04-01,7y,42.0708,36.3913
2022-05-01,7y,31.712,23.1927
2022-06-01,7y,31.5802,21.8832
2022-07-01,7y,27.7767,13.3968
2022-08-01,7y,43.8393,21.8463
2022-09-01,7y,45.5387,17.0253
2022-10-01,7y,33.4753,5.581
2022-11-01,7y,42.95,13.5522
2022-12-01,7y,56.1612,19.9825
2023-01-01,7y,38.8401,12.6746
2023-02-01,7y,31.0023,20.7811
2023-03-01,7y,26.232,15.6442
2023-04-01,7y,28.1678,20.9657
2023-05-01,7y,26.7363,22.3765
