Date,Period,rate,rate_vs
2026-07-23,5d,0.0,0.0
2026-07-24,5d,1.2565,0.0781
2026-07-25,5d,1.2565,0.0781
2026-07-26,5d,1.2565,0.0781
2026-07-27,5d,1.3871,0.1032
2026-07-28,5d,2.1867,0.3463
2026-06-01,1m,0.0,0.0
2026-07-01,1m,13.1852,-1.8046
2026-07-28,1m,14.3198,-1.6025
2026-04-01,3m,0.0,0.0
2026-05-01,3m,7.9497,9.8967
2026-06-01,3m,0.5479,10.4064
2026-07-01,3m,13.6745,5.08
2026-07-28,3m,18.2772,3.1037
2026-01-01,6m,0.0,0.0
2026-02-01,6m,-3.3694,1.3481
2026-03-01,6m,-7.9593,-0.1825
2026-04-01,6m,-6.4033,-4.7144
2026-05-01,6m,2.8412,6.0896
2026-06-01,6m,-1.0697,10.3572
2026-07-01,6m,12.2696,6.7609
2026-07-28,6m,18.5687,5.0864
2025-07-01,1y,0.0,0.0
2025-08-01,1y,-5.2661,0.5476
2025-09-01,1y,8.1442,4.0174
2025-10-01,1y,7.0164,6.6654
2025-11-01,1y,10.9879,7.1038
2025-12-01,1y,8.343,5.407
2026-01-01,1y,12.1581,5.0539
2026-02-01,1y,6.7922,5.8294
2026-03-01,1y,-0.7796,4.2459
2026-04-01,1y,-1.82,-0.9753
2026-05-01,1y,6.2769,9.03
2026-06-01,1y,2.2626,13.8814
2026-07-01,1y,15.6389,10.7928
2026-07-28,1y,22.7809,9.2331
2023-07-01,3y,0.0,0.0
2023-08-01,3y,10.1025,2.8681
2023-09-01,3y,-2.9684,0.2551
2023-10-01,3y,-7.4227,-4.8173
2023-11-01,3y,-8.9711,-4.6934
2023-12-01,3y,9.6764,4.515
2024-01-01,3y,17.5039,7.8629
2024-02-01,3y,14.5792,9.8671
2024-03-01,3y,16.2392,13.88
2024-04-01,3y,24.9826,15.4883
2024-05-01,3y,20.6138,9.1489
2024-06-01,3y,28.4991,14.1223
2024-07-01,3y,28.4496,18.0669
2024-08-01,3y,24.6421,16.1446
2024-09-01,3y,26.7632,19.3645
2024-10-01,3y,22.6722,20.2587
2024-11-01,3y,29.099,19.486
2024-12-01,3y,44.9208,24.7607
2025-01-01,3y,34.0861,20.5036
2025-02-01,3y,39.3579,22.6369
2025-03-01,3y,36.7915,19.963
2025-04-01,3y,23.8161,12.752
2025-05-01,3y,18.8222,11.6346
2025-06-01,3y,29.6321,17.2743
2025-07-01,3y,42.3585,22.5214
2025-08-01,3y,33.3841,22.4045
2025-09-01,3y,46.7929,26.1393
2025-10-01,3y,47.286,30.0701
2025-11-01,3y,53.5489,31.6096
2025-12-01,3y,51.1029,30.1997
2026-01-01,3y,56.692,29.888
2026-02-01,3y,49.7896,30.789
2026-03-01,3y,38.8408,28.783
2026-04-01,3y,36.1137,22.0669
2026-05-01,3y,45.9303,33.5645
2026-06-01,3y,39.916,39.5653
2026-07-01,3y,57.2632,36.1007
2026-07-28,3y,67.0791,34.2352
2021-07-01,5y,0.0,0.0
2021-08-01,5y,-7.7475,1.7707
2021-09-01,5y,3.1643,3.9219
2021-10-01,5y,7.2804,-1.1374
2021-11-01,5y,17.1091,5.0647
2021-12-01,5y,4.1416,1.8654
2022-01-01,5y,5.4637,7.3871
2022-02-01,5y,10.4325,1.4028
2022-03-01,5y,-1.275,-3.9018
2022-04-01,5y,-4.31,1.9782
2022-05-01,5y,-16.1559,-7.4261
2022-06-01,5y,-12.3294,-7.3018
2022-07-01,5y,-23.1613,-12.8046
2022-08-01,5y,-16.0325,-4.9814
2022-09-01,5y,-14.9449,-8.0116
2022-10-01,5y,-22.3622,-16.2466
2022-11-01,5y,-5.2697,-8.7263
2022-12-01,5y,-3.4692,-2.7616
2023-01-01,5y,-12.3589,-8.2114
2023-02-01,5y,-4.2499,-0.9109
2023-03-01,5y,-8.7975,-4.7433
2023-04-01,5y,-22.6599,0.1496
2023-05-01,5y,-20.4294,1.6602
2023-06-01,5y,-22.4268,3.1216
2023-07-01,5y,-18.9255,8.6436
2023-08-01,5y,-9.8157,11.5108
2023-09-01,5y,-16.3155,9.8275
2023-10-01,5y,-20.369,4.0445
2023-11-01,5y,-22.5212,2.7584
2023-12-01,5y,-7.5204,11.5038
2024-01-01,5y,0.8428,15.5266
2024-02-01,5y,0.4531,18.4085
2024-03-01,5y,3.5491,23.5347
2024-04-01,5y,12.9837,26.2754
2024-05-01,5y,10.8883,20.2336
2024-06-01,5y,19.6716,26.0758
2024-07-01,5y,21.3267,31.0422
2024-08-01,5y,19.2064,29.6148
2024-09-01,5y,22.4547,33.7405
2024-10-01,5y,19.6332,35.3395
2024-11-01,5y,26.8533,35.0182
2024-12-01,5y,43.572,41.4481
2025-01-01,5y,34.1921,37.1847
2025-02-01,5y,40.5248,39.9907
2025-03-01,5y,38.9985,37.3201
2025-04-01,5y,26.6538,29.314
2025-05-01,5y,22.059,28.0629
2025-06-01,5y,33.5737,34.5179
2025-07-01,5y,47.3247,40.6512
2025-08-01,5y,38.786,40.7254
2025-09-01,5y,53.3627,45.2046
2025-10-01,5y,54.6559,49.9689
2025-11-01,5y,61.9957,52.029
2025-12-01,5y,60.1922,50.6793
2026-01-01,5y,66.8442,50.5483
2026-02-01,5y,60.2042,51.7958
2026-03-01,5y,49.0473,49.6597
2026-04-01,5y,46.5197,41.9924
2026-05-01,5y,57.4572,55.4027
2026-06-01,5y,51.3968,62.5725
2026-07-01,5y,70.5578,58.7716
2026-07-28,5y,81.7648,56.7705
2019-07-01,7y,0.0,0.0
2019-08-01,7y,0.1378,-0.3391
2019-09-01,7y,-6.6965,-1.0265
2019-10-01,7y,-0.6442,0.0294
2019-11-01,7y,11.2457,4.4077
2019-12-01,7y,14.1855,6.2484
2020-01-01,7y,18.784,8.3167
2020-02-01,7y,8.2083,7.0741
2020-03-01,7y,-6.965,-2.4227
2020-04-01,7y,-34.3416,-18.1544
2020-05-01,7y,-19.3518,-3.8951
2020-06-01,7y,-12.1394,4.3011
2020-07-01,7y,-15.3608,6.0921
2020-08-01,7y,-8.2109,11.0669
2020-09-01,7y,-4.5501,19.0584
2020-10-01,7y,-9.5789,13.0154
2020-11-01,7y,-10.4977,8.6511
2020-12-01,7y,9.0873,21.2936
2021-01-01,7y,15.389,23.2382
2021-02-01,7y,13.2501,22.7478
2021-03-01,7y,34.4904,25.9489
2021-04-01,7y,47.2448,29.5241
2021-05-01,7y,48.9133,33.5414
2021-06-01,7y,55.4378,32.8569
2021-07-01,7y,48.8426,35.3151
2021-08-01,7y,35.6398,36.4053
2021-09-01,7y,44.1706,39.1335
2021-10-01,7y,49.7977,32.6893
2021-11-01,7y,64.4037,39.4032
2021-12-01,7y,48.5883,35.1664
2022-01-01,7y,49.8483,41.7096
2022-02-01,7y,56.3996,33.8724
2022-03-01,7y,39.9085,26.0967
2022-04-01,7y,34.2547,32.388
2022-05-01,7y,16.2379,19.5554
2022-06-01,7y,18.9834,18.3025
2022-07-01,7y,2.6251,10.0863
2022-08-01,7y,9.537,18.3368
2022-09-01,7y,9.2185,13.6762
2022-10-01,7y,-1.6683,2.5898
2022-11-01,7y,17.9148,10.3979
2022-12-01,7y,19.3252,16.6908
2023-01-01,7y,7.7075,9.6068
2023-02-01,7y,16.6163,17.5341
2023-03-01,7y,10.4763,12.557
2023-04-01,7y,-6.9375,17.7694
2023-05-01,7y,-5.3555,19.1649
2023-06-01,7y,-8.6372,20.5529
2023-07-01,7y,-5.4614,26.72
2023-08-01,7y,4.3141,29.9206
2023-09-01,7y,-3.6851,27.8802
2023-10-01,7y,-8.937,21.0321
2023-11-01,7y,-12.0325,19.3044
2023-12-01,7y,4.2276,29.1846
2024-01-01,7y,13.2629,33.7473
2024-02-01,7y,12.6171,37.0509
2024-03-01,7y,15.874,42.9907
2024-04-01,7y,26.2605,46.2381
2024-05-01,7y,23.8948,39.3363
2024-06-01,7y,33.6479,46.1119
2024-07-01,7y,35.5481,51.9433
2024-08-01,7y,33.241,50.4104
2024-09-01,7y,36.9027,55.2944
2024-10-01,7y,33.8065,57.2817
2024-11-01,7y,41.9054,57.0418
2024-12-01,7y,60.7093,64.6441
2025-01-01,7y,50.4381,59.8481
2025-02-01,7y,57.6847,63.2363
2025-03-01,7y,56.1574,60.2517
2025-04-01,7y,42.4363,50.9993
2025-05-01,7y,37.3138,49.555
2025-06-01,7y,50.2715,57.0937
2025-07-01,7y,65.8407,64.3067
2025-08-01,7y,56.4055,64.4832
2025-09-01,7y,72.9582,69.8033
2025-10-01,7y,74.6279,75.4856
2025-11-01,7y,83.1325,78.0311
2025-12-01,7y,81.3363,76.5873
2026-01-01,7y,89.0969,76.5533
2026-02-01,7y,81.8134,78.1275
2026-03-01,7y,69.3373,75.7296
2026-04-01,7y,66.5866,66.8116
2026-05-01,7y,79.1308,82.6062
2026-06-01,7y,72.3865,91.1456
2026-07-01,7y,94.3334,86.8161
2026-07-28,7y,107.3267,84.5738
2016-01-04,max,0.0,0.0
2016-02-01,max,-15.1184,-3.7423
2016-03-01,max,-12.7052,0.3764
2016-04-01,max,-5.59,5.1946
2016-05-01,max,2.8459,3.5695
2016-06-01,max,4.7148,4.8356
2016-07-01,max,-8.3951,4.3651
2016-08-01,max,1.5022,7.2005
2016-09-01,max,13.4964,6.5176
2016-10-01,max,9.6726,5.8316
2016-11-01,max,15.3629,2.6321
2016-12-01,max,48.0209,6.5262
2017-01-01,max,48.0293,8.6002
2017-02-01,max,49.4862,9.8701
2017-03-01,max,63.0636,14.9815
2017-04-01,max,46.9539,12.5254
2017-05-01,max,44.1352,13.1716
2017-06-01,max,36.108,14.581
2017-07-01,max,43.7547,14.626
2017-08-01,max,42.5544,16.4591
2017-09-01,max,39.0433,15.9061
2017-10-01,max,44.2967,17.2911
2017-11-01,max,54.575,19.4181
2017-12-01,max,56.0125,21.7575
2018-01-01,max,61.4396,22.6249
2018-02-01,max,75.0266,28.3844
2018-03-01,max,67.3702,21.0506
2018-04-01,max,57.0671,18.8566
2018-05-01,max,54.8187,18.843
2018-06-01,max,50.7293,22.0592
2018-07-01,max,42.9007,20.962
2018-08-01,max,56.8748,24.4135
2018-09-01,max,53.5061,27.7869
2018-10-01,max,46.3329,28.1445
2018-11-01,max,35.9702,19.3954
2018-12-01,max,37.8025,19.8359
2019-01-01,max,19.367,8.7501
2019-02-01,max,36.8784,17.203
2019-03-01,max,41.0772,21.2677
2019-04-01,max,36.3422,23.6016
2019-05-01,max,43.5931,25.5902
2019-06-01,max,25.2884,17.8911
2019-07-01,max,38.6054,26.7327
2019-08-01,max,38.0323,25.8061
2019-09-01,max,27.9561,24.2046
2019-10-01,max,32.4704,24.595
2019-11-01,max,47.3283,29.5299
2019-12-01,max,53.3131,32.3145
2020-01-01,max,61.7014,35.5516
2020-02-01,max,49.5521,34.7733
2020-03-01,max,28.9653,23.2161
2020-04-01,max,-10.1232,2.6957
2020-05-01,max,5.1486,17.923
2020-06-01,max,12.0134,27.1545
2020-07-01,max,6.4744,29.2791
2020-08-01,max,13.7614,35.3897
2020-09-01,max,17.3007,45.4969
2020-10-01,max,10.4881,38.8421
2020-11-01,max,8.474,33.8054
2020-12-01,max,31.1371,49.4413
2021-01-01,max,38.8113,52.4925
2021-02-01,max,36.5771,52.5474
2021-03-01,max,62.4473,57.1165
2021-04-01,max,78.9578,62.2404
2021-05-01,max,82.4022,68.0147
2021-06-01,max,91.8141,67.9506
2021-07-01,max,85.0975,71.7835
2021-08-01,max,69.7528,73.9065
2021-09-01,max,81.1732,78.108
2021-10-01,max,89.1721,70.559
2021-11-01,max,108.7005,79.7147
2021-12-01,max,89.8067,74.8714
2022-01-01,max,92.2569,83.8439
2022-02-01,max,101.5084,74.2485
2022-03-01,max,81.0768,64.4857
2022-04-01,max,74.2306,72.8765
2022-05-01,max,51.1398,56.3809
2022-06-01,max,54.6495,54.7432
2022-07-01,max,33.3765,43.9638
2022-08-01,max,42.0091,54.5402
2022-09-01,max,41.3988,48.4061
2022-10-01,max,27.1211,33.808
2022-11-01,max,51.9791,43.6413
2022-12-01,max,53.7348,51.6237
2023-01-01,max,38.7261,42.3283
2023-02-01,max,49.9588,52.4008
2023-03-01,max,41.9744,45.8599
2023-04-01,max,19.4424,52.4428
2023-05-01,max,21.0536,54.1535
2023-06-01,max,16.4892,55.8684
2023-07-01,max,20.1138,63.7729
2023-08-01,max,32.1357,67.9151
2023-09-01,max,21.7826,65.3142
2023-10-01,max,14.8357,56.4671
2023-11-01,max,10.5723,54.158
2023-12-01,max,30.5435,66.8181
2024-01-01,max,41.6221,72.7134
2024-02-01,max,40.6888,77.0248
2024-03-01,max,44.6208,84.7703
2024-04-01,max,57.4727,89.0895
2024-05-01,max,54.5134,80.3005
2024-06-01,max,66.6405,89.1407
2024-07-01,max,69.0577,96.817
2024-08-01,max,66.237,94.9948
2024-09-01,max,70.8396,101.4737
2024-10-01,max,67.0321,104.2286
2024-11-01,max,77.1718,104.0979
2024-12-01,max,100.7453,114.1559
2025-01-01,max,88.1198,108.1307
2025-02-01,max,97.3225,112.719
2025-03-01,max,95.5883,109.0154
2025-04-01,max,78.5483,97.097
2025-05-01,max,72.1848,95.2965
2025-06-01,max,88.4562,105.2137
2025-07-01,max,108.0932,114.7559
2025-08-01,max,96.4367,115.142
2025-09-01,max,117.3669,122.2543
2025-10-01,max,119.6889,129.8729
2025-11-01,max,130.622,133.4127
2025-12-01,max,128.6217,131.7276
2026-01-01,max,138.6615,131.8756
2026-02-01,max,129.7381,134.1294
2026-03-01,max,114.1883,131.1612
2026-04-01,max,110.8625,119.5868
2026-05-01,max,126.886,140.4983
2026-06-01,max,118.5306,151.9424
2026-07-01,max,146.525,146.4571
2026-07-28,max,163.2813,143.6927
