Date,Period,rate,rate_vs
2026-07-30,5d,0.0,0.0
2026-07-31,5d,-0.5298,0.7128
2026-08-01,5d,-0.5298,0.7128
2026-08-02,5d,-0.5298,0.7128
2026-08-03,5d,1.6605,2.1473
2026-08-04,5d,8.8131,3.988
2026-07-01,1m,0.0,0.0
2026-08-01,1m,9.1295,0.0735
2026-08-04,1m,14.3315,3.2384
2026-05-01,3m,0.0,0.0
2026-06-01,3m,2.9309,5.1456
2026-07-01,3m,-10.6496,0.7734
2026-08-01,3m,1.4466,0.6567
2026-08-04,3m,10.5522,3.7348
2026-02-01,6m,0.0,0.0
2026-03-01,6m,-5.7966,-0.9007
2026-04-01,6m,-16.4667,-5.0439
2026-05-01,6m,-13.6421,6.2709
2026-06-01,6m,-7.5339,10.1746
2026-07-01,6m,-17.2244,6.2747
2026-08-01,6m,-6.4593,5.3949
2026-08-04,6m,3.3204,8.0119
2025-08-01,1y,0.0,0.0
2025-09-01,1y,4.3796,3.6814
2025-10-01,1y,-5.8697,5.7777
2025-11-01,1y,-9.7607,5.9249
2025-12-01,1y,-4.76,4.1656
2026-01-01,1y,-4.0212,3.8709
2026-02-01,1y,-14.6525,4.7048
2026-03-01,1y,-17.559,3.1846
2026-04-01,1y,-27.1638,-1.9191
2026-05-01,1y,-26.3991,8.1178
2026-06-01,1y,-21.4565,12.9299
2026-07-01,1y,-29.0901,9.8385
2026-08-01,1y,-19.8999,9.1996
2026-08-04,1y,-10.7103,12.0122
2023-08-01,3y,0.0,0.0
2023-09-01,3y,11.4924,-1.2123
2023-10-01,3y,1.2542,-5.571
2023-11-01,3y,-3.9941,-4.8015
2023-12-01,3y,11.1229,4.6764
2024-01-01,3y,15.0912,7.8372
2024-02-01,3y,10.3051,9.6499
2024-03-01,3y,9.9574,13.4982
2024-04-01,3y,8.8549,14.9452
2024-05-01,3y,2.6585,8.5205
2024-06-01,3y,6.2677,13.4378
2024-07-01,3y,4.736,17.3037
2024-08-01,3y,14.0931,15.3322
2024-09-01,3y,11.9026,18.4934
2024-10-01,3y,12.459,19.3404
2024-11-01,3y,9.2921,18.5401
2024-12-01,3y,22.0521,23.7499
2025-01-01,3y,17.0194,19.495
2025-02-01,3y,22.2942,21.5969
2025-03-01,3y,22.6409,18.9311
2025-04-01,3y,23.71,11.7779
2025-05-01,3y,14.2061,10.6837
2025-06-01,3y,20.9366,16.2919
2025-07-01,3y,21.396,21.5005
2025-08-01,3y,20.4606,21.3818
2025-09-01,3y,25.0027,25.0844
2025-10-01,3y,14.3105,28.9772
2025-11-01,3y,6.8896,30.4951
2025-12-01,3y,9.6157,29.0887
2026-01-01,3y,9.0612,28.7745
2026-02-01,3y,-3.945,29.6643
2026-03-01,3y,-9.3055,27.6724
2026-04-01,3y,-21.6908,21.014
2026-05-01,3y,-23.3712,32.4196
2026-06-01,3y,-20.3412,38.366
2026-07-01,3y,-29.3085,34.9246
2026-08-01,3y,-21.8912,34.1843
2026-08-04,3y,-13.9105,37.5912
2021-08-01,5y,0.0,0.0
2021-09-01,5y,-1.2861,2.9579
2021-10-01,5y,-3.4562,-2.2479
2021-11-01,5y,4.2626,4.3717
2021-12-01,5y,-2.0612,1.1036
2022-01-01,5y,7.2203,6.6732
2022-02-01,5y,-11.0985,0.6654
2022-03-01,5y,-13.6753,-4.5274
2022-04-01,5y,-5.5708,1.4557
2022-05-01,5y,-12.3687,-7.8696
2022-06-01,5y,-10.7719,-7.6324
2022-07-01,5y,-8.3497,-13.0345
2022-08-01,5y,1.7465,-5.1208
2022-09-01,5y,8.135,-8.1098
2022-10-01,5y,-9.1542,-16.295
2022-11-01,5y,-5.2053,-8.7025
2022-12-01,5y,-4.7209,-2.7044
2023-01-01,5y,-14.0163,-8.1524
2023-02-01,5y,-0.7925,-0.8256
2023-03-01,5y,-9.42,-4.6636
2023-04-01,5y,-4.203,0.2406
2023-05-01,5y,-5.5734,1.7477
2023-06-01,5y,-2.1595,3.2028
2023-07-01,5y,9.3366,8.7194
2023-08-01,5y,10.6465,11.5706
2023-09-01,5y,23.006,9.8666
2023-10-01,5y,16.9852,4.0668
2023-11-01,5y,10.8154,2.7742
2023-12-01,5y,26.5299,11.5166
2024-01-01,5y,32.7794,15.5255
2024-02-01,5y,29.046,18.3901
2024-03-01,5y,29.4464,23.4965
2024-04-01,5y,28.706,26.2144
2024-05-01,5y,21.6684,20.1543
2024-06-01,5y,25.6208,25.9768
2024-07-01,5y,23.76,30.9199
2024-08-01,5y,34.6125,29.4731
2024-09-01,5y,32.3746,33.5755
2024-10-01,5y,33.1944,35.1526
2024-11-01,5y,29.5786,34.8125
2024-12-01,5y,44.6555,41.2141
2025-01-01,5y,39.1296,36.9382
2025-02-01,5y,45.6083,39.7224
