Date,Period,rate,rate_vs
2026-08-15,5d,0.0,0.0
2026-08-16,5d,0.0,0.0
2026-08-17,5d,-2.3345,-0.468
2026-08-18,5d,-2.3206,-1.1505
2026-08-19,5d,0.8059,-0.9389
2026-08-20,5d,-1.7925,-1.7657
2026-07-01,1m,0.0,0.0
2026-08-01,1m,6.7523,0.0735
2026-08-20,1m,14.3261,2.0779
2026-05-01,3m,0.0,0.0
2026-06-01,3m,-7.54,5.1456
2026-07-01,3m,-1.6733,0.7734
2026-08-01,3m,5.6314,0.6567
2026-08-20,3m,15.2914,2.5687
2026-02-01,6m,0.0,0.0
2026-03-01,6m,-19.4318,-0.9007
2026-04-01,6m,-9.0023,-5.0439
2026-05-01,6m,3.8441,6.2709
2026-06-01,6m,-4.8023,10.1746
2026-07-01,6m,-1.7161,6.2747
2026-08-01,6m,5.3131,5.3949
2026-08-20,6m,15.6689,6.7977
2025-08-01,1y,0.0,0.0
2025-09-01,1y,1.0902,3.6814
2025-10-01,1y,-1.44,5.7777
2025-11-01,1y,-13.6327,5.9249
2025-12-01,1y,-9.6374,4.1656
2026-01-01,1y,-2.8192,3.8709
2026-02-01,1y,-9.7896,4.7048
2026-03-01,1y,-26.13,3.1846
2026-04-01,1y,-22.224,-1.9191
2026-05-01,1y,-11.3304,8.1178
2026-06-01,1y,-16.8947,12.9299
2026-07-01,1y,-13.479,9.8385
2026-08-01,1y,-6.3531,9.1996
2026-08-20,1y,4.1486,10.753
2023-08-01,3y,0.0,0.0
2023-09-01,3y,-1.5973,-1.2123
2023-10-01,3y,1.666,-5.571
2023-11-01,3y,-8.3473,-4.8015
2023-12-01,3y,13.0291,4.6764
2024-01-01,3y,26.4788,7.8372
2024-02-01,3y,15.8776,9.6499
2024-03-01,3y,19.6358,13.4982
2024-04-01,3y,19.8559,14.9452
2024-05-01,3y,7.7179,8.5205
2024-06-01,3y,9.6737,13.4378
2024-07-01,3y,10.347,17.3037
2024-08-01,3y,23.4666,15.3322
2024-09-01,3y,26.385,18.4934
2024-10-01,3y,32.7922,19.3404
2024-11-01,3y,45.3493,18.5401
2024-12-01,3y,61.9595,23.7499
2025-01-01,3y,42.8417,19.495
2025-02-01,3y,44.2766,21.5969
2025-03-01,3y,30.3123,18.9311
2025-04-01,3y,14.1182,11.7779
2025-05-01,3y,6.7046,10.6837
2025-06-01,3y,10.6778,16.2919
2025-07-01,3y,21.3366,21.5005
2025-08-01,3y,34.3428,21.3818
2025-09-01,3y,34.5492,25.0844
2025-10-01,3y,30.6509,28.9772
2025-11-01,3y,12.9782,30.4951
2025-12-01,3y,13.2784,29.0887
2026-01-01,3y,18.8212,28.7745
2026-02-01,3y,9.2039,29.6643
2026-03-01,3y,-12.1704,27.6724
2026-04-01,3y,-11.0474,21.014
2026-05-01,3y,-1.3288,32.4196
2026-06-01,3y,-8.644,38.366
2026-07-01,3y,-6.3554,34.9246
2026-08-01,3y,0.2534,34.1843
2026-08-20,3y,10.9156,36.0445
2021-08-01,5y,0.0,0.0
2021-09-01,5y,10.5167,2.9579
2021-10-01,5y,-4.5023,-2.2479
2021-11-01,5y,17.9834,4.3717
2021-12-01,5y,13.5265,1.1036
2022-01-01,5y,4.1523,6.6732
2022-02-01,5y,7.8887,0.6654
2022-03-01,5y,1.3369,-4.5274
2022-04-01,5y,4.7261,1.4557
2022-05-01,5y,-14.1875,-7.8696
2022-06-01,5y,-0.3133,-7.6324
2022-07-01,5y,-20.2712,-13.0345
2022-08-01,5y,-6.1196,-5.1208
2022-09-01,5y,-13.966,-8.1098
2022-10-01,5y,-22.6347,-16.295
2022-11-01,5y,-9.8817,-8.7025
2022-12-01,5y,-16.9847,-2.7044
2023-01-01,5y,-26.7099,-8.1524
2023-02-01,5y,-2.032,-0.8256
2023-03-01,5y,-6.6719,-4.6636
2023-04-01,5y,-8.3696,0.2406
2023-05-01,5y,-4.4453,1.7477
2023-06-01,5y,-5.9872,3.2028
2023-07-01,5y,0.5757,8.7194
2023-08-01,5y,17.2892,11.5706
2023-09-01,5y,14.8437,9.8666
2023-10-01,5y,17.1669,4.0668
2023-11-01,5y,5.6621,2.7742
2023-12-01,5y,27.1901,11.5166
2024-01-01,5y,44.6318,15.5255
2024-02-01,5y,35.9028,18.3901
2024-03-01,5y,41.9067,23.4965
2024-04-01,5y,43.818,26.2144
2024-05-01,5y,30.4709,20.1543
2024-06-01,5y,32.8886,25.9768
2024-07-01,5y,33.8404,30.9199
2024-08-01,5y,49.8809,29.4731
