Date,Period,rate,rate_vs
2026-01-01,1m,0.0,0.0
2026-02-01,1m,-1.8009,1.3481
2026-02-27,1m,6.0774,-0.1825
2025-11-01,3m,0.0,0.0
2025-12-01,3m,-10.1488,-0.3421
2026-01-01,3m,11.7432,0.3183
2026-02-01,3m,5.9601,1.6308
2026-02-27,3m,11.8558,0.3869
2025-08-01,6m,0.0,0.0
2025-09-01,6m,9.5911,3.6814
2025-10-01,6m,-6.849,5.7777
2025-11-01,6m,-3.0183,5.9249
2025-12-01,6m,-12.1174,4.1656
2026-01-01,6m,6.3377,3.8709
2026-02-01,6m,3.4725,4.7048
2026-02-27,6m,10.2676,3.1846
2025-02-01,1y,0.0,0.0
2025-03-01,1y,-13.6028,-1.3637
2025-04-01,1y,-24.5235,-5.9499
2025-05-01,1y,-19.6598,-4.4561
2025-06-01,1y,6.229,1.9809
2025-07-01,1y,29.4636,6.768
2025-08-01,1y,26.4062,6.3077
2025-09-01,1y,34.5146,9.3815
2025-10-01,1y,15.7769,12.4342
2025-11-01,1y,15.9023,13.2943
2025-12-01,1y,2.8045,11.6835
2026-01-01,1y,20.7707,11.2102
2026-02-01,1y,17.0048,11.8657
2026-02-27,1y,23.8975,10.0559
2024-02-01,2y,0.0,0.0
2024-03-01,2y,-4.857,4.7367
2024-04-01,2y,-0.8937,5.1983
2024-05-01,2y,-11.5685,-0.9076
2024-06-01,2y,-4.8525,4.6246
2024-07-01,2y,12.8578,8.389
2024-08-01,2y,-1.4905,6.4931
2024-09-01,2y,3.3429,9.5721
2024-10-01,2y,12.393,10.3747
2024-11-01,2y,34.9061,9.6696
2024-12-01,2y,52.5864,14.5959
2025-01-01,2y,44.8326,10.6198
2025-02-01,2y,56.6578,12.6831
2025-03-01,2y,31.7074,10.2867
2025-04-01,2y,4.8789,3.7865
2025-05-01,2y,0.4492,3.0354
2025-06-01,2y,25.1548,8.5308
2025-07-01,2y,52.5361,13.5572
2025-08-01,2y,51.8581,13.5293
2025-09-01,2y,63.5895,17.082
2025-10-01,2y,42.6493,20.7752
2025-11-01,2y,42.944,22.2112
2025-12-01,2y,26.8056,20.9033
2026-01-01,2y,47.9721,20.6387
2026-02-01,2y,43.4837,21.5103
2026-02-27,2y,51.7972,19.6788
2023-02-01,3y,0.0,0.0
2023-03-01,3y,-6.707,-4.003
2023-04-01,3y,-7.4169,2.7412
2023-05-01,3y,-11.1567,3.3417
2023-06-01,3y,14.3887,4.0328
2023-07-01,3y,77.1625,8.8745
2023-08-01,3y,56.9567,10.5685
2023-09-01,3y,30.112,7.8302
2023-10-01,3y,10.1922,1.5533
2023-11-01,3y,-10.1859,0.2593
2023-12-01,3y,26.6695,8.8574
2024-01-01,3y,46.1507,12.3307
2024-02-01,3y,28.9418,14.5711
2024-03-01,3y,20.6741,18.9348
2024-04-01,3y,21.1271,20.8845
2024-05-01,3y,6.5333,14.4718
2024-06-01,3y,10.5923,19.6572
2024-07-01,3y,29.1413,23.8772
2024-08-01,3y,13.4763,21.9939
2024-09-01,3y,18.0564,25.434
2024-10-01,3y,27.9404,26.4622
2024-11-01,3y,53.8653,25.7231
2024-12-01,3y,75.8181,31.3137
2025-01-01,3y,69.0575,26.9188
2025-02-01,3y,84.514,29.1825
2025-03-01,3y,56.6472,26.3918
2025-04-01,3y,25.1596,18.7826
2025-05-01,3y,19.355,17.522
2025-06-01,3y,47.8953,23.3618
2025-07-01,3y,80.3756,28.8313
2025-08-01,3y,80.361,28.6953
2025-09-01,3y,95.01,32.6025
2025-10-01,3y,70.7806,36.7343
2025-11-01,3y,71.4274,38.3695
2025-12-01,3y,52.2914,36.9054
2026-01-01,3y,77.6037,36.5824
2026-02-01,3y,72.458,37.528
2026-02-27,3y,82.5942,35.4167
2021-02-01,5y,0.0,0.0
2021-03-01,5y,39.807,3.4683
2021-04-01,5y,22.359,5.6108
