Date,Period,rate,rate_vs
2026-07-23,5d,0.0,0.0
2026-07-24,5d,0.1114,0.0781
2026-07-25,5d,0.1114,0.0781
2026-07-26,5d,0.1114,0.0781
2026-07-27,5d,-0.9749,0.1032
2026-07-28,5d,1.5877,0.3463
2026-06-01,1m,0.0,0.0
2026-07-01,1m,18.0458,-1.8046
2026-07-28,1m,10.6724,-1.6025
2026-04-01,3m,0.0,0.0
2026-05-01,3m,6.25,9.8967
2026-06-01,3m,-2.7491,10.4064
2026-07-01,3m,15.9589,5.08
2026-07-28,3m,13.6899,3.1037
2026-01-01,6m,0.0,0.0
2026-02-01,6m,7.7163,1.3481
2026-03-01,6m,-0.0323,-0.1825
2026-04-01,6m,0.5757,-4.7144
2026-05-01,6m,6.7889,6.0896
2026-06-01,6m,-0.545,10.3572
2026-07-01,6m,17.6075,6.7609
2026-07-28,6m,16.8725,5.0864
2025-07-01,1y,0.0,0.0
2025-08-01,1y,2.3705,0.5476
2025-09-01,1y,12.9289,4.0174
2025-10-01,1y,9.5414,6.6654
2025-11-01,1y,4.2669,7.1038
2025-12-01,1y,10.9334,5.407
2026-01-01,1y,16.7499,5.0539
2026-02-01,1y,23.2889,5.8294
2026-03-01,1y,15.9123,4.2459
2026-04-01,1y,14.853,-0.9753
2026-05-01,1y,20.563,9.03
2026-06-01,1y,11.9784,13.8814
2026-07-01,1y,31.1286,10.7928
2026-07-28,1y,30.7339,9.2331
2023-07-01,3y,0.0,0.0
2023-08-01,3y,20.7382,2.8681
2023-09-01,3y,1.5567,0.2551
2023-10-01,3y,-5.4516,-4.8173
2023-11-01,3y,-15.5986,-4.6934
2023-12-01,3y,7.7039,4.515
2024-01-01,3y,23.6397,7.8629
2024-02-01,3y,14.6604,9.8671
2024-03-01,3y,14.4422,13.88
2024-04-01,3y,27.1304,15.4883
2024-05-01,3y,22.5922,9.1489
2024-06-01,3y,22.5773,14.1223
2024-07-01,3y,22.5343,18.0669
2024-08-01,3y,38.661,16.1446
2024-09-01,3y,43.702,19.3645
2024-10-01,3y,30.5462,20.2587
2024-11-01,3y,36.1063,19.486
2024-12-01,3y,54.2221,24.7607
2025-01-01,3y,37.447,20.5036
2025-02-01,3y,49.8662,22.6369
2025-03-01,3y,43.0903,19.963
2025-04-01,3y,25.0711,12.752
2025-05-01,3y,15.134,11.6346
2025-06-01,3y,23.8638,17.2743
2025-07-01,3y,40.374,22.5214
2025-08-01,3y,42.1863,22.4045
2025-09-01,3y,56.9502,26.1393
2025-10-01,3y,56.1996,30.0701
2025-11-01,3y,50.0667,31.6096
2025-12-01,3y,59.1537,30.1997
2026-01-01,3y,68.2082,29.888
2026-02-01,3y,78.9929,30.789
2026-03-01,3y,69.9907,28.783
2026-04-01,3y,68.9253,22.0669
2026-05-01,3y,77.5035,33.5645
2026-06-01,3y,65.3818,39.5653
2026-07-01,3y,93.2722,36.1007
2026-07-28,3y,93.7233,34.2352
2021-07-01,5y,0.0,0.0
2021-08-01,5y,-8.4876,1.7707
2021-09-01,5y,-1.9333,3.9219
2021-10-01,5y,10.2588,-1.1374
2021-11-01,5y,7.8921,5.0647
2021-12-01,5y,3.0586,1.8654
2022-01-01,5y,4.1411,7.3871
2022-02-01,5y,18.589,1.4028
2022-03-01,5y,6.6125,-3.9018
2022-04-01,5y,-3.6605,1.9782
2022-05-01,5y,-13.7858,-7.4261
2022-06-01,5y,-10.2553,-7.3018
2022-07-01,5y,-18.2788,-12.8046
2022-08-01,5y,-12.5541,-4.9814
2022-09-01,5y,-13.8985,-8.0116
2022-10-01,5y,-18.3714,-16.2466
2022-11-01,5y,-1.5714,-8.7263
2022-12-01,5y,2.2657,-2.7616
2023-01-01,5y,-4.2156,-8.2114
2023-02-01,5y,7.486,-0.9109
2023-03-01,5y,2.0767,-4.7433
2023-04-01,5y,-25.5727,0.1496
2023-05-01,5y,-28.2725,1.6602
2023-06-01,5y,-32.1355,3.1216
2023-07-01,5y,-31.6146,8.6436
2023-08-01,5y,-15.8266,11.5108
2023-09-01,5y,-21.9559,9.8275
2023-10-01,5y,-26.1867,4.0445
2023-11-01,5y,-34.2077,2.7584
2023-12-01,5y,-17.5698,11.5038
2024-01-01,5y,-3.5401,15.5266
2024-02-01,5y,-7.9167,18.4085
2024-03-01,5y,-6.3412,23.5347
2024-04-01,5y,5.7459,26.2754
2024-05-01,5y,4.0336,20.2336
2024-06-01,5y,5.6811,26.0758
2024-07-01,5y,7.1352,31.0422
2024-08-01,5y,22.7582,29.6148
2024-09-01,5y,29.1769,33.7405
2024-10-01,5y,19.0889,35.3395
2024-11-01,5y,25.5023,35.0182
2024-12-01,5y,43.7485,41.4481
2025-01-01,5y,29.7205,37.1847
2025-02-01,5y,42.7376,39.9907
2025-03-01,5y,37.6491,37.3201
2025-04-01,5y,21.3257,29.314
