Date,Period,rate,rate_vs
2026-07-25,5d,0.0,0.0
2026-07-26,5d,0.0,0.0
2026-07-27,5d,2.0755,0.025
2026-07-28,5d,4.718,0.268
2026-07-29,5d,2.8939,-1.2531
2026-07-30,5d,3.5989,0.3902
2026-06-01,1m,0.0,0.0
2026-07-01,1m,10.8666,-1.8046
2026-07-30,1m,8.1206,-1.4826
2026-04-01,3m,0.0,0.0
2026-05-01,3m,3.9123,9.8967
2026-06-01,3m,-1.9967,10.4064
2026-07-01,3m,9.4632,5.08
2026-07-30,3m,9.8536,3.2294
2026-01-01,6m,0.0,0.0
2026-02-01,6m,-9.7577,1.3481
2026-03-01,6m,-15.0426,-0.1825
2026-04-01,6m,-15.1829,-4.7144
2026-05-01,6m,-7.8542,6.0896
2026-06-01,6m,-9.8919,10.3572
2026-07-01,6m,1.8109,6.7609
2026-07-30,6m,4.1752,5.2144
2025-07-01,1y,0.0,0.0
2025-08-01,1y,-3.6794,0.5476
2025-09-01,1y,8.3011,4.0174
2025-10-01,1y,-0.8794,6.6654
2025-11-01,1y,2.3441,7.1038
2025-12-01,1y,2.4016,5.407
2026-01-01,1y,12.1611,5.0539
2026-02-01,1y,-0.2643,5.8294
2026-03-01,1y,-10.8559,4.2459
2026-04-01,1y,-14.8048,-0.9753
2026-05-01,1y,-9.8536,9.03
2026-06-01,1y,-12.4534,13.8814
2026-07-01,1y,-1.7005,10.7928
2026-07-30,1y,0.979,9.3662
2023-07-01,3y,0.0,0.0
2023-08-01,3y,6.3945,2.8681
2023-09-01,3y,-6.753,0.2551
2023-10-01,3y,-10.4856,-4.8173
2023-11-01,3y,-4.833,-4.6934
2023-12-01,3y,10.9328,4.515
2024-01-01,3y,25.5527,7.8629
2024-02-01,3y,25.0858,9.8671
2024-03-01,3y,25.5714,13.88
2024-04-01,3y,30.3712,15.4883
2024-05-01,3y,24.1169,9.1489
2024-06-01,3y,20.0131,14.1223
2024-07-01,3y,20.1154,18.0669
2024-08-01,3y,22.1164,16.1446
2024-09-01,3y,23.5785,19.3645
2024-10-01,3y,21.8916,20.2587
2024-11-01,3y,34.5555,19.486
2024-12-01,3y,55.7297,24.7607
2025-01-01,3y,41.7455,20.5036
2025-02-01,3y,59.4119,22.6369
2025-03-01,3y,54.4704,19.963
2025-04-01,3y,34.9614,12.752
2025-05-01,3y,34.8644,11.6346
2025-06-01,3y,41.7272,17.2743
2025-07-01,3y,59.2465,22.5214
2025-08-01,3y,51.2519,22.4045
2025-09-01,3y,64.7822,26.1393
2025-10-01,3y,52.5589,30.0701
2025-11-01,3y,55.2732,31.6096
2025-12-01,3y,54.1864,30.1997
2026-01-01,3y,67.5814,29.888
2026-02-01,3y,49.4084,30.789
2026-03-01,3y,32.1316,28.783
2026-04-01,3y,23.6868,22.0669
2026-05-01,3y,27.9267,33.5645
2026-06-01,3y,22.2571,39.5653
2026-07-01,3y,34.9886,36.1007
2026-07-30,3y,37.5218,34.3988
2021-07-01,5y,0.0,0.0
2021-08-01,5y,2.7925,1.7707
2021-09-01,5y,3.5901,3.9219
2021-10-01,5y,5.4354,-1.1374
2021-11-01,5y,-4.4017,5.0647
2021-12-01,5y,-11.6358,1.8654
2022-01-01,5y,-5.3293,7.3871
2022-02-01,5y,-1.031,1.4028
2022-03-01,5y,-6.1885,-3.9018
2022-04-01,5y,-12.0885,1.9782
2022-05-01,5y,-15.1582,-7.4261
2022-06-01,5y,-12.3089,-7.3018
2022-07-01,5y,-24.1699,-12.8046
2022-08-01,5y,-20.2022,-4.9814
2022-09-01,5y,-21.0761,-8.0116
2022-10-01,5y,-29.3656,-16.2466
2022-11-01,5y,-16.0266,-8.7263
2022-12-01,5y,-20.567,-2.7616
2023-01-01,5y,-24.5897,-8.2114
2023-02-01,5y,-4.0187,-0.9109
2023-03-01,5y,-8.742,-4.7433
2023-04-01,5y,-18.8174,0.1496
2023-05-01,5y,-20.5174,1.6602
2023-06-01,5y,-6.8025,3.1216
2023-07-01,5y,-3.7708,8.6436
2023-08-01,5y,2.6414,11.5108
2023-09-01,5y,-7.3057,9.8275
2023-10-01,5y,-12.8335,4.0445
2023-11-01,5y,-9.4715,2.7584
2023-12-01,5y,4.8595,11.5038
2024-01-01,5y,20.4888,15.5266
2024-02-01,5y,22.9683,18.4085
2024-03-01,5y,25.8905,23.5347
2024-04-01,5y,32.9036,26.2754
2024-05-01,5y,28.6096,20.2336
2024-06-01,5y,25.7955,26.0758
2024-07-01,5y,26.9557,31.0422
2024-08-01,5y,30.0103,29.6148
2024-09-01,5y,32.4868,33.7405
2024-10-01,5y,31.5342,35.3395
2024-11-01,5y,45.973,35.0182
2024-12-01,5y,70.2222,41.4481
2025-01-01,5y,56.5302,37.1847
2025-02-01,5y,77.3132,39.9907
2025-03-01,5y,73.3476,37.3201
2025-04-01,5y,52.5956,29.314
2025-05-01,5y,53.1496,28.0629
2025-06-01,5y,61.5735,34.5179
2025-07-01,5y,82.3447,40.6512
2025-08-01,5y,74.1889,40.7254
2025-09-01,5y,90.6419,45.2046
2025-10-01,5y,77.4407,49.9689
2025-11-01,5y,81.3151,52.029
2025-12-01,5y,80.7433,50.6793
2026-01-01,5y,97.1319,50.5483
2026-02-01,5y,76.4773,51.7958
2026-03-01,5y,56.4815,49.6597
2026-04-01,5y,46.6351,41.9924
2026-05-01,5y,51.6862,55.4027
2026-06-01,5y,45.0326,62.5725
2026-07-01,5y,60.1188,58.7716
2026-07-30,5y,63.2648,56.9615
2019-07-01,7y,0.0,0.0
2019-08-01,7y,-0.9031,-0.3391
2019-09-01,7y,-4.294,-1.0265
2019-10-01,7y,-0.1503,0.0294
2019-11-01,7y,6.7911,4.4077
2019-12-01,7y,12.0088,6.2484
2020-01-01,7y,13.179,8.3167
2020-02-01,7y,7.919,7.0741
2020-03-01,7y,-4.1607,-2.4227
2020-04-01,7y,-51.2553,-18.1544
2020-05-01,7y,-25.7674,-3.8951
2020-06-01,7y,-12.7286,4.3011
2020-07-01,7y,-22.2906,6.0921
2020-08-01,7y,-16.5278,11.0669
2020-09-01,7y,-8.6146,19.0584
2020-10-01,7y,-2.2148,13.0154
2020-11-01,7y,-1.8812,8.6511
2020-12-01,7y,20.965,21.2936
2021-01-01,7y,32.0142,23.2382
2021-02-01,7y,35.6107,22.7478
2021-03-01,7y,61.7586,25.9489
2021-04-01,7y,66.309,29.5241
2021-05-01,7y,87.5739,33.5414
2021-06-01,7y,106.4056,32.8569
2021-07-01,7y,90.9114,35.3151
2021-08-01,7y,92.6931,36.4053
2021-09-01,7y,93.3113,39.1335
2021-10-01,7y,95.5543,32.6893
2021-11-01,7y,76.5284,39.4032
2021-12-01,7y,59.2942,35.1664
2022-01-01,7y,64.9524,41.7096
2022-02-01,7y,68.9151,33.8724
2022-03-01,7y,57.8825,26.0967
2022-04-01,7y,45.2588,32.388
2022-05-01,7y,37.0303,19.5554
2022-06-01,7y,38.3043,18.3025
2022-07-01,7y,17.3136,10.0863
2022-08-01,7y,20.026,18.3368
2022-09-01,7y,16.0987,13.6762
2022-10-01,7y,1.7304,2.5898
2022-11-01,7y,17.8359,10.3979
2022-12-01,7y,9.8254,16.6908
2023-01-01,7y,2.5709,9.6068
2023-02-01,7y,28.2793,17.5341
2023-03-01,7y,21.1062,12.557
2023-04-01,7y,6.8343,17.7694
2023-05-01,7y,3.3663,19.1649
2023-06-01,7y,19.7781,20.5529
2023-07-01,7y,22.8787,26.72
2023-08-01,7y,30.3674,29.9206
2023-09-01,7y,17.3036,27.8802
2023-10-01,7y,9.6716,21.0321
2023-11-01,7y,13.1162,19.3044
2023-12-01,7y,30.2691,29.1846
2024-01-01,7y,49.2748,33.7473
2024-02-01,7y,52.2698,37.0509
2024-03-01,7y,55.8445,42.9907
2024-04-01,7y,64.5194,46.2381
2024-05-01,7y,59.2892,39.3363
2024-06-01,7y,55.8129,46.1119
2024-07-01,7y,57.2085,51.9433
2024-08-01,7y,60.956,50.4104
2024-09-01,7y,64.018,55.2944
2024-10-01,7y,62.8554,57.2817
2024-11-01,7y,80.7273,57.0418
2024-12-01,7y,110.9236,64.6441
