Date,Period,rate,rate_vs
2026-07-23,5d,0.0,0.0
2026-07-24,5d,2.176,0.0781
2026-07-25,5d,2.176,0.0781
2026-07-26,5d,2.176,0.0781
2026-07-27,5d,4.115,0.1032
2026-07-28,5d,6.5281,0.3463
2026-06-01,1m,0.0,0.0
2026-07-01,1m,-7.0351,-1.8046
2026-07-28,1m,-0.3635,-1.6025
2026-04-01,3m,0.0,0.0
2026-05-01,3m,6.6456,9.8967
2026-06-01,3m,3.0424,10.4064
2026-07-01,3m,-5.0857,5.08
2026-07-28,3m,-0.6442,3.1037
2026-01-01,6m,0.0,0.0
2026-02-01,6m,-0.9516,1.3481
2026-03-01,6m,-6.4872,-0.1825
2026-04-01,6m,-12.9085,-4.7144
2026-05-01,6m,-3.6095,6.0896
2026-06-01,6m,-3.1242,10.3572
2026-07-01,6m,-9.3804,6.7609
2026-07-28,6m,-4.9997,5.0864
2025-07-01,1y,0.0,0.0
2025-08-01,1y,-5.6818,0.5476
2025-09-01,1y,-1.3999,4.0174
2025-10-01,1y,-5.5092,6.6654
2025-11-01,1y,-4.4369,7.1038
2025-12-01,1y,-8.5785,5.407
2026-01-01,1y,-0.4269,5.0539
2026-02-01,1y,-1.2301,5.8294
2026-03-01,1y,-7.0165,4.2459
2026-04-01,1y,-14.6294,-0.9753
2026-05-01,1y,-7.3139,9.03
2026-06-01,1y,-6.8664,13.8814
2026-07-01,1y,-12.8071,10.7928
2026-07-28,1y,-8.9002,9.2331
2023-07-01,3y,0.0,0.0
2023-08-01,3y,-0.3796,2.8681
2023-09-01,3y,-8.5204,0.2551
2023-10-01,3y,-6.395,-4.8173
2023-11-01,3y,-4.7977,-4.6934
2023-12-01,3y,9.7917,4.515
2024-01-01,3y,6.5194,7.8629
2024-02-01,3y,13.4888,9.8671
2024-03-01,3y,28.94,13.88
2024-04-01,3y,36.4711,15.4883
2024-05-01,3y,20.738,9.1489
2024-06-01,3y,11.7763,14.1223
2024-07-01,3y,4.5282,18.0669
2024-08-01,3y,-0.6518,16.1446
2024-09-01,3y,-3.4647,19.3645
2024-10-01,3y,0.6887,20.2587
2024-11-01,3y,2.5227,19.486
2024-12-01,3y,25.5111,24.7607
2025-01-01,3y,18.1517,20.5036
2025-02-01,3y,18.9902,22.6369
2025-03-01,3y,18.8083,19.963
2025-04-01,3y,1.206,12.752
2025-05-01,3y,-5.9672,11.6346
2025-06-01,3y,17.3693,17.2743
2025-07-01,3y,27.9403,22.5214
2025-08-01,3y,19.7322,22.4045
2025-09-01,3y,20.796,26.1393
2025-10-01,3y,14.5168,30.0701
2025-11-01,3y,13.6617,31.6096
2025-12-01,3y,7.3077,30.1997
2026-01-01,3y,14.8319,29.888
2026-02-01,3y,13.3745,30.789
2026-03-01,3y,6.1843,28.783
