Date,Period,rate,rate_vs
2026-07-25,5d,0.0,0.0
2026-07-26,5d,0.0,0.0
2026-07-27,5d,-3.454,0.025
2026-07-28,5d,-4.5543,0.268
2026-07-29,5d,-7.0298,-1.2531
2026-07-30,5d,-3.3858,0.3902
2026-06-01,1m,0.0,0.0
2026-07-01,1m,-3.6319,-1.8046
2026-07-30,1m,1.4171,-1.4826
2026-04-01,3m,0.0,0.0
2026-05-01,3m,8.8321,9.8967
2026-06-01,3m,1.5671,10.4064
2026-07-01,3m,-2.5602,5.08
2026-07-30,3m,1.3353,3.2294
2026-01-01,6m,0.0,0.0
2026-02-01,6m,7.0416,1.3481
2026-03-01,6m,23.4471,-0.1825
2026-04-01,6m,18.1748,-4.7144
2026-05-01,6m,23.7636,6.0896
2026-06-01,6m,15.7996,10.3572
2026-07-01,6m,9.1488,6.7609
2026-07-30,6m,11.4349,5.2144
2025-07-01,1y,0.0,0.0
2025-08-01,1y,-3.0678,0.5476
2025-09-01,1y,0.8557,4.0174
2025-10-01,1y,-1.0285,6.6654
2025-11-01,1y,8.4402,7.1038
2025-12-01,1y,-6.8981,5.407
2026-01-01,1y,-1.5401,5.0539
2026-02-01,1y,5.7189,5.8294
2026-03-01,1y,25.2614,4.2459
2026-04-01,1y,25.1726,-0.9753
2026-05-01,1y,33.611,9.03
2026-06-01,1y,27.0452,13.8814
2026-07-01,1y,20.3708,10.7928
2026-07-30,1y,22.7704,9.3662
2023-07-01,3y,0.0,0.0
2023-08-01,3y,2.6042,2.8681
2023-09-01,3y,-1.7949,0.2551
2023-10-01,3y,-7.7418,-4.8173
2023-11-01,3y,-4.1626,-4.6934
2023-12-01,3y,8.3597,4.515
2024-01-01,3y,4.4806,7.8629
2024-02-01,3y,9.104,9.8671
2024-03-01,3y,15.4104,13.88
2024-04-01,3y,1.0015,15.4883
2024-05-01,3y,-12.3145,9.1489
2024-06-01,3y,-2.0209,14.1223
2024-07-01,3y,-2.2858,18.0669
2024-08-01,3y,4.518,16.1446
2024-09-01,3y,7.7125,19.3645
2024-10-01,3y,13.44,20.2587
2024-11-01,3y,13.2696,19.486
2024-12-01,3y,24.8217,24.7607
2025-01-01,3y,18.5834,20.5036
2025-02-01,3y,13.9544,22.6369
2025-03-01,3y,12.7125,19.963
2025-04-01,3y,1.2376,12.752
2025-05-01,3y,6.7524,11.6346
2025-06-01,3y,10.3497,17.2743
2025-07-01,3y,-1.6413,22.5214
2025-08-01,3y,-4.5036,22.4045
2025-09-01,3y,-1.9629,26.1393
2025-10-01,3y,-3.4218,30.0701
2025-11-01,3y,5.7,31.6096
2025-12-01,3y,-7.9729,30.1997
2026-01-01,3y,-3.5729,29.888
2026-02-01,3y,3.4404,30.789
2026-03-01,3y,23.2788,28.783
2026-04-01,3y,25.3022,22.0669
2026-05-01,3y,35.6915,33.5645
2026-06-01,3y,31.0571,39.5653
2026-07-01,3y,25.5881,36.1007
2026-07-30,3y,29.0721,34.3988
2021-07-01,5y,0.0,0.0
2021-08-01,5y,2.7519,1.7707
2021-09-01,5y,7.6619,3.9219
2021-10-01,5y,-4.5425,-1.1374
2021-11-01,5y,1.6014,5.0647
2021-12-01,5y,-1.6824,1.8654
2022-01-01,5y,3.7822,7.3871
2022-02-01,5y,-12.7049,1.4028
2022-03-01,5y,-11.6871,-3.9018
2022-04-01,5y,-2.6472,1.9782
2022-05-01,5y,-8.012,-7.4261
2022-06-01,5y,-12.0604,-7.3018
2022-07-01,5y,-11.846,-12.8046
2022-08-01,5y,-8.1107,-4.9814
2022-09-01,5y,-12.6021,-8.0116
2022-10-01,5y,-23.1757,-16.2466
2022-11-01,5y,-23.7051,-8.7263
2022-12-01,5y,-1.7592,-2.7616
2023-01-01,5y,-7.7408,-8.2114
2023-02-01,5y,4.4168,-0.9109
2023-03-01,5y,-4.5818,-4.7433
2023-04-01,5y,2.4887,0.1496
2023-05-01,5y,2.5083,1.6602
2023-06-01,5y,7.3103,3.1216
2023-07-01,5y,11.3592,8.6436
2023-08-01,5y,13.9028,11.5108
2023-09-01,5y,9.9527,9.8275
2023-10-01,5y,2.3556,4.0445
2023-11-01,5y,4.0802,2.7584
2023-12-01,5y,16.5285,11.5038
2024-01-01,5y,13.2966,15.5266
2024-02-01,5y,18.6017,18.4085
2024-03-01,5y,26.1693,23.5347
2024-04-01,5y,11.3837,26.2754
2024-05-01,5y,-3.489,20.2336
2024-06-01,5y,6.5988,26.0758
2024-07-01,5y,5.9519,31.0422
2024-08-01,5y,12.9599,29.6148
2024-09-01,5y,16.4258,33.7405
2024-10-01,5y,22.7639,35.3395
2024-11-01,5y,22.9257,35.0182
2024-12-01,5y,35.7866,41.4481
2025-01-01,5y,29.6263,37.1847
2025-02-01,5y,24.9379,39.9907
2025-03-01,5y,23.7768,37.3201
2025-04-01,5y,11.3014,29.314
2025-05-01,5y,17.1734,28.0629
2025-06-01,5y,21.0799,34.5179
2025-07-01,5y,7.9556,40.6512
2025-08-01,5y,4.5888,40.7254
2025-09-01,5y,7.0852,45.2046
2025-10-01,5y,5.2787,49.9689
2025-11-01,5y,14.9678,52.029
2025-12-01,5y,0.0378,50.6793
2026-01-01,5y,4.5202,50.5483
2026-02-01,5y,11.9019,51.7958
2026-03-01,5y,33.2502,49.6597
2026-04-01,5y,35.622,41.9924
2026-05-01,5y,47.077,55.4027
2026-06-01,5y,42.3543,62.5725
2026-07-01,5y,36.6381,58.7716
2026-07-30,5y,40.5868,56.9615
2019-07-01,7y,0.0,0.0
2019-08-01,7y,3.4237,-0.3391
2019-09-01,7y,8.6611,-1.0265
2019-10-01,7y,8.2705,0.0294
2019-11-01,7y,4.8077,4.4077
2019-12-01,7y,5.1318,6.2484
2020-01-01,7y,7.3587,8.3167
2020-02-01,7y,7.3912,7.0741
2020-03-01,7y,3.8789,-2.4227
2020-04-01,7y,7.5283,-18.1544
2020-05-01,7y,20.2829,-3.8951
2020-06-01,7y,25.8409,4.3011
2020-07-01,7y,26.8135,6.0921
2020-08-01,7y,34.5611,11.0669
2020-09-01,7y,33.259,19.0584
2020-10-01,7y,27.4759,13.0154
2020-11-01,7y,19.6788,8.6511
2020-12-01,7y,15.9222,21.2936
2021-01-01,7y,15.2899,23.2382
2021-02-01,7y,21.2989,22.7478
2021-03-01,7y,3.4527,25.9489
2021-04-01,7y,8.0213,29.5241
2021-05-01,7y,14.4416,33.5414
2021-06-01,7y,17.209,32.8569
2021-07-01,7y,25.6593,35.3151
2021-08-01,7y,28.1866,36.4053
2021-09-01,7y,35.0461,39.1335
2021-10-01,7y,21.5032,32.6893
2021-11-01,7y,27.0243,39.4032
2021-12-01,7y,22.4238,35.1664
2022-01-01,7y,28.092,41.7096
2022-02-01,7y,7.5528,33.8724
2022-03-01,7y,6.64,26.0967
2022-04-01,7y,15.6448,32.388
2022-05-01,7y,8.5503,19.5554
2022-06-01,7y,2.7335,18.3025
2022-07-01,7y,1.7518,10.0863
2022-08-01,7y,4.9355,18.3368
2022-09-01,7y,-0.9365,13.6762
2022-10-01,7y,-13.7253,2.5898
2022-11-01,7y,-15.5667,10.3979
2022-12-01,7y,7.254,16.6908
2023-01-01,7y,0.4649,9.6068
2023-02-01,7y,13.1955,17.5341
2023-03-01,7y,3.3878,12.557
2023-04-01,7y,10.718,17.7694
2023-05-01,7y,10.6309,19.1649
2023-06-01,7y,15.7025,20.5529
2023-07-01,7y,20.0719,26.72
2023-08-01,7y,22.8992,29.9206
2023-09-01,7y,18.7546,27.8802
2023-10-01,7y,10.5796,21.0321
2023-11-01,7y,12.3302,19.3044
2023-12-01,7y,25.6767,29.1846
2024-01-01,7y,22.3088,33.7473
2024-02-01,7y,28.0979,37.0509
2024-03-01,7y,36.4079,42.9907
2024-04-01,7y,20.6181,46.2381
2024-05-01,7y,4.5197,39.3363
2024-06-01,7y,15.2426,46.1119
2024-07-01,7y,14.4889,51.9433
2024-08-01,7y,21.995,50.4104
2024-09-01,7y,25.7533,55.2944
2024-10-01,7y,32.6493,57.2817
2024-11-01,7y,32.9307,57.0418
2024-12-01,7y,46.9483,64.6441
2025-01-01,7y,40.4851,59.8481
