Date,Period,rate,rate_vs
2026-01-01,1m,0.0,0.0
2026-02-01,1m,23.5304,1.3481
2026-02-27,1m,18.0939,-0.1825
2025-11-01,3m,0.0,0.0
2025-12-01,3m,-3.5838,-0.3421
2026-01-01,3m,8.8551,0.3183
2026-02-01,3m,30.9126,1.6308
2026-02-27,3m,30.1915,0.3869
2025-08-01,6m,0.0,0.0
2025-09-01,6m,2.2548,3.6814
2025-10-01,6m,6.7575,5.7777
2025-11-01,6m,17.6252,5.9249
2025-12-01,6m,9.2464,4.1656
2026-01-01,6m,19.0783,3.8709
2026-02-01,6m,43.2926,4.7048
2026-02-27,6m,44.9213,3.1846
2025-02-01,1y,0.0,0.0
2025-03-01,1y,-9.7121,-1.3637
2025-04-01,1y,10.2417,-5.9499
2025-05-01,1y,20.1459,-4.4561
2025-06-01,1y,14.8973,1.9809
2025-07-01,1y,23.5594,6.768
2025-08-01,1y,31.0382,6.3077
2025-09-01,1y,29.5737,9.3815
2025-10-01,1y,32.9365,12.4342
2025-11-01,1y,45.541,13.2943
2025-12-01,1y,36.0605,11.6835
2026-01-01,1y,47.2416,11.2102
2026-02-01,1y,77.1917,11.8657
2026-02-27,1y,81.0239,10.0559
2024-02-01,2y,0.0,0.0
2024-03-01,2y,9.5801,4.7367
2024-04-01,2y,2.9993,5.1983
2024-05-01,2y,-1.7706,-0.9076
2024-06-01,2y,-8.9581,4.6246
2024-07-01,2y,-9.0244,8.389
2024-08-01,2y,0.0345,6.4931
2024-09-01,2y,7.3835,9.5721
2024-10-01,2y,0.115,10.3747
2024-11-01,2y,-28.4332,9.6696
2024-12-01,2y,-20.5908,14.5959
2025-01-01,2y,-22.4045,10.6198
2025-02-01,2y,-17.0602,12.6831
2025-03-01,2y,-23.8614,10.2867
2025-04-01,2y,-9.7661,3.7865
2025-05-01,2y,2.2397,3.0354
2025-06-01,2y,1.9274,8.5308
2025-07-01,2y,12.418,13.5572
2025-08-01,2y,22.3908,13.5293
2025-09-01,2y,24.064,17.082
2025-10-01,2y,29.7586,20.7752
2025-11-01,2y,44.495,22.2112
2025-12-01,2y,37.4996,20.9033
2026-01-01,2y,50.67,20.6387
2026-02-01,2y,83.6936,21.5103
2026-02-27,2y,90.6389,19.6788
2023-02-01,3y,0.0,0.0
2023-03-01,3y,-0.7358,-4.003
2023-04-01,3y,-4.4387,2.7412
2023-05-01,3y,-5.2698,3.3417
2023-06-01,3y,-3.8396,4.0328
2023-07-01,3y,9.618,8.8745
2023-08-01,3y,9.1229,10.5685
2023-09-01,3y,4.1161,7.8302
2023-10-01,3y,-4.0471,1.5533
2023-11-01,3y,4.1233,0.2593
2023-12-01,3y,13.2504,8.8574
2024-01-01,3y,21.8435,12.3307
2024-02-01,3y,23.7914,14.5711
2024-03-01,3y,33.7705,18.9348
2024-04-01,3y,29.1679,20.8845
2024-05-01,3y,22.5545,14.4718
2024-06-01,3y,11.7994,19.6572
2024-07-01,3y,8.8992,23.8772
2024-08-01,3y,17.2756,21.9939
2024-09-01,3y,24.9335,25.434
2024-10-01,3y,16.3234,26.4622
2024-11-01,3y,-17.3861,25.7231
2024-12-01,3y,-10.9854,31.3137
2025-01-01,3y,-14.5604,26.9188
2025-02-01,3y,-10.1833,29.1825
2025-03-01,3y,-18.4608,26.3918
2025-04-01,3y,-4.6542,18.7826
2025-05-01,3y,7.4555,17.522
2025-06-01,3y,7.0113,23.3618
