Date,Period,rate,rate_vs
2026-08-21,5d,0.0,0.0
2026-08-22,5d,0.0,0.0
2026-08-23,5d,0.0,0.0
2026-08-24,5d,-3.8034,-0.2672
2026-08-25,5d,-0.6395,0.0441
2026-08-26,5d,2.7264,0.0696
2026-07-01,1m,0.0,0.0
2026-08-01,1m,23.7182,0.0735
2026-08-26,1m,25.1344,2.5424
2026-05-01,3m,0.0,0.0
2026-06-01,3m,40.7138,5.1456
2026-07-01,3m,-9.7083,0.7734
2026-08-01,3m,15.7854,0.6567
2026-08-26,3m,25.14,3.0354
2026-02-01,6m,0.0,0.0
2026-03-01,6m,-2.4124,-0.9007
2026-04-01,6m,-1.4641,-5.0439
2026-05-01,6m,8.8113,6.2709
2026-06-01,6m,50.1277,10.1746
2026-07-01,6m,5.1333,6.2747
2026-08-01,6m,29.1189,5.3949
2026-08-26,6m,39.8356,7.2837
2025-08-01,1y,0.0,0.0
2025-09-01,1y,16.6114,3.6814
2025-10-01,1y,2.3726,5.7777
2025-11-01,1y,5.2369,5.9249
2025-12-01,1y,-8.4139,4.1656
2026-01-01,1y,-13.6712,3.8709
2026-02-01,1y,-22.7027,4.7048
2026-03-01,1y,-21.3377,3.1846
2026-04-01,1y,-18.8543,-1.9191
2026-05-01,1y,-8.5134,8.1178
2026-06-01,1y,30.0481,12.9299
2026-07-01,1y,-4.4544,9.8385
2026-08-01,1y,18.775,9.1996
2026-08-26,1y,31.3054,11.257
2023-08-01,3y,0.0,0.0
2023-09-01,3y,-7.9221,-1.2123
2023-10-01,3y,-17.94,-5.571
2023-11-01,3y,-9.3229,-4.8015
2023-12-01,3y,3.5874,4.6764
2024-01-01,3y,5.8692,7.8372
2024-02-01,3y,0.8654,9.6499
2024-03-01,3y,2.3634,13.4982
2024-04-01,3y,6.3792,14.9452
2024-05-01,3y,-3.4884,8.5205
2024-06-01,3y,27.3889,13.4378
2024-07-01,3y,20.5992,17.3037
2024-08-01,3y,19.5532,15.3322
2024-09-01,3y,21.4313,18.4934
2024-10-01,3y,16.1024,19.3404
2024-11-01,3y,20.0511,18.5401
2024-12-01,3y,16.0085,23.7499
2025-01-01,3y,6.9063,19.495
2025-02-01,3y,6.0918,21.5969
2025-03-01,3y,0.4614,18.9311
2025-04-01,3y,-8.647,11.7779
2025-05-01,3y,-16.1654,10.6837
2025-06-01,3y,-17.0671,16.2919
2025-07-01,3y,-13.3422,21.5005
2025-08-01,3y,-16.3823,21.3818
2025-09-01,3y,-1.6344,25.0844
2025-10-01,3y,-6.9243,28.9772
2025-11-01,3y,-3.2819,30.4951
2025-12-01,3y,-14.6467,29.0887
2026-01-01,3y,-20.5165,28.7745
2026-02-01,3y,-30.0552,29.6643
2026-03-01,3y,-30.7304,27.6724
2026-04-01,3y,-29.9211,21.014
2026-05-01,3y,-21.9753,32.4196
2026-06-01,3y,10.8075,38.366
2026-07-01,3y,-17.0716,34.9246
2026-08-01,3y,3.284,34.1843
2026-08-26,3y,15.4909,36.6636
2021-08-01,5y,0.0,0.0
2021-09-01,5y,1.1112,2.9579
2021-10-01,5y,-2.7826,-2.2479
2021-11-01,5y,9.226,4.3717
2021-12-01,5y,24.716,1.1036
2022-01-01,5y,24.5482,6.6732
2022-02-01,5y,19.7681,0.6654
2022-03-01,5y,6.348,-4.5274
2022-04-01,5y,11.0561,1.4557
2022-05-01,5y,12.9932,-7.8696
2022-06-01,5y,22.9955,-7.6324
2022-07-01,5y,-3.7388,-13.0345
2022-08-01,5y,2.0176,-5.1208
2022-09-01,5y,-14.7832,-8.1098
2022-10-01,5y,-22.9214,-16.295
2022-11-01,5y,-12.1593,-8.7025
2022-12-01,5y,-5.0115,-2.7044
2023-01-01,5y,-13.4239,-8.1524
2023-02-01,5y,-2.9358,-0.8256
2023-03-01,5y,-6.0736,-4.6636
2023-04-01,5y,-3.3165,0.2406
2023-05-01,5y,-1.1515,1.7477
2023-06-01,5y,-2.8862,3.2028
2023-07-01,5y,2.3677,8.7194
2023-08-01,5y,9.7232,11.5706
2023-09-01,5y,0.7697,9.8666
2023-10-01,5y,-13.8816,4.0668
2023-11-01,5y,-10.7429,2.7742
2023-12-01,5y,-0.1398,11.5166
2024-01-01,5y,2.7931,15.5255
2024-02-01,5y,-1.2291,18.3901
2024-03-01,5y,0.412,23.4965
2024-04-01,5y,4.6494,26.2144
2024-05-01,5y,-4.5424,20.1543
2024-06-01,5y,25.7287,25.9768
2024-07-01,5y,20.6966,30.9199
2024-08-01,5y,20.8049,29.4731
2024-09-01,5y,23.693,33.5755
2024-10-01,5y,19.1755,35.1526
2024-11-01,5y,23.8701,34.8125
2024-12-01,5y,20.3827,41.2141
2025-01-01,5y,11.3868,36.9382
2025-02-01,5y,10.6696,39.7224
2025-03-01,5y,4.8812,37.0404
2025-04-01,5y,-4.7042,29.0371
2025-05-01,5y,-12.8415,27.7793
2025-06-01,5y,-14.2519,34.2113
2025-07-01,5y,-10.8786,40.3197
2025-08-01,5y,-14.334,40.3812
2025-09-01,5y,0.3353,44.8374
2025-10-01,5y,-5.1256,49.5765
2025-11-01,5y,-1.5778,51.6172
2025-12-01,5y,-13.2197,50.2576
2026-01-01,5y,-19.4305,50.1145
2026-02-01,5y,-29.3892,51.3465
2026-03-01,5y,-30.5035,49.2054
2026-04-01,5y,-30.1081,41.5517
2026-05-01,5y,-22.5955,54.9124
2026-06-01,5y,9.574,62.0482
2026-07-01,5y,-17.8865,58.2476
2026-08-01,5y,2.0581,57.5482
2026-08-26,5y,14.1816,60.6057
2019-08-01,7y,0.0,0.0
2019-09-01,7y,-12.9503,-0.9078
2019-10-01,7y,-4.1742,0.2448
2019-11-01,7y,-7.0511,4.5464
2019-12-01,7y,6.9353,6.1238
2020-01-01,7y,8.9232,7.9962
2020-02-01,7y,11.4435,6.6068
2020-03-01,7y,7.0651,-2.9086
2020-04-01,7y,-23.317,-18.4831
2020-05-01,7y,-21.4324,-4.0003
2020-06-01,7y,-16.995,4.2361
2020-07-01,7y,-4.0268,5.9977
2020-08-01,7y,-0.4149,10.9342
2020-09-01,7y,9.1283,18.8599
2020-10-01,7y,7.996,12.751
2020-11-01,7y,1.5736,8.3592
2020-12-01,7y,26.4408,20.9505
2021-01-01,7y,38.2938,22.8352
2021-02-01,7y,35.5507,22.2962
2021-03-01,7y,61.5232,25.4435
2021-04-01,7y,72.7115,28.9611
2021-05-01,7y,80.1213,32.9159
2021-06-01,7y,54.4867,32.1895
2021-07-01,7y,55.5978,34.5966
2021-08-01,7y,45.8017,35.6437
2021-09-01,7y,45.711,38.3221
2021-10-01,7y,39.2394,31.8836
2021-11-01,7y,53.3905,38.5348
2021-12-01,7y,76.7348,34.2988
2022-01-01,7y,81.0564,40.7808
2022-02-01,7y,77.3558,32.9732
2022-03-01,7y,59.0333,25.238
2022-04-01,7y,65.3976,31.4828
2022-05-01,7y,68.1396,18.7307
2022-06-01,7y,82.959,17.4903
2022-07-01,7y,43.7883,9.3352
2022-08-01,7y,50.6202,17.5417
2022-09-01,7y,24.8695,12.9173
2022-10-01,7y,10.9842,1.9125
2022-11-01,7y,23.7145,9.6854
2022-12-01,7y,32.005,15.948
