Date,Period,rate,rate_vs
2026-08-27,5d,0.0,0.0
2026-08-28,5d,-3.0691,-0.2131
2026-08-29,5d,-3.0691,-0.2131
2026-08-30,5d,-3.0691,-0.2131
2026-08-31,5d,-1.369,-0.5446
2026-09-01,5d,-3.3782,-1.1951
2026-08-01,1m,0.0,0.0
2026-09-01,1m,22.6607,1.8831
2026-06-01,3m,0.0,0.0
2026-07-01,3m,-16.1125,-1.8046
2026-08-01,3m,-3.6737,-0.7803
2026-09-01,3m,19.7354,1.4205
2026-03-01,6m,0.0,0.0
2026-04-01,6m,3.7951,-4.6618
2026-05-01,6m,17.2144,7.3875
2026-06-01,6m,1.469,10.3993
2026-07-01,6m,-15.1245,5.9354
2026-08-01,6m,-7.8806,4.9102
2026-09-01,6m,14.6995,6.1411
2025-09-01,1y,0.0,0.0
2025-10-01,1y,8.5178,3.813
2025-11-01,1y,-2.7237,3.9231
2025-12-01,1y,-23.5904,2.3335
2026-01-01,1y,-15.7668,2.275
2026-02-01,1y,-16.4342,3.2753
2026-03-01,1y,-32.4267,1.8894
2026-04-01,1y,-24.9939,-3.0346
2026-05-01,1y,-10.0957,7.072
2026-06-01,1y,-17.1308,11.8553
2026-07-01,1y,-28.9835,8.7715
2026-08-01,1y,-22.8056,8.1524
2026-09-01,1y,-2.8948,9.5979
2024-01-11,max,0.0,0.0
2024-02-01,max,-7.9403,2.6087
2024-03-01,max,40.7627,6.1566
2024-04-01,max,40.4247,7.0003
2024-05-01,max,6.1688,0.8101
2024-06-01,max,24.868,6.03
2024-07-01,max,12.7222,9.778
2024-08-01,max,11.1061,7.8794
2024-09-01,max,1.4934,10.9536
2024-10-01,max,6.66,11.7624
2024-11-01,max,18.7757,11.0406
2024-12-01,max,64.1572,16.0035
2025-01-01,max,52.5896,11.9888
2025-02-01,max,61.5842,14.0514
2025-03-01,max,30.4598,11.6106
2025-04-01,max,29.4949,5.0041
2025-05-01,max,45.2196,4.1875
2025-06-01,max,54.2538,9.6873
2025-07-01,max,52.2006,14.7351
2025-08-01,max,60.3869,14.6926
2025-09-01,max,50.5505,18.2662
2025-10-01,max,60.9175,21.9897
2025-11-01,max,47.6231,23.4401
2025-12-01,max,13.308,22.1199
2026-01-01,max,15.4228,21.8491
2026-02-01,max,9.8075,22.7243
2026-03-01,max,-14.3068,20.8697
2026-04-01,max,-10.419,14.609
2026-05-01,max,3.5211,25.4996
2026-06-01,max,-5.8576,31.1602
2026-07-01,max,-20.7862,27.8979
2026-08-01,max,-16.2658,27.2152
2026-09-01,max,3.432,28.8699
