Date,Period,rate,rate_vs
2026-08-28,5d,0.0,0.0
2026-08-29,5d,0.0,0.0
2026-08-30,5d,0.0,0.0
2026-08-31,5d,0.8155,-0.3323
2026-09-01,5d,0.2575,-0.9841
2026-09-02,5d,0.794,-0.5415
2026-08-01,1m,0.0,0.0
2026-09-01,1m,-1.4083,1.8831
2026-09-02,1m,-0.223,1.3425
2026-06-01,3m,0.0,0.0
2026-07-01,3m,16.4282,-1.8046
2026-08-01,3m,-8.1032,-0.7803
2026-09-01,3m,-6.6739,1.4205
2026-09-02,3m,-4.5222,1.492
2026-03-01,6m,0.0,0.0
2026-04-01,6m,18.9625,-4.6618
2026-05-01,6m,51.3313,7.3875
2026-06-01,6m,62.665,10.3993
2026-07-01,6m,71.2901,5.9354
2026-08-01,6m,33.3983,4.9102
2026-09-01,6m,26.1413,6.1411
2026-09-02,6m,23.0475,5.7199
2025-09-01,1y,0.0,0.0
2025-10-01,1y,-28.5969,3.813
2025-11-01,1y,-7.0169,3.9231
2025-12-01,1y,-18.1959,2.3335
2026-01-01,1y,-7.9482,2.275
2026-02-01,1y,7.303,3.2753
2026-03-01,1y,27.528,1.8894
2026-04-01,1y,47.1622,-3.0346
2026-05-01,1y,95.3392,7.072
2026-06-01,1y,123.9395,11.8553
2026-07-01,1y,146.5334,8.7715
2026-08-01,1y,98.1305,8.1524
2026-09-01,1y,87.457,9.5979
2026-09-02,1y,81.6889,9.3384
2023-09-01,3y,0.0,0.0
2023-10-01,3y,-7.9862,-5.0423
2023-11-01,3y,-22.5427,-3.6381
2023-12-01,3y,-9.302,5.9443
2024-01-01,3y,-2.0682,8.5776
2024-02-01,3y,-14.0251,9.9873
2024-03-01,3y,-27.1112,13.5497
2024-04-01,3y,-32.5262,14.7408
2024-05-01,3y,-13.8046,8.149
2024-06-01,3y,-15.6707,12.9889
2024-07-01,3y,-23.0417,16.7527
2024-08-01,3y,-14.2612,14.7024
2024-09-01,3y,-22.1621,17.7913
2024-10-01,3y,-3.0783,18.5762
2024-11-01,3y,-8.2213,17.7346
2024-12-01,3y,-6.3885,22.8753
2025-01-01,3y,-7.7667,18.6086
2025-02-01,3y,-8.1785,20.6744
2025-03-01,3y,1.2887,18.0083
2025-04-01,3y,-11.9334,10.9021
2025-05-01,3y,-21.8889,9.8275
2025-06-01,3y,-16.478,15.4067
2025-07-01,3y,2.8781,20.5782
2025-08-01,3y,-18.7829,20.4545
2025-09-01,3y,-15.5968,24.125
2025-10-01,3y,-39.2302,27.9798
2025-11-01,3y,-32.395,29.4743
2025-12-01,3y,-40.9352,28.0678
2026-01-01,3y,-35.464,27.7486
2026-02-01,3y,-24.6353,28.6257
2026-03-01,3y,-8.4051,26.6448
2026-04-01,3y,9.3916,20.0382
2026-05-01,3y,50.8663,31.3577
2026-06-01,3y,81.0111,37.2517
2026-07-01,3y,108.1784,33.8298
2026-08-01,3y,74.2411,33.091
2026-09-01,3y,69.9211,34.7926
2026-09-02,3y,68.9278,34.4478
2021-09-01,5y,0.0,0.0
2021-10-01,5y,-12.998,-3.7214
2021-11-01,5y,-2.2502,3.9703
2021-12-01,5y,-12.1944,0.4767
2022-01-01,5y,0.5184,6.1123
2022-02-01,5y,-15.2639,0.0221
2022-03-01,5y,-2.3701,-5.0537
2022-04-01,5y,4.9133,1.0626
2022-05-01,5y,-10.8219,-8.2021
2022-06-01,5y,-6.1383,-7.8404
2022-07-01,5y,-2.8602,-13.1454
2022-08-01,5y,14.3716,-5.1239
2022-09-01,5y,12.9129,-8.0815
2022-10-01,5y,11.1106,-16.2315
2022-11-01,5y,27.5885,-8.556
2022-12-01,5y,29.0258,-2.5216
2023-01-01,5y,24.1618,-7.9818
2023-02-01,5y,45.5146,-0.6247
2023-03-01,5y,44.5055,-4.4793
2023-04-01,5y,43.2427,0.4364
2023-05-01,5y,44.6062,1.9356
2023-06-01,5y,37.158,3.3805
2023-07-01,5y,37.9915,8.8914
2023-08-01,5y,14.1247,11.7235
2023-09-01,5y,8.1392,9.9923
2023-10-01,5y,-0.7011,4.1669
2023-11-01,5y,-19.8264,2.8636
2023-12-01,5y,-13.6097,11.6059
2024-01-01,5y,-8.5188,15.6002
2024-02-01,5y,-19.7559,18.4458
2024-03-01,5y,-33.2171,23.5322
2024-04-01,5y,-40.3475,26.2254
2024-05-01,5y,-26.5988,20.1407
2024-06-01,5y,-28.6625,25.9438
2024-07-01,5y,-35.3255,30.8635
2024-08-01,5y,-28.756,29.3941
