Date,Period,rate,rate_vs
2026-07-25,5d,0.0,0.0
2026-07-26,5d,0.0,0.0
2026-07-27,5d,-1.3477,0.025
2026-07-28,5d,-1.5346,0.268
2026-07-29,5d,-3.9231,-1.2531
2026-07-30,5d,-5.4043,0.3902
2026-06-01,1m,0.0,0.0
2026-07-01,1m,8.8318,-1.8046
2026-07-30,1m,-2.3816,-1.4826
2026-04-01,3m,0.0,0.0
2026-05-01,3m,2.844,9.8967
2026-06-01,3m,-4.7738,10.4064
2026-07-01,3m,5.4373,5.08
2026-07-30,3m,-2.6743,3.2294
2026-01-01,6m,0.0,0.0
2026-02-01,6m,3.7495,1.3481
2026-03-01,6m,11.7572,-0.1825
2026-04-01,6m,7.2087,-4.7144
2026-05-01,6m,8.4871,6.0896
2026-06-01,6m,0.2966,10.3572
2026-07-01,6m,9.1918,6.7609
2026-07-30,6m,0.8907,5.2144
2025-07-01,1y,0.0,0.0
2025-08-01,1y,7.417,0.5476
2025-09-01,1y,3.0248,4.0174
2025-10-01,1y,5.1805,6.6654
2025-11-01,1y,4.9809,7.1038
2025-12-01,1y,5.9659,5.407
2026-01-01,1y,0.9331,5.0539
2026-02-01,1y,4.669,5.8294
2026-03-01,1y,14.2236,4.2459
2026-04-01,1y,12.0093,-0.9753
2026-05-01,1y,14.0635,9.03
2026-06-01,1y,5.9387,13.8814
2026-07-01,1y,14.8621,10.7928
2026-07-30,1y,6.3595,9.3662
2023-07-01,3y,0.0,0.0
2023-08-01,3y,4.048,2.8681
2023-09-01,3y,-4.7425,0.2551
2023-10-01,3y,-5.8003,-4.8173
2023-11-01,3y,-1.4088,-4.6934
2023-12-01,3y,2.8264,4.515
2024-01-01,3y,1.961,7.8629
2024-02-01,3y,-0.2756,9.8671
2024-03-01,3y,-4.4772,13.88
2024-04-01,3y,-0.0684,15.4883
2024-05-01,3y,2.2617,9.1489
2024-06-01,3y,4.3359,14.1223
2024-07-01,3y,2.4519,18.0669
2024-08-01,3y,15.0527,16.1446
2024-09-01,3y,17.3114,19.3645
2024-10-01,3y,21.6323,20.2587
2024-11-01,3y,14.7551,19.486
2024-12-01,3y,24.6491,24.7607
2025-01-01,3y,15.3549,20.5036
2025-02-01,3y,16.0019,22.6369
2025-03-01,3y,27.2407,19.963
2025-04-01,3y,25.7231,12.752
2025-05-01,3y,18.0473,11.6346
2025-06-01,3y,20.5108,17.2743
2025-07-01,3y,17.9792,22.5214
2025-08-01,3y,26.0789,22.4045
2025-09-01,3y,24.307,26.1393
2025-10-01,3y,27.2718,30.0701
2025-11-01,3y,27.6567,31.6096
2025-12-01,3y,29.1381,30.1997
2026-01-01,3y,23.2522,29.888
2026-02-01,3y,27.2191,30.789
2026-03-01,3y,38.69,28.783
2026-04-01,3y,36.7542,22.0669
2026-05-01,3y,39.6683,33.5645
2026-06-01,3y,30.1333,39.5653
2026-07-01,3y,40.8532,36.1007
2026-07-30,3y,30.7114,34.3988
2021-07-01,5y,0.0,0.0
2021-08-01,5y,4.6279,1.7707
2021-09-01,5y,7.6974,3.9219
2021-10-01,5y,-4.8932,-1.1374
2021-11-01,5y,0.2399,5.0647
2021-12-01,5y,-2.4551,1.8654
2022-01-01,5y,8.7466,7.3871
2022-02-01,5y,4.8145,1.4028
2022-03-01,5y,1.7292,-3.9018
2022-04-01,5y,12.198,1.9782
2022-05-01,5y,3.8637,-7.4261
2022-06-01,5y,11.2113,-7.3018
2022-07-01,5y,4.8242,-12.8046
2022-08-01,5y,6.6327,-4.9814
2022-09-01,5y,8.1731,-8.0116
2022-10-01,5y,-8.1072,-16.2466
2022-11-01,5y,-5.9957,-8.7263
2022-12-01,5y,-0.4522,-2.7616
2023-01-01,5y,-1.0064,-8.2114
2023-02-01,5y,-0.9892,-0.9109
2023-03-01,5y,-9.0704,-4.7433
2023-04-01,5y,-2.9163,0.1496
2023-05-01,5y,1.477,1.6602
2023-06-01,5y,-6.6258,3.1216
2023-07-01,5y,-3.4659,8.6436
2023-08-01,5y,0.6825,11.5108
2023-09-01,5y,-5.9782,9.8275
2023-10-01,5y,-8.2967,4.0445
2023-11-01,5y,-5.1501,2.7584
2023-12-01,5y,-1.1567,11.5038
2024-01-01,5y,-1.4863,15.5266
2024-02-01,5y,-3.3244,18.4085
2024-03-01,5y,-7.3216,23.5347
2024-04-01,5y,-3.3074,26.2754
2024-05-01,5y,-0.9532,20.2336
2024-06-01,5y,1.2933,26.0758
2024-07-01,5y,-0.2203,31.0422
2024-08-01,5y,12.2706,29.6148
2024-09-01,5y,15.2267,33.7405
2024-10-01,5y,20.2532,35.3395
2024-11-01,5y,14.2497,35.0182
2024-12-01,5y,24.6693,41.4481
2025-01-01,5y,16.1086,37.1847
2025-02-01,5y,17.2072,39.9907
2025-03-01,5y,29.0268,37.3201
2025-04-01,5y,28.1597,29.314
2025-05-01,5y,20.8869,28.0629
2025-06-01,5y,23.7811,34.5179
2025-07-01,5y,21.56,40.6512
2025-08-01,5y,30.2314,40.7254
2025-09-01,5y,28.8319,45.2046
2025-10-01,5y,32.2858,49.9689
2025-11-01,5y,33.0834,52.029
2025-12-01,5y,35.0065,50.6793
2026-01-01,5y,29.2078,50.5483
2026-02-01,5y,33.6331,51.7958
2026-03-01,5y,46.0054,49.6597
2026-04-01,5y,44.3937,41.9924
2026-05-01,5y,47.8591,55.4027
2026-06-01,5y,38.1313,62.5725
2026-07-01,5y,49.787,58.7716
2026-07-30,5y,39.338,56.9615
2019-07-01,7y,0.0,0.0
2019-08-01,7y,2.6428,-0.3391
2019-09-01,7y,6.2759,-1.0265
2019-10-01,7y,7.0101,0.0294
2019-11-01,7y,4.2464,4.4077
2019-12-01,7y,3.3181,6.2484
2020-01-01,7y,6.0829,8.3167
2020-02-01,7y,14.8507,7.0741
2020-03-01,7y,-0.7988,-2.4227
2020-04-01,7y,-14.3406,-18.1544
2020-05-01,7y,-7.7655,-3.8951
2020-06-01,7y,-2.7227,4.3011
2020-07-01,7y,-3.884,6.0921
2020-08-01,7y,7.2223,11.0669
2020-09-01,7y,5.9654,19.0584
2020-10-01,7y,3.2912,13.0154
2020-11-01,7y,9.6386,8.6511
2020-12-01,7y,5.2967,21.2936
2021-01-01,7y,1.377,23.2382
2021-02-01,7y,-2.9803,22.7478
2021-03-01,7y,-6.5291,25.9489
2021-04-01,7y,8.2549,29.5241
2021-05-01,7y,12.2667,33.5414
2021-06-01,7y,13.3594,32.8569
2021-07-01,7y,11.3735,35.3151
2021-08-01,7y,16.1636,36.4053
2021-09-01,7y,21.6764,39.1335
2021-10-01,7y,9.379,32.6893
2021-11-01,7y,13.4955,39.4032
2021-12-01,7y,10.0622,35.1664
2022-01-01,7y,21.8334,41.7096
2022-02-01,7y,18.119,33.8724
2022-03-01,7y,14.7618,26.0967
2022-04-01,7y,26.3274,32.388
2022-05-01,7y,17.5121,19.5554
2022-06-01,7y,25.7225,18.3025
2022-07-01,7y,18.8331,10.0863
2022-08-01,7y,20.7993,18.3368
2022-09-01,7y,22.5389,13.6762
2022-10-01,7y,4.1343,2.5898
2022-11-01,7y,5.8425,10.3979
2022-12-01,7y,11.519,16.6908
2023-01-01,7y,10.6013,9.6068
2023-02-01,7y,10.3185,17.5341
2023-03-01,7y,1.0516,12.557
2023-04-01,7y,7.3589,17.7694
2023-05-01,7y,11.9002,19.1649
2023-06-01,7y,2.7997,20.5529
2023-07-01,7y,5.9076,26.72
2023-08-01,7y,10.1773,29.9206
2023-09-01,7y,2.7272,27.8802
2023-10-01,7y,-0.0914,21.0321
2023-11-01,7y,3.0077,19.3044
2023-12-01,7y,7.0869,29.1846
2024-01-01,7y,6.5591,33.7473
2024-02-01,7y,4.4048,37.0509
2024-03-01,7y,-0.0932,42.9907
2024-04-01,7y,3.9883,46.2381
2024-05-01,7y,6.3442,39.3363
2024-06-01,7y,8.6178,46.1119
2024-07-01,7y,6.8925,51.9433
2024-08-01,7y,20.1408,50.4104
2024-09-01,7y,23.3267,55.2944
2024-10-01,7y,28.7576,57.2817
2024-11-01,7y,22.4192,57.0418
2024-12-01,7y,33.6151,64.6441
2025-01-01,7y,24.5535,59.8481
