Date,Period,rate,rate_vs
2026-08-27,5d,0.0,0.0
2026-08-28,5d,-1.3968,-0.2131
2026-08-29,5d,-2.1339,-0.2131
2026-08-30,5d,-4.0421,-0.2131
2026-08-31,5d,-2.7955,-0.5446
2026-09-01,5d,-0.5175,-0.5446
2026-08-01,1m,0.0,0.0
2026-09-01,1m,12.2938,2.5538
2026-06-01,3m,0.0,0.0
2026-07-01,3m,-15.985,-1.8046
2026-08-01,3m,-4.7463,-0.7803
2026-09-01,3m,8.8119,2.0882
2026-03-01,6m,0.0,0.0
2026-04-01,6m,0.95,-4.6618
2026-05-01,6m,3.3911,7.3875
2026-06-01,6m,-6.3989,10.3993
2026-07-01,6m,-19.9581,5.9354
2026-08-01,6m,-12.975,4.9102
2026-09-01,6m,0.2334,6.8398
2025-09-01,1y,0.0,0.0
2025-10-01,1y,5.9573,3.813
2025-11-01,1y,-9.3409,3.9231
2025-12-01,1y,-28.2741,2.3335
2026-01-01,1y,-18.9413,2.275
2026-02-01,1y,-37.8679,3.2753
2026-03-01,1y,-37.6995,1.8894
2026-04-01,1y,-31.6169,-3.0346
2026-05-01,1y,-25.5412,7.072
2026-06-01,1y,-29.236,11.8553
2026-07-01,1y,-38.0379,8.7715
2026-08-01,1y,-32.2444,8.1524
2026-09-01,1y,-20.8275,10.3194
2023-09-01,3y,0.0,0.0
2023-10-01,3y,8.1858,-5.0423
2023-11-01,3y,6.6378,-3.6381
2023-12-01,3y,6.795,5.9443
2024-01-01,3y,9.7517,8.5776
2024-02-01,3y,-2.6249,9.9873
2024-03-01,3y,23.242,13.5497
2024-04-01,3y,40.0478,14.7408
2024-05-01,3y,8.8328,8.149
2024-06-01,3y,12.3347,12.9889
2024-07-01,3y,-1.017,16.7527
2024-08-01,3y,-7.2956,14.7024
2024-09-01,3y,-14.7967,17.7913
2024-10-01,3y,-13.804,18.5762
2024-11-01,3y,-3.5036,17.7346
2024-12-01,3y,65.137,22.8753
2025-01-01,3y,40.8332,18.6086
2025-02-01,3y,57.0512,20.6744
2025-03-01,3y,60.8053,18.0083
2025-04-01,3y,7.1492,10.9021
2025-05-01,3y,12.3945,9.8275
2025-06-01,3y,11.1254,15.4067
2025-07-01,3y,4.177,20.5782
2025-08-01,3y,33.2214,20.4545
2025-09-01,3y,34.1821,24.125
2025-10-01,3y,40.8634,27.9798
2025-11-01,3y,22.6842,29.4743
2025-12-01,3y,-6.7724,28.0678
2026-01-01,3y,-3.8177,27.7486
2026-02-01,3y,-29.4568,28.6257
2026-03-01,3y,-34.8815,26.6448
2026-04-01,3y,-33.0634,20.0382
2026-05-01,3y,-30.0258,31.3577
2026-06-01,3y,-35.1002,37.2517
2026-07-01,3y,-44.5542,33.8298
2026-08-01,3y,-41.2511,33.091
2026-09-01,3y,-32.6778,35.6799
2021-09-01,5y,0.0,0.0
2021-10-01,5y,-8.2918,-3.7214
2021-11-01,5y,13.9248,3.9703
2021-12-01,5y,15.5632,0.4767
2022-01-01,5y,-19.4866,6.1123
2022-02-01,5y,-35.3748,0.0221
2022-03-01,5y,-31.2417,-5.0537
2022-04-01,5y,-18.7665,1.0626
2022-05-01,5y,-33.4616,-8.2021
2022-06-01,5y,-55.5171,-7.8404
2022-07-01,5y,-59.3916,-13.1454
2022-08-01,5y,-46.4241,-5.1239
2022-09-01,5y,-44.5005,-8.0815
2022-10-01,5y,-45.8176,-16.2315
2022-11-01,5y,-40.1411,-8.556
2022-12-01,5y,-12.0748,-2.5216
2023-01-01,5y,-18.9933,-7.9818
2023-02-01,5y,16.4748,-0.6247
2023-03-01,5y,12.441,-4.4793
2023-04-01,5y,6.22,0.4364
2023-05-01,5y,-1.0891,1.9356
2023-06-01,5y,7.2059,3.3805
2023-07-01,5y,21.9507,8.8914
2023-08-01,5y,5.8622,11.7235
2023-09-01,5y,-29.0724,9.9923
2023-10-01,5y,-21.9346,4.1669
2023-11-01,5y,-19.127,2.8636
2023-12-01,5y,-16.5443,11.6059
2024-01-01,5y,-12.2133,15.6002
2024-02-01,5y,-20.3117,18.4458
2024-03-01,5y,1.2718,23.5322
2024-04-01,5y,18.2304,26.2254
2024-05-01,5y,-5.1688,20.1407
2024-06-01,5y,-1.0565,25.9438
2024-07-01,5y,-11.8156,30.8635
2024-08-01,5y,-17.1655,29.3941
2024-09-01,5y,-23.9245,33.4728
2024-10-01,5y,-23.403,35.0264
2024-11-01,5y,-14.5337,34.6651
2024-12-01,5y,46.5495,41.0391
2025-01-01,5y,27.1255,36.747
2025-02-01,5y,43.4776,39.5087
2025-03-01,5y,48.8542,36.8127
2025-04-01,5y,0.4292,28.8078
2025-05-01,5y,5.6904,27.5416
2025-06-01,5y,4.9253,33.9519
2025-07-01,5y,-1.2847,40.0362
2025-08-01,5y,26.4951,40.0839
2025-09-01,5y,28.1851,44.5174
2025-10-01,5y,35.345,49.2317
2025-11-01,5y,18.5869,51.2526
2025-12-01,5y,-9.5422,49.8815
2026-01-01,5y,-6.7263,49.7252
2026-02-01,5y,-31.5895,50.9413
2026-03-01,5y,-37.1833,48.7937
2026-04-01,5y,-35.8418,41.1507
2026-05-01,5y,-33.2898,54.4648
2026-06-01,5y,-38.3859,61.5678
2026-07-01,5y,-47.6281,57.7657
2026-08-01,5y,-44.9164,57.0571
