Date,Period,rate,rate_vs
2026-07-23,5d,0.0,0.0
2026-07-24,5d,-0.3253,0.0781
2026-07-25,5d,-0.3253,0.0781
2026-07-26,5d,-0.3253,0.0781
2026-07-27,5d,-0.2881,0.1032
2026-07-28,5d,-1.673,0.3463
2026-06-01,1m,0.0,0.0
2026-07-01,1m,0.3025,-1.8046
2026-07-28,1m,-0.031,-1.6025
2026-04-01,3m,0.0,0.0
2026-05-01,3m,14.3287,9.8967
2026-06-01,3m,18.8527,10.4064
2026-07-01,3m,12.9885,5.08
2026-07-28,3m,9.5714,3.1037
2026-01-01,6m,0.0,0.0
2026-02-01,6m,4.5538,1.3481
2026-03-01,6m,-6.8836,-0.1825
2026-04-01,6m,-4.8171,-4.7144
2026-05-01,6m,10.2798,6.0896
2026-06-01,6m,20.0615,10.3572
2026-07-01,6m,17.1714,6.7609
2026-07-28,6m,14.5524,5.0864
2025-07-01,1y,0.0,0.0
2025-08-01,1y,-0.7939,0.5476
2025-09-01,1y,7.7051,4.0174
2025-10-01,1y,9.5805,6.6654
2025-11-01,1y,13.3828,7.1038
2025-12-01,1y,14.3769,5.407
2026-01-01,1y,17.9847,5.0539
2026-02-01,1y,20.777,5.8294
2026-03-01,1y,7.6355,4.2459
2026-04-01,1y,6.558,-0.9753
2026-05-01,1y,21.1863,9.03
2026-06-01,1y,32.3194,13.8814
2026-07-01,1y,30.14,10.7928
2026-07-28,1y,27.6449,9.2331
2023-07-01,3y,0.0,0.0
2023-08-01,3y,9.3637,2.8681
2023-09-01,3y,-1.3409,0.2551
2023-10-01,3y,-5.6411,-4.8173
2023-11-01,3y,-15.8267,-4.6934
2023-12-01,3y,-0.449,4.515
2024-01-01,3y,14.8294,7.8629
2024-02-01,3y,5.953,9.8671
2024-03-01,3y,4.7835,13.88
2024-04-01,3y,12.7388,15.4883
2024-05-01,3y,10.0965,9.1489
2024-06-01,3y,16.6819,14.1223
2024-07-01,3y,16.8387,18.0669
2024-08-01,3y,19.6429,16.1446
2024-09-01,3y,20.3811,19.3645
2024-10-01,3y,19.9462,20.2587
2024-11-01,3y,33.8738,19.486
2024-12-01,3y,48.5322,24.7607
2025-01-01,3y,39.304,20.5036
2025-02-01,3y,53.1231,22.6369
2025-03-01,3y,45.6831,19.963
2025-04-01,3y,24.7759,12.752
2025-05-01,3y,25.723,11.6346
2025-06-01,3y,36.626,17.2743
2025-07-01,3y,48.8555,22.5214
2025-08-01,3y,45.8767,22.4045
2025-09-01,3y,55.9083,26.1393
2025-10-01,3y,60.3868,30.0701
2025-11-01,3y,67.4142,31.6096
2025-12-01,3y,70.5903,30.1997
2026-01-01,3y,77.2802,29.888
2026-02-01,3y,82.9262,30.789
2026-03-01,3y,64.259,28.783
2026-04-01,3y,61.9773,22.0669
2026-05-01,3y,83.2822,33.5645
2026-06-01,3y,100.724,39.5653
2026-07-01,3y,98.7206,36.1007
2026-07-28,3y,95.7907,34.2352
2021-07-01,5y,0.0,0.0
2021-08-01,5y,4.9592,1.7707
2021-09-01,5y,11.319,3.9219
2021-10-01,5y,2.0912,-1.1374
2021-11-01,5y,7.3356,5.0647
2021-12-01,5y,-3.0473,1.8654
2022-01-01,5y,0.4104,7.3871
2022-02-01,5y,8.4025,1.4028
2022-03-01,5y,-9.5141,-3.9018
2022-04-01,5y,-9.1365,1.9782
2022-05-01,5y,-14.2459,-7.4261
2022-06-01,5y,-8.1976,-7.3018
2022-07-01,5y,-16.4986,-12.8046
2022-08-01,5y,-6.2749,-4.9814
2022-09-01,5y,-3.5054,-8.0116
2022-10-01,5y,-11.3151,-16.2466
2022-11-01,5y,-2.6553,-8.7263
2022-12-01,5y,8.2992,-2.7616
2023-01-01,5y,-1.4202,-8.2114
2023-02-01,5y,14.8298,-0.9109
2023-03-01,5y,11.7587,-4.7433
2023-04-01,5y,1.4954,0.1496
2023-05-01,5y,4.2587,1.6602
2023-06-01,5y,-2.8687,3.1216
2023-07-01,5y,1.1924,8.6436
2023-08-01,5y,10.7219,11.5108
2023-09-01,5y,4.0077,9.8275
2023-10-01,5y,-1.0859,4.0445
2023-11-01,5y,-13.0089,2.7584
2023-12-01,5y,-0.3152,11.5038
2024-01-01,5y,14.9249,15.5266
2024-02-01,5y,7.5922,18.4085
2024-03-01,5y,6.9304,23.5347
2024-04-01,5y,15.4172,26.2754
2024-05-01,5y,13.5596,20.2336
2024-06-01,5y,20.9568,26.0758
2024-07-01,5y,21.9959,31.0422
2024-08-01,5y,25.7143,29.6148
2024-09-01,5y,27.3069,33.7405
2024-10-01,5y,27.594,35.3395
2024-11-01,5y,43.132,35.0182
2024-12-01,5y,60.0229,41.4481
2025-01-01,5y,51.4939,37.1847
2025-02-01,5y,67.7,39.9907
2025-03-01,5y,60.8817,37.3201
2025-04-01,5y,38.7084,29.314
2025-05-01,5y,40.1816,28.0629
2025-06-01,5y,52.7713,34.5179
2025-07-01,5y,67.1176,40.6512
2025-08-01,5y,64.5944,40.7254
2025-09-01,5y,76.6718,45.2046
2025-10-01,5y,82.6281,49.9689
2025-11-01,5y,91.5493,52.029
2025-12-01,5y,96.1489,50.6793
2026-01-01,5y,104.818,50.5483
2026-02-01,5y,112.3627,51.7958
2026-03-01,5y,91.6059,49.6597
2026-04-01,5y,89.609,41.9924
2026-05-01,5y,115.2243,55.4027
2026-06-01,5y,136.641,62.5725
2026-07-01,5y,135.3061,58.7716
2026-07-28,5y,132.7782,56.7705
2019-07-01,7y,0.0,0.0
2019-08-01,7y,-1.6228,-0.3391
2019-09-01,7y,-4.1872,-1.0265
2019-10-01,7y,-3.0824,0.0294
2019-11-01,7y,12.5322,4.4077
2019-12-01,7y,15.0022,6.2484
2020-01-01,7y,16.2135,8.3167
2020-02-01,7y,17.2023,7.0741
2020-03-01,7y,-0.8764,-2.4227
2020-04-01,7y,-30.3349,-18.1544
2020-05-01,7y,-10.9209,-3.8951
2020-06-01,7y,4.8379,4.3011
2020-07-01,7y,11.2247,6.0921
2020-08-01,7y,14.1085,11.0669
2020-09-01,7y,21.6535,19.0584
2020-10-01,7y,8.0412,13.0154
2020-11-01,7y,10.3538,8.6511
2020-12-01,7y,44.2207,21.2936
2021-01-01,7y,53.5194,23.2382
2021-02-01,7y,49.5758,22.7478
2021-03-01,7y,72.0667,25.9489
2021-04-01,7y,66.6277,29.5241
2021-05-01,7y,73.3827,33.5414
2021-06-01,7y,89.8962,32.8569
2021-07-01,7y,85.9645,35.3151
2021-08-01,7y,91.7651,36.4053
2021-09-01,7y,104.5668,39.1335
2021-10-01,7y,90.5701,32.6893
2021-11-01,7y,98.0177,39.4032
2021-12-01,7y,78.2764,35.1664
2022-01-01,7y,81.0116,41.7096
2022-02-01,7y,92.7343,33.8724
2022-03-01,7y,60.0265,26.0967
2022-04-01,7y,57.0491,32.388
2022-05-01,7y,45.1878,19.5554
2022-06-01,7y,51.7666,18.3025
2022-07-01,7y,35.7354,10.0863
2022-08-01,7y,49.0162,18.3368
2022-09-01,7y,51.3763,13.6762
2022-10-01,7y,37.588,2.5898
2022-11-01,7y,48.8127,10.3979
2022-12-01,7y,63.9783,16.6908
2023-01-01,7y,48.5132,9.6068
2023-02-01,7y,71.5564,17.5341
2023-03-01,7y,66.4653,12.557
2023-04-01,7y,50.5955,17.7694
2023-05-01,7y,53.6734,19.1649
2023-06-01,7y,42.3606,20.5529
2023-07-01,7y,47.2164,26.72
2023-08-01,7y,60.1052,29.9206
2023-09-01,7y,49.8285,27.8802
2023-10-01,7y,41.7672,21.0321
2023-11-01,7y,23.9265,19.3044
2023-12-01,7y,40.7699,29.1846
2024-01-01,7y,61.4071,33.7473
2024-02-01,7y,50.6972,37.0509
2024-03-01,7y,49.2021,42.9907
2024-04-01,7y,60.4299,46.2381
2024-05-01,7y,57.4436,39.3363
2024-06-01,7y,67.2352,46.1119
2024-07-01,7y,68.3541,51.9433
2024-08-01,7y,73.1768,50.4104
2024-09-01,7y,75.1202,55.2944
2024-10-01,7y,75.2859,57.2817
2024-11-01,7y,96.3759,57.0418
2024-12-01,7y,119.5079,64.6441
2025-01-01,7y,107.953,59.8481
2025-02-01,7y,130.2371,63.2363
2025-03-01,7y,121.0686,60.2517
2025-04-01,7y,90.6923,50.9993
2025-05-01,7y,92.5781,49.555
2025-06-01,7y,109.7333,57.0937
2025-07-01,7y,129.4141,64.3067
2025-08-01,7y,126.0585,64.4832
2025-09-01,7y,142.7241,69.8033
2025-10-01,7y,151.078,75.4856
2025-11-01,7y,163.5525,78.0311
2025-12-01,7y,170.1434,76.5873
2026-01-01,7y,182.3696,76.5533
2026-02-01,7y,193.1061,78.1275
2026-03-01,7y,164.7821,75.7296
2026-04-01,7y,162.2101,66.8116
2026-05-01,7y,197.8159,82.6062
2026-06-01,7y,227.8066,91.1456
2026-07-01,7y,226.4029,86.8161
2026-07-28,7y,223.3103,84.5738
2016-01-04,max,0.0,0.0
2016-02-01,max,-17.9347,-3.7423
2016-03-01,max,-7.6728,0.3764
2016-04-01,max,-7.1844,5.1946
2016-05-01,max,0.811,3.5695
2016-06-01,max,2.2274,4.8356
2016-07-01,max,-3.9767,4.3651
2016-08-01,max,6.9353,7.2005
2016-09-01,max,18.7447,6.5176
2016-10-01,max,17.1992,5.8316
2016-11-01,max,20.8718,2.6321
2016-12-01,max,50.3462,6.5262
2017-01-01,max,46.4543,8.6002
2017-02-01,max,46.4239,9.8701
2017-03-01,max,56.8726,14.9815
2017-04-01,max,40.092,12.5254
2017-05-01,max,41.1127,13.1716
2017-06-01,max,35.1049,14.581
2017-07-01,max,39.2425,14.626
2017-08-01,max,46.0991,16.4591
2017-09-01,max,40.6817,15.9061
2017-10-01,max,44.687,17.2911
2017-11-01,max,47.7153,19.4181
2017-12-01,max,52.4435,21.7575
2018-01-01,max,51.7582,22.6249
2018-02-01,max,64.6038,28.3844
2018-03-01,max,53.7619,21.0506
2018-04-01,max,50.2908,18.8566
2018-05-01,max,44.6385,18.843
2018-06-01,max,41.4367,22.0592
2018-07-01,max,29.6323,20.962
2018-08-01,max,37.0343,24.4135
2018-09-01,max,32.2176,27.7869
2018-10-01,max,25.3255,28.1445
2018-11-01,max,23.4021,19.3954
2018-12-01,max,18.7182,19.8359
2019-01-01,max,5.5745,8.7501
2019-02-01,max,11.9883,17.203
2019-03-01,max,13.4852,21.2677
2019-04-01,max,15.8788,23.6016
2019-05-01,max,26.9928,25.5902
2019-06-01,max,8.06,17.8911
2019-07-01,max,16.5077,26.7327
2019-08-01,max,14.3513,25.8061
2019-09-01,max,10.1973,24.2046
2019-10-01,max,9.6769,24.595
2019-11-01,max,26.1301,29.5299
2019-12-01,max,31.2752,32.3145
2020-01-01,max,34.951,35.5516
2020-02-01,max,38.1483,34.7733
2020-03-01,max,18.376,23.2161
2020-04-01,max,-17.1309,2.6957
2020-05-01,max,1.9566,17.923
2020-06-01,max,18.6376,27.1545
2020-07-01,max,25.9914,29.2791
2020-08-01,max,29.788,35.3897
2020-09-01,max,39.0372,45.4969
2020-10-01,max,24.3524,38.8421
2020-11-01,max,27.1825,33.8054
2020-12-01,max,66.5377,49.4413
2021-01-01,max,79.1517,52.4925
2021-02-01,max,76.5289,52.5474
2021-03-01,max,105.0557,57.1165
2021-04-01,max,100.9714,62.2404
2021-05-01,max,111.3221,68.0147
2021-06-01,max,133.8813,67.9506
2021-07-01,max,131.6247,71.7835
2021-08-01,max,141.2889,73.9065
2021-09-01,max,159.9685,78.108
