Date,Period,rate,rate_vs
2026-07-31,5d,0.0,0.0
2026-08-01,5d,0.0,0.0
2026-08-02,5d,0.0,0.0
2026-08-03,5d,1.5508,1.4243
2026-08-04,5d,6.5102,3.252
2026-08-05,5d,6.7822,3.051
2026-07-01,1m,0.0,0.0
2026-08-01,1m,17.3559,0.0735
2026-08-05,1m,15.9954,3.0375
2026-05-01,3m,0.0,0.0
2026-06-01,3m,11.1479,5.1456
2026-07-01,3m,-8.1002,0.7734
2026-08-01,3m,11.0904,0.6567
2026-08-05,3m,15.6375,3.5329
2026-02-01,6m,0.0,0.0
2026-03-01,6m,-0.5721,-0.9007
2026-04-01,6m,-2.1165,-5.0439
2026-05-01,6m,28.2381,6.2709
2026-06-01,6m,34.7944,10.1746
2026-07-01,6m,11.3132,6.2747
2026-08-01,6m,28.5287,5.3949
2026-08-05,6m,32.8787,7.8016
2025-08-01,1y,0.0,0.0
2025-09-01,1y,7.1475,3.6814
2025-10-01,1y,-5.3787,5.7777
2025-11-01,1y,6.8167,5.9249
2025-12-01,1y,12.5463,4.1656
2026-01-01,1y,12.4337,3.8709
2026-02-01,1y,20.2278,4.7048
2026-03-01,1y,16.7693,3.1846
2026-04-01,1y,12.6122,-1.9191
2026-05-01,1y,44.6903,8.1178
2026-06-01,1y,55.9978,12.9299
2026-07-01,1y,31.4155,9.8385
2026-08-01,1y,51.2929,9.1996
2026-08-05,1y,57.3325,11.7941
2023-08-01,3y,0.0,0.0
2023-09-01,3y,-0.3424,-1.2123
2023-10-01,3y,-9.3098,-5.571
2023-11-01,3y,-11.2534,-4.8015
2023-12-01,3y,5.4022,4.6764
2024-01-01,3y,6.8541,7.8372
2024-02-01,3y,12.7274,9.6499
2024-03-01,3y,13.9299,13.4982
2024-04-01,3y,17.9644,14.9452
2024-05-01,3y,-2.2077,8.5205
2024-06-01,3y,-1.8923,13.4378
2024-07-01,3y,-7.6832,17.3037
2024-08-01,3y,-7.7744,15.3322
2024-09-01,3y,-9.4899,18.4934
2024-10-01,3y,-7.3666,19.3404
2024-11-01,3y,-12.4624,18.5401
2024-12-01,3y,-4.8432,23.7499
2025-01-01,3y,-27.3172,19.495
2025-02-01,3y,-18.3552,21.5969
2025-03-01,3y,-11.58,18.9311
2025-04-01,3y,-22.1796,11.7779
2025-05-01,3y,-21.0889,10.6837
2025-06-01,3y,-27.046,16.2919
2025-07-01,3y,-8.7258,21.5005
2025-08-01,3y,-5.2511,21.3818
2025-09-01,3y,1.8436,25.0844
2025-10-01,3y,-6.9827,28.9772
2025-11-01,3y,3.3713,30.4951
2025-12-01,3y,10.5754,29.0887
2026-01-01,3y,12.6282,28.7745
2026-02-01,3y,22.2534,29.6643
2026-03-01,3y,20.9579,27.6724
2026-04-01,3y,18.1506,21.014
2026-05-01,3y,53.015,32.4196
2026-06-01,3y,68.5049,38.366
2026-07-01,3y,45.0421,34.9246
2026-08-01,3y,68.9127,34.1843
2026-08-05,3y,78.377,37.3234
2021-08-01,5y,0.0,0.0
2021-09-01,5y,11.6553,2.9579
2021-10-01,5y,-10.7859,-2.2479
2021-11-01,5y,3.7684,4.3717
2021-12-01,5y,-1.4625,1.1036
2022-01-01,5y,8.2106,6.6732
2022-02-01,5y,0.5644,0.6654
2022-03-01,5y,22.4782,-4.5274
2022-04-01,5y,36.7914,1.4557
2022-05-01,5y,37.5992,-7.8696
2022-06-01,5y,13.0174,-7.6324
2022-07-01,5y,-9.1952,-13.0345
2022-08-01,5y,16.8885,-5.1208
2022-09-01,5y,11.7592,-8.1098
2022-10-01,5y,-8.574,-16.295
2022-11-01,5y,15.6438,-8.7025
2022-12-01,5y,27.234,-2.7044
2023-01-01,5y,11.3759,-8.1524
2023-02-01,5y,47.0064,-0.8256
2023-03-01,5y,41.0251,-4.6636
2023-04-01,5y,26.1414,0.2406
2023-05-01,5y,19.6684,1.7477
2023-06-01,5y,6.7493,3.2028
2023-07-01,5y,31.626,8.7194
2023-08-01,5y,37.4712,11.5706
2023-09-01,5y,35.6383,9.8666
2023-10-01,5y,22.0339,4.0668
2023-11-01,5y,14.7325,2.7742
2023-12-01,5y,31.5041,11.5166
2024-01-01,5y,33.6056,15.5255
2024-02-01,5y,41.2965,18.3901
2024-03-01,5y,43.7916,23.4965
2024-04-01,5y,49.7688,26.2144
2024-05-01,5y,25.0327,20.1543
2024-06-01,5y,24.4262,25.9768
2024-07-01,5y,16.2293,30.9199
2024-08-01,5y,14.875,29.4731
2024-09-01,5y,11.6265,33.5755
2024-10-01,5y,13.0912,35.1526
2024-11-01,5y,5.996,34.8125
2024-12-01,5y,14.0495,41.2141
2025-01-01,5y,-13.4041,36.9382
2025-02-01,5y,-4.3605,39.7224
2025-03-01,5y,2.4775,37.0404
2025-04-01,5y,-10.4402,29.0371
2025-05-01,5y,-10.1658,27.7793
2025-06-01,5y,-17.7397,34.2113
2025-07-01,5y,1.753,40.3197
2025-08-01,5y,5.1724,40.3812
2025-09-01,5y,12.6869,44.8374
2025-10-01,5y,2.7627,49.5765
2025-11-01,5y,13.8272,51.6172
2025-12-01,5y,21.6193,50.2576
2026-01-01,5y,23.8721,50.1145
2026-02-01,5y,34.4829,51.3465
2026-03-01,5y,33.2215,49.2054
2026-04-01,5y,30.257,41.5517
2026-05-01,5y,68.7941,54.9124
2026-06-01,5y,86.4772,62.0482
2026-07-01,5y,61.1231,58.2476
2026-08-01,5y,88.0779,57.5482
2026-08-05,5y,99.2902,61.3812
2019-08-01,7y,0.0,0.0
2019-09-01,7y,-7.7816,-0.9078
2019-10-01,7y,-0.3518,0.2448
2019-11-01,7y,9.505,4.5464
2019-12-01,7y,9.0582,6.1238
2020-01-01,7y,7.8411,7.9962
2020-02-01,7y,-10.1192,6.6068
2020-03-01,7y,-20.4937,-2.9086
2020-04-01,7y,-27.9598,-18.4831
2020-05-01,7y,-14.1912,-4.0003
2020-06-01,7y,-9.6763,4.2361
2020-07-01,7y,-12.4075,5.9977
2020-08-01,7y,-7.9371,10.9342
2020-09-01,7y,3.0257,18.8599
2020-10-01,7y,0.1861,12.751
2020-11-01,7y,6.1918,8.3592
2020-12-01,7y,21.6816,20.9505
2021-01-01,7y,17.4742,22.8352
2021-02-01,7y,7.3638,22.2962
2021-03-01,7y,34.2484,25.4435
2021-04-01,7y,72.9559,28.9611
2021-05-01,7y,74.5258,32.9159
2021-06-01,7y,130.3835,32.1895
2021-07-01,7y,96.9411,34.5966
2021-08-01,7y,107.6062,35.6437
2021-09-01,7y,127.22,38.3221
2021-10-01,7y,87.5098,31.8836
2021-11-01,7y,106.0967,38.5348
2021-12-01,7y,93.9132,34.2988
2022-01-01,7y,108.8114,40.7808
2022-02-01,7y,93.1552,32.9732
2022-03-01,7y,131.8002,25.238
2022-04-01,7y,160.2832,31.4828
2022-05-01,7y,164.8685,18.7307
2022-06-01,7y,119.581,17.4903
2022-07-01,7y,75.5289,9.3352
2022-08-01,7y,121.3973,17.5417
2022-09-01,7y,110.9003,12.9173
2022-10-01,7y,71.4393,1.9125
2022-11-01,7y,113.214,9.6854
2022-12-01,7y,133.4527,15.948
2023-01-01,7y,104.0834,8.9146
