Date,Period,rate,rate_vs
2026-08-07,5d,0.0,0.0
2026-08-08,5d,0.0,0.0
2026-08-09,5d,0.0,0.0
2026-08-10,5d,4.536,-0.0169
2026-08-11,5d,5.9014,-0.3222
2026-08-12,5d,7.0007,-0.076
2026-07-01,1m,0.0,0.0
2026-08-01,1m,5.8198,0.0735
2026-08-12,1m,4.7402,3.4117
2026-05-01,3m,0.0,0.0
2026-06-01,3m,-6.0811,5.1456
2026-07-01,3m,-2.2007,0.7734
2026-08-01,3m,4.3362,0.6567
2026-08-12,3m,5.1142,3.9089
2026-02-01,6m,0.0,0.0
2026-03-01,6m,5.7662,-0.9007
2026-04-01,6m,8.535,-5.0439
2026-05-01,6m,9.285,6.2709
2026-06-01,6m,0.5362,10.1746
2026-07-01,6m,1.3309,6.2747
2026-08-01,6m,7.0828,5.3949
2026-08-12,6m,7.9954,8.1932
2025-08-01,1y,0.0,0.0
2025-09-01,1y,-0.7955,3.6814
2025-10-01,1y,-4.8804,5.7777
2025-11-01,1y,-11.2116,5.9249
2025-12-01,1y,2.1033,4.1656
2026-01-01,1y,1.4132,3.8709
2026-02-01,1y,8.9924,4.7048
2026-03-01,1y,14.0172,3.1846
2026-04-01,1y,18.4761,-1.9191
2026-05-01,1y,20.4098,8.1178
2026-06-01,1y,11.2725,12.9299
2026-07-01,1y,11.2508,9.8385
2026-08-01,1y,16.8412,9.1996
2026-08-12,1y,17.65,12.2002
2023-08-01,3y,0.0,0.0
2023-09-01,3y,-1.6749,-1.2123
2023-10-01,3y,-4.0929,-5.571
2023-11-01,3y,0.4038,-4.8015
2023-12-01,3y,8.5581,4.6764
2024-01-01,3y,7.3616,7.8372
2024-02-01,3y,4.9846,9.6499
2024-03-01,3y,14.3812,13.4982
2024-04-01,3y,19.4335,14.9452
2024-05-01,3y,14.6151,8.5205
2024-06-01,3y,19.1436,13.4378
2024-07-01,3y,18.4377,17.3037
2024-08-01,3y,18.7953,15.3322
2024-09-01,3y,32.0689,18.4934
2024-10-01,3y,29.6587,19.3404
2024-11-01,3y,30.5388,18.5401
2024-12-01,3y,59.2352,23.7499
2025-01-01,3y,37.6455,19.495
2025-02-01,3y,31.1878,21.5969
2025-03-01,3y,35.2069,18.9311
2025-04-01,3y,32.2572,11.7779
2025-05-01,3y,6.3204,10.6837
2025-06-01,3y,7.2601,16.2919
2025-07-01,3y,7.1372,21.5005
2025-08-01,3y,5.5561,21.3818
2025-09-01,3y,4.5952,25.0844
2025-10-01,3y,-0.2358,28.9772
2025-11-01,3y,-8.4059,30.4951
2025-12-01,3y,2.465,29.0887
2026-01-01,3y,2.1251,28.7745
2026-02-01,3y,9.9512,29.6643
2026-03-01,3y,16.0642,27.6724
2026-04-01,3y,21.9659,21.014
2026-05-01,3y,25.4627,32.4196
2026-06-01,3y,17.2442,38.366
2026-07-01,3y,17.8206,34.9246
2026-08-01,3y,24.2749,34.1843
2026-08-12,3y,25.8758,37.8222
2021-08-01,5y,0.0,0.0
2021-09-01,5y,0.1116,2.9579
2021-10-01,5y,14.158,-2.2479
2021-11-01,5y,23.1983,4.3717
2021-12-01,5y,7.3237,1.1036
2022-01-01,5y,6.0375,6.6732
2022-02-01,5y,15.5858,0.6654
2022-03-01,5y,16.9129,-4.5274
2022-04-01,5y,28.4736,1.4557
2022-05-01,5y,16.0106,-7.8696
2022-06-01,5y,20.7534,-7.6324
2022-07-01,5y,0.9001,-13.0345
2022-08-01,5y,10.0102,-5.1208
2022-09-01,5y,9.9669,-8.1098
2022-10-01,5y,-5.9499,-16.295
2022-11-01,5y,12.4194,-8.7025
2022-12-01,5y,24.9067,-2.7044
2023-01-01,5y,20.6805,-8.1524
2023-02-01,5y,29.3591,-0.8256
2023-03-01,5y,23.9082,-4.6636
2023-04-01,5y,17.8484,0.2406
2023-05-01,5y,25.6753,1.7477
2023-06-01,5y,8.3533,3.2028
2023-07-01,5y,17.1126,8.7194
2023-08-01,5y,27.3994,11.5706
2023-09-01,5y,24.3066,9.8666
2023-10-01,5y,19.3779,4.0668
2023-11-01,5y,22.5195,2.7742
2023-12-01,5y,31.7612,11.5166
2024-01-01,5y,31.3171,15.5255
2024-02-01,5y,28.8785,18.3901
2024-03-01,5y,40.3662,23.4965
2024-04-01,5y,47.5814,26.2144
2024-05-01,5y,42.8365,20.1543
2024-06-01,5y,49.0812,25.9768
2024-07-01,5y,48.9887,30.9199
2024-08-01,5y,50.0277,29.4731
2024-09-01,5y,67.3321,33.5755
2024-10-01,5y,65.4141,35.1526
