Date,Period,rate,rate_vs
2026-07-30,5d,0.0,0.0
2026-07-31,5d,-1.1219,0.7128
2026-08-01,5d,-1.1219,0.7128
2026-08-02,5d,-1.1219,0.7128
2026-08-03,5d,-1.1992,2.1473
2026-08-04,5d,-1.6506,3.988
2026-07-01,1m,0.0,0.0
2026-08-01,1m,-4.5678,0.0735
2026-08-04,1m,-2.8561,3.2384
2026-05-01,3m,0.0,0.0
2026-06-01,3m,-4.4374,5.1456
2026-07-01,3m,2.3203,0.7734
2026-08-01,3m,-3.0266,0.6567
2026-08-04,3m,-2.8173,3.7348
2026-02-01,6m,0.0,0.0
2026-03-01,6m,4.4002,-0.9007
2026-04-01,6m,-3.5941,-5.0439
2026-05-01,6m,-3.7266,6.2709
2026-06-01,6m,-7.0394,10.1746
2026-07-01,6m,-1.2214,6.2747
2026-08-01,6m,-5.4606,5.3949
2026-08-04,6m,-5.2044,8.0119
2025-08-01,1y,0.0,0.0
2025-09-01,1y,-7.5556,3.6814
2025-10-01,1y,-2.8349,5.7777
2025-11-01,1y,-4.288,5.9249
2025-12-01,1y,-2.0279,4.1656
2026-01-01,1y,-2.414,3.8709
2026-02-01,1y,0.4844,4.7048
2026-03-01,1y,4.9236,3.1846
2026-04-01,1y,-1.5692,-1.9191
2026-05-01,1y,-2.7168,8.1178
2026-06-01,1y,-6.6904,12.9299
2026-07-01,1y,-1.6818,9.8385
2026-08-01,1y,-5.9531,9.1996
2026-08-04,1y,-6.0081,12.0122
2023-08-01,3y,0.0,0.0
2023-09-01,3y,-4.3678,-1.2123
2023-10-01,3y,-7.1141,-5.571
2023-11-01,3y,4.3759,-4.8015
2023-12-01,3y,4.9785,4.6764
2024-01-01,3y,1.176,7.8372
2024-02-01,3y,-2.5377,9.6499
2024-03-01,3y,3.1294,13.4982
2024-04-01,3y,10.9782,14.9452
2024-05-01,3y,14.9669,8.5205
2024-06-01,3y,23.1306,13.4378
2024-07-01,3y,20.4916,17.3037
2024-08-01,3y,28.6452,15.3322
2024-09-01,3y,28.0194,18.4934
2024-10-01,3y,42.5211,19.3404
2024-11-01,3y,34.4137,18.5401
2024-12-01,3y,42.845,23.7499
2025-01-01,3y,26.6143,19.495
2025-02-01,3y,23.7224,21.5969
2025-03-01,3y,18.9649,18.9311
2025-04-01,3y,21.9963,11.7779
2025-05-01,3y,14.2613,10.6837
2025-06-01,3y,17.0315,16.2919
2025-07-01,3y,19.8313,21.5005
2025-08-01,3y,27.7595,21.3818
2025-09-01,3y,17.1934,25.0844
2025-10-01,3y,17.7313,28.9772
2025-11-01,3y,14.2479,30.4951
2025-12-01,3y,15.1614,29.0887
2026-01-01,3y,13.7357,28.7745
2026-02-01,3y,16.1796,29.6643
2026-03-01,3y,20.8642,27.6724
2026-04-01,3y,13.4493,21.014
2026-05-01,3y,11.5358,32.4196
2026-06-01,3y,6.3657,38.366
2026-07-01,3y,11.1667,34.9246
2026-08-01,3y,5.8959,34.1843
2026-08-04,3y,5.1685,37.5912
2021-08-01,5y,0.0,0.0
2021-09-01,5y,3.8974,2.9579
2021-10-01,5y,-4.0055,-2.2479
2021-11-01,5y,3.572,4.3717
2021-12-01,5y,-0.4084,1.1036
2022-01-01,5y,7.314,6.6732
2022-02-01,5y,5.3306,0.6654
2022-03-01,5y,1.7145,-4.5274
2022-04-01,5y,12.7291,1.4557
2022-05-01,5y,9.1101,-7.8696
2022-06-01,5y,5.7662,-7.6324
2022-07-01,5y,0.7671,-13.0345
2022-08-01,5y,2.2667,-5.1208
2022-09-01,5y,0.7635,-8.1098
2022-10-01,5y,-11.8179,-16.295
2022-11-01,5y,-10.8793,-8.7025
2022-12-01,5y,-3.7177,-2.7044
2023-01-01,5y,-1.2523,-8.1524
2023-02-01,5y,-0.3182,-0.8256
2023-03-01,5y,-5.5809,-4.6636
2023-04-01,5y,1.9399,0.2406
2023-05-01,5y,2.9672,1.7477
2023-06-01,5y,-2.4488,3.2028
2023-07-01,5y,3.0006,8.7194
2023-08-01,5y,3.8399,11.5706
2023-09-01,5y,-0.7471,9.8666
2023-10-01,5y,-5.6779,4.0668
2023-11-01,5y,3.6135,2.7742
2023-12-01,5y,5.2061,11.5166
2024-01-01,5y,2.2079,15.5255
2024-02-01,5y,-1.4107,18.3901
2024-03-01,5y,3.9951,23.4965
2024-04-01,5y,12.2112,26.2144
2024-05-01,5y,17.1572,20.1543
2024-06-01,5y,26.5918,25.9768
2024-07-01,5y,25.2811,30.9199
2024-08-01,5y,34.9275,29.4731
2024-09-01,5y,35.6608,33.5755
2024-10-01,5y,52.371,35.1526
2024-11-01,5y,45.3318,34.8125
2024-12-01,5y,55.7403,41.2141
2025-01-01,5y,39.3007,36.9382
2025-02-01,5y,36.8059,39.7224
2025-03-01,5y,32.0583,37.0404
2025-04-01,5y,35.7616,29.0371
2025-05-01,5y,27.5072,27.7793
2025-06-01,5y,30.7307,34.2113
2025-07-01,5y,34.0397,40.3197
2025-08-01,5y,43.1416,40.3812
2025-09-01,5y,31.6421,44.8374
2025-10-01,5y,32.3598,49.5765
2025-11-01,5y,28.547,51.6172
2025-12-01,5y,29.6008,50.2576
2026-01-01,5y,28.0279,50.1145
2026-02-01,5y,30.7771,51.3465
2026-03-01,5y,36.0814,49.2054
2026-04-01,5y,27.8193,41.5517
