Date,Period,rate,rate_vs
2026-01-01,1m,0.0,0.0
2026-02-01,1m,6.5709,1.3481
2026-02-27,1m,13.2298,-0.1825
2025-11-01,3m,0.0,0.0
2025-12-01,3m,5.9923,-0.3421
2026-01-01,3m,-4.8731,0.3183
2026-02-01,3m,3.1761,1.6308
2026-02-27,3m,12.2663,0.3869
2025-08-01,6m,0.0,0.0
2025-09-01,6m,12.9663,3.6814
2025-10-01,6m,8.5615,5.7777
2025-11-01,6m,-5.7782,5.9249
2025-12-01,6m,1.4738,4.1656
2026-01-01,6m,-6.5245,3.8709
2026-02-01,6m,0.8594,4.7048
2026-02-27,6m,10.4733,3.1846
2025-02-01,1y,0.0,0.0
2025-03-01,1y,-9.319,-1.3637
2025-04-01,1y,-4.7279,-5.9499
2025-05-01,1y,-4.2659,-4.4561
2025-06-01,1y,-6.8906,1.9809
2025-07-01,1y,6.1567,6.768
2025-08-01,1y,11.6248,6.3077
2025-09-01,1y,24.3304,9.3815
2025-10-01,1y,23.7018,12.4342
2025-11-01,1y,7.9374,13.2943
2025-12-01,1y,13.667,11.6835
2026-01-01,1y,3.8769,11.2102
2026-02-01,1y,10.4595,11.8657
2026-02-27,1y,20.2622,10.0559
2024-02-01,2y,0.0,0.0
2024-03-01,2y,4.0934,4.7367
2024-04-01,2y,8.802,5.1983
2024-05-01,2y,-0.0724,-0.9076
2024-06-01,2y,4.8354,4.6246
2024-07-01,2y,-5.6141,8.389
2024-08-01,2y,15.984,6.4931
2024-09-01,2y,15.7704,9.5721
2024-10-01,2y,25.161,10.3747
2024-11-01,2y,8.6219,9.6696
2024-12-01,2y,13.5325,14.5959
2025-01-01,2y,-9.415,10.6198
2025-02-01,2y,-4.5448,12.6831
2025-03-01,2y,-13.0434,10.2867
2025-04-01,2y,-12.1359,3.7865
2025-05-01,2y,-12.3232,3.0354
2025-06-01,2y,-14.9098,8.5308
2025-07-01,2y,-3.4019,13.5572
2025-08-01,2y,2.7763,13.5293
2025-09-01,2y,16.0474,17.082
2025-10-01,2y,17.5445,20.7752
2025-11-01,2y,4.0562,22.2112
2025-12-01,2y,10.2014,20.9033
2026-01-01,2y,1.4172,20.6387
2026-02-01,2y,8.1216,21.5103
2026-02-27,2y,18.2282,19.6788
2023-02-01,3y,0.0,0.0
2023-03-01,3y,-7.3138,-4.003
2023-04-01,3y,4.3561,2.7412
2023-05-01,3y,16.1085,3.3417
2023-06-01,3y,14.6457,4.0328
2023-07-01,3y,29.9863,8.8745
2023-08-01,3y,36.136,10.5685
2023-09-01,3y,27.8797,7.8302
2023-10-01,3y,12.1894,1.5533
2023-11-01,3y,15.5825,0.2593
2023-12-01,3y,34.3723,8.8574
2024-01-01,3y,49.1176,12.3307
2024-02-01,3y,49.9472,14.5711
2024-03-01,3y,52.2298,18.9348
2024-04-01,3y,58.3995,20.8845
2024-05-01,3y,45.8761,14.4718
2024-06-01,3y,50.0364,19.6572
2024-07-01,3y,33.6848,23.8772
2024-08-01,3y,60.4073,21.9939
2024-09-01,3y,60.1049,25.434
2024-10-01,3y,72.7982,26.4622
2024-11-01,3y,50.3226,25.7231
2024-12-01,3y,55.9753,31.3137
2025-01-01,3y,23.8559,26.9188
2025-02-01,3y,28.363,29.1825
2025-03-01,3y,15.4837,26.3918
2025-04-01,3y,14.8621,18.7826
2025-05-01,3y,13.032,17.522
2025-06-01,3y,8.2987,23.3618
2025-07-01,3y,21.3738,28.8313
2025-08-01,3y,28.1317,28.6953
2025-09-01,3y,43.8605,32.6025
2025-10-01,3y,45.3361,36.7343
2025-11-01,3y,28.3574,38.3695
2025-12-01,3y,35.2969,36.9054
2026-01-01,3y,24.0859,36.5824
2026-02-01,3y,31.6547,37.528
2026-02-27,3y,43.4589,35.4167
2021-02-01,5y,0.0,0.0
2021-03-01,5y,1.4621,3.4683
2021-04-01,5y,18.7271,5.6108
2021-05-01,5y,24.3103,8.0473
2021-06-01,5y,16.2883,6.6351
2021-07-01,5y,8.7358,8.3562
2021-08-01,5y,5.4375,8.9491
2021-09-01,5y,4.3031,10.9516
2021-10-01,5y,-11.6897,5.5981
2021-11-01,5y,-5.4498,11.2581
2021-12-01,5y,-2.1998,7.829
2022-01-01,5y,12.1604,13.2783
2022-02-01,5y,3.4194,6.9785
2022-03-01,5y,-4.7829,1.0534
2022-04-01,5y,-17.2534,6.6803
2022-05-01,5y,-17.3179,-3.3712
2022-06-01,5y,-9.9038,-3.7293
2022-07-01,5y,-14.4743,-9.8271
2022-08-01,5y,-9.689,-2.2436
2022-09-01,5y,-16.6067,-5.5982
2022-10-01,5y,-21.8237,-14.2904
2022-11-01,5y,-15.9312,-6.9789
2022-12-01,5y,-3.8142,-1.1167
2023-01-01,5y,-2.5004,-6.7587
2023-02-01,5y,25.2735,0.4895
2023-03-01,5y,15.2858,-3.4593
2023-04-01,5y,24.2977,1.4
2023-05-01,5y,39.2724,2.8848
2023-06-01,5y,41.052,4.3341
2023-07-01,5y,62.4971,9.9031
