Date,Period,rate,rate_vs
2026-07-24,5d,0.0,0.0
2026-07-25,5d,0.0,0.0
2026-07-26,5d,0.0,0.0
2026-07-27,5d,2.5892,0.025
2026-07-28,5d,-0.2443,0.268
2026-07-29,5d,-4.8852,-1.2531
2026-06-01,1m,0.0,0.0
2026-07-01,1m,-32.0309,-1.8046
2026-07-29,1m,-48.301,-3.0952
2026-04-01,3m,0.0,0.0
2026-05-01,3m,20.0363,9.8967
2026-06-01,3m,38.4586,10.4064
2026-07-01,3m,-14.5416,5.08
2026-07-29,3m,-45.1386,1.5397
2026-01-01,6m,0.0,0.0
2026-02-01,6m,26.4962,1.3481
2026-03-01,6m,9.4355,-0.1825
2026-04-01,6m,35.1762,-4.7144
2026-05-01,6m,51.8261,6.0896
2026-06-01,6m,78.0852,10.3572
2026-07-01,6m,12.2981,6.7609
2026-07-29,6m,-31.9216,3.4922
2025-07-01,1y,0.0,0.0
2025-08-01,1y,0.2245,0.5476
2025-09-01,1y,14.7964,4.0174
2025-10-01,1y,113.3106,6.6654
2025-11-01,1y,80.6597,7.1038
2025-12-01,1y,43.1035,5.407
2026-01-01,1y,129.0603,5.0539
2026-02-01,1y,166.6786,5.8294
2026-03-01,1y,137.6599,4.2459
2026-04-01,1y,182.8694,-0.9753
2026-05-01,1y,217.9005,9.03
2026-06-01,1y,275.309,13.8814
2026-07-01,1y,139.7341,10.7928
2026-07-29,1y,41.0375,7.5761
2023-07-01,3y,0.0,0.0
2023-08-01,3y,16.9638,2.8681
2023-09-01,3y,-4.2232,0.2551
2023-10-01,3y,-24.1462,-4.8173
2023-11-01,3y,-35.1374,-4.6934
2023-12-01,3y,-11.7324,4.515
2024-01-01,3y,-11.9329,7.8629
2024-02-01,3y,-16.0567,9.8671
2024-03-01,3y,-16.2943,13.88
2024-04-01,3y,-14.4949,15.4883
2024-05-01,3y,-31.99,9.1489
2024-06-01,3y,-25.062,14.1223
2024-07-01,3y,-26.7085,18.0669
2024-08-01,3y,-2.1028,16.1446
2024-09-01,3y,14.6645,19.3645
2024-10-01,3y,-7.0273,20.2587
2024-11-01,3y,-3.6224,19.486
2024-12-01,3y,67.2152,24.7607
2025-01-01,3y,68.0511,20.5036
2025-02-01,3y,148.3247,22.6369
2025-03-01,3y,82.4547,19.963
2025-04-01,3y,32.5402,12.752
2025-05-01,3y,27.9999,11.6346
2025-06-01,3y,45.3218,17.2743
2025-07-01,3y,130.0844,22.5214
2025-08-01,3y,125.6071,22.4045
2025-09-01,3y,153.2808,26.1393
2025-10-01,3y,380.8819,30.0701
2025-11-01,3y,356.4164,31.6096
2025-12-01,3y,286.3372,30.1997
2026-01-01,3y,535.0671,29.888
2026-02-01,3y,682.2798,30.789
2026-03-01,3y,635.6614,28.783
2026-04-01,3y,811.3719,22.0669
2026-05-01,3y,966.3934,33.5645
2026-06-01,3y,1207.9047,39.5653
2026-07-01,3y,767.0291,36.1007
2026-07-29,3y,421.2711,32.1989
2021-07-01,5y,0.0,0.0
2021-08-01,5y,0.307,1.7707
2021-09-01,5y,0.3066,3.9219
2021-10-01,5y,0.8808,-1.1374
2021-11-01,5y,3.063,5.0647
2021-12-01,5y,3.1341,1.8654
2022-01-01,5y,-38.5029,7.3871
2022-02-01,5y,-30.185,1.4028
2022-03-01,5y,-34.9183,-3.9018
2022-04-01,5y,-31.9008,1.9782
2022-05-01,5y,-35.9759,-7.4261
2022-06-01,5y,-20.5415,-7.3018
2022-07-01,5y,-40.0167,-12.8046
2022-08-01,5y,-22.2958,-4.9814
2022-09-01,5y,-25.9866,-8.0116
2022-10-01,5y,-18.5617,-16.2466
2022-11-01,5y,-18.9288,-8.7263
2022-12-01,5y,-11.8082,-2.7616
2023-01-01,5y,-32.4364,-8.2114
2023-02-01,5y,-21.8175,-0.9109
2023-03-01,5y,-27.6737,-4.7433
2023-04-01,5y,-35.4012,0.1496
2023-05-01,5y,-32.4489,1.6602
2023-06-01,5y,-21.0685,3.1216
2023-07-01,5y,-44.0147,8.6436
2023-08-01,5y,-32.3953,11.5108
2023-09-01,5y,-39.1884,9.8275
2023-10-01,5y,-51.3891,4.0445
2023-11-01,5y,-60.0339,2.7584
2023-12-01,5y,-48.3772,11.5038
2024-01-01,5y,-48.0304,15.5266
2024-02-01,5y,-49.9508,18.4085
2024-03-01,5y,-49.7334,23.5347
2024-04-01,5y,-48.2294,26.2754
2024-05-01,5y,-58.3966,20.2336
2024-06-01,5y,-54.2725,26.0758
2024-07-01,5y,-55.0531,31.0422
2024-08-01,5y,-39.6645,29.6148
2024-09-01,5y,-28.216,33.7405
2024-10-01,5y,-40.7023,35.3395
2024-11-01,5y,-37.7682,35.0182
2024-12-01,5y,9.3311,41.4481
2025-01-01,5y,12.1604,37.1847
2025-02-01,5y,68.9207,39.9907
2025-03-01,5y,26.7486,37.3201
2025-04-01,5y,-6.3417,29.314
2025-05-01,5y,-8.3937,28.0629
2025-06-01,5y,5.2077,34.5179
2025-07-01,5y,68.5934,40.6512
2025-08-01,5y,67.7343,40.7254
2025-09-01,5y,90.8766,45.2046
2025-10-01,5y,267.2507,49.9689
2025-11-01,5y,253.6942,52.029
2025-12-01,5y,203.509,50.6793
2026-01-01,5y,405.2003,50.5483
2026-02-01,5y,530.3674,51.7958
2026-03-01,5y,500.2563,49.6597
2026-04-01,5y,652.4562,41.9924
2026-05-01,5y,790.6048,55.4027
2026-06-01,5y,1004.4675,62.5725
2026-07-01,5y,640.0555,58.7716
2026-07-29,5y,349.369,54.3923
2021-04-26,max,0.0,0.0
2021-05-01,max,0.1019,-0.1754
2021-06-01,max,-1.1079,0.4508
2021-07-01,max,-0.6707,3.189
2021-08-01,max,-0.1228,4.2832
2021-09-01,max,0.0843,6.5718
2021-10-01,max,0.7625,1.6368
2021-11-01,max,3.0668,7.4673
2021-12-01,max,3.3763,4.3031
2022-01-01,max,-38.2662,9.7943
2022-02-01,max,-31.6784,3.7751
2022-03-01,max,-37.0264,-1.8055
2022-04-01,max,-34.7646,3.8969
2022-05-01,max,-39.0095,-5.7715
2022-06-01,max,-24.6934,-5.9161
2022-07-01,max,-43.1324,-11.7081
2022-08-01,max,-26.605,-4.0711
2022-09-01,max,-30.0336,-7.2445
2022-10-01,max,-22.9806,-15.6703
2022-11-01,max,-23.217,-8.31
2022-12-01,max,-16.3583,-2.4233
2023-01-01,max,-35.8026,-7.9276
2023-02-01,max,-25.7063,-0.6824
2023-03-01,max,-31.1969,-4.5383
2023-04-01,max,-38.507,0.3266
2023-05-01,max,-35.6877,1.8341
2023-06-01,max,-24.8189,3.3003
2023-07-01,max,-46.6163,8.8409
2023-08-01,max,-35.553,11.7453
2023-09-01,max,-41.9948,10.097
2023-10-01,max,-53.6203,4.3271
2023-11-01,max,-61.8851,3.0431
2023-12-01,max,-50.8177,11.8134
2024-01-01,max,-50.4836,15.8752
2024-02-01,max,-52.3053,18.8026
2024-03-01,max,-52.0912,23.9881
2024-04-01,max,-50.647,26.79
2024-05-01,max,-60.3264,20.7735
2024-06-01,max,-56.3973,26.6781
2024-07-01,max,-57.1334,31.7141
2024-08-01,max,-42.4448,30.3298
2024-09-01,max,-31.4776,34.5241
2024-10-01,max,-43.3483,36.1818
2024-11-01,max,-40.508,35.9063
2024-12-01,max,4.5871,42.4248
2025-01-01,max,7.4074,38.1819
2025-02-01,max,61.9281,41.0506
2025-03-01,max,21.6411,38.4017
2025-04-01,max,-10.027,30.3666
2025-05-01,max,-11.9276,29.1281
2025-06-01,max,1.2258,35.6575
2025-07-01,max,62.3413,41.8703
2025-08-01,max,61.6637,41.9771
2025-09-01,max,84.1316,46.5271
2025-10-01,max,254.5858,51.3691
