Date,Period,rate,rate_vs
2026-07-23,5d,0.0,0.0
2026-07-24,5d,1.978,0.0781
2026-07-25,5d,1.978,0.0781
2026-07-26,5d,1.978,0.0781
2026-07-27,5d,4.1495,0.1032
2026-07-28,5d,4.6242,0.3463
2026-06-01,1m,0.0,0.0
2026-07-01,1m,9.2955,-1.8046
2026-07-28,1m,1.5267,-1.6025
2026-04-01,3m,0.0,0.0
2026-05-01,3m,0.8759,9.8967
2026-06-01,3m,4.6459,10.4064
2026-07-01,3m,12.757,5.08
2026-07-28,3m,6.3264,3.1037
2026-01-01,6m,0.0,0.0
2026-02-01,6m,12.7411,1.3481
2026-03-01,6m,13.3455,-0.1825
2026-04-01,6m,-5.9729,-4.7144
2026-05-01,6m,-3.5719,6.0896
2026-06-01,6m,1.2419,10.3572
2026-07-01,6m,10.5189,6.7609
2026-07-28,6m,5.8015,5.0864
2025-07-01,1y,0.0,0.0
2025-08-01,1y,-10.3723,0.5476
2025-09-01,1y,1.5691,4.0174
2025-10-01,1y,-5.4718,6.6654
2025-11-01,1y,-9.9682,7.1038
2025-12-01,1y,-5.3403,5.407
2026-01-01,1y,-1.9801,5.0539
2026-02-01,1y,10.9223,5.8294
2026-03-01,1y,16.7824,4.2459
2026-04-01,1y,-0.7536,-0.9753
2026-05-01,1y,0.2819,9.03
2026-06-01,1y,4.4991,13.8814
2026-07-01,1y,13.9078,10.7928
2026-07-28,1y,9.5174,9.2331
2023-07-01,3y,0.0,0.0
2023-08-01,3y,-1.9524,2.8681
2023-09-01,3y,-2.9914,0.2551
2023-10-01,3y,-10.4515,-4.8173
2023-11-01,3y,-12.7117,-4.6934
2023-12-01,3y,5.3743,4.515
2024-01-01,3y,8.7671,7.8629
2024-02-01,3y,1.7139,9.8671
2024-03-01,3y,0.5332,13.88
2024-04-01,3y,3.2419,15.4883
2024-05-01,3y,-6.0136,9.1489
2024-06-01,3y,-4.6748,14.1223
2024-07-01,3y,-9.7052,18.0669
2024-08-01,3y,-7.5713,16.1446
2024-09-01,3y,-3.6922,19.3645
2024-10-01,3y,-2.7015,20.2587
2024-11-01,3y,-7.2577,19.486
2024-12-01,3y,-6.3574,24.7607
2025-01-01,3y,-9.7284,20.5036
2025-02-01,3y,-12.3147,22.6369
2025-03-01,3y,-11.7958,19.963
2025-04-01,3y,-14.5878,12.752
2025-05-01,3y,-14.0715,11.6346
2025-06-01,3y,-11.308,17.2743
2025-07-01,3y,-6.3272,22.5214
2025-08-01,3y,-15.7358,22.4045
2025-09-01,3y,-9.0401,26.1393
2025-10-01,3y,-14.5696,30.0701
2025-11-01,3y,-19.2877,31.6096
2025-12-01,3y,-16.2785,30.1997
2026-01-01,3y,-13.546,29.888
2026-02-01,3y,-1.9439,30.789
2026-03-01,3y,4.5964,28.783
2026-04-01,3y,-9.7815,22.0669
2026-05-01,3y,-8.6127,33.5645
2026-06-01,3y,-4.483,39.5653
2026-07-01,3y,4.6334,36.1007
2026-07-28,3y,1.437,34.2352
2021-07-01,5y,0.0,0.0
2021-08-01,5y,-3.9022,1.7707
2021-09-01,5y,-5.1055,3.9219
2021-10-01,5y,-11.8478,-1.1374
2021-11-01,5y,0.5896,5.0647
2021-12-01,5y,-2.6813,1.8654
2022-01-01,5y,9.8239,7.3871
2022-02-01,5y,-1.0802,1.4028
2022-03-01,5y,-20.0045,-3.9018
2022-04-01,5y,-12.9128,1.9782
2022-05-01,5y,-15.6012,-7.4261
2022-06-01,5y,-15.553,-7.3018
2022-07-01,5y,-19.4013,-12.8046
2022-08-01,5y,-9.9423,-4.9814
2022-09-01,5y,-12.152,-8.0116
2022-10-01,5y,-21.2078,-16.2466
2022-11-01,5y,-17.4929,-8.7263
2022-12-01,5y,-0.6577,-2.7616
2023-01-01,5y,-7.416,-8.2114
2023-02-01,5y,-2.395,-0.9109
2023-03-01,5y,-0.9182,-4.7433
2023-04-01,5y,-0.6193,0.1496
2023-05-01,5y,4.0032,1.6602
2023-06-01,5y,0.7344,3.1216
2023-07-01,5y,10.6364,8.6436
2023-08-01,5y,8.1633,11.5108
2023-09-01,5y,5.7041,9.8275
2023-10-01,5y,-3.5812,4.0445
2023-11-01,5y,-8.5369,2.7584
2023-12-01,5y,7.6545,11.5038
2024-01-01,5y,11.822,15.5266
2024-02-01,5y,5.439,18.4085
2024-03-01,5y,4.2765,23.5347
2024-04-01,5y,7.0246,26.2754
2024-05-01,5y,-2.445,20.2336
2024-06-01,5y,-1.5505,26.0758
2024-07-01,5y,-7.0793,31.0422
2024-08-01,5y,-5.4638,29.6148
2024-09-01,5y,-1.9155,33.7405
2024-10-01,5y,-1.1055,35.3395
2024-11-01,5y,-5.8697,35.0182
2024-12-01,5y,-5.244,41.4481
2025-01-01,5y,-8.8753,37.1847
2025-02-01,5y,-11.7831,39.9907
2025-03-01,5y,-11.6096,37.3201
2025-04-01,5y,-14.6985,29.314
2025-05-01,5y,-14.5226,28.0629
2025-06-01,5y,-12.0784,34.5179
2025-07-01,5y,-7.3652,40.6512
2025-08-01,5y,-16.7574,40.7254
2025-09-01,5y,-10.4226,45.2046
2025-10-01,5y,-15.9838,49.9689
2025-11-01,5y,-20.8143,52.029
2025-12-01,5y,-18.1277,50.6793
2026-01-01,5y,-15.6541,50.5483
2026-02-01,5y,-4.4933,51.7958
2026-03-01,5y,1.9008,49.6597
2026-04-01,5y,-12.0172,41.9924
2026-05-01,5y,-10.9503,55.4027
2026-06-01,5y,-6.9816,62.5725
2026-07-01,5y,1.8921,58.7716
2026-07-28,5y,-1.1313,56.7705
2019-07-01,7y,0.0,0.0
2019-08-01,7y,-2.5926,-0.3391
2019-09-01,7y,-4.2034,-1.0265
2019-10-01,7y,2.4958,0.0294
2019-11-01,7y,9.3152,4.4077
2019-12-01,7y,11.6544,6.2484
2020-01-01,7y,13.6533,8.3167
2020-02-01,7y,0.2679,7.0741
2020-03-01,7y,-12.2222,-2.4227
2020-04-01,7y,-31.832,-18.1544
2020-05-01,7y,-21.4167,-3.8951
2020-06-01,7y,-4.015,4.3011
2020-07-01,7y,-0.9136,6.0921
2020-08-01,7y,0.361,11.0669
2020-09-01,7y,17.0758,19.0584
2020-10-01,7y,13.8538,13.0154
2020-11-01,7y,20.3481,8.6511
2020-12-01,7y,37.4506,21.2936
