Date,Period,rate,rate_vs
2026-07-24,5d,0.0,0.0
2026-07-25,5d,0.0,0.0
2026-07-26,5d,0.0,0.0
2026-07-27,5d,-0.3889,0.025
2026-07-28,5d,1.3286,0.268
2026-07-29,5d,0.2592,-1.2531
2026-06-01,1m,0.0,0.0
2026-07-01,1m,12.5429,-1.8046
2026-07-29,1m,6.7043,-3.0952
2026-04-01,3m,0.0,0.0
2026-05-01,3m,6.9166,9.8967
2026-06-01,3m,1.2624,10.4064
2026-07-01,3m,13.5653,5.08
2026-07-29,3m,10.6497,1.5397
2026-01-01,6m,0.0,0.0
2026-02-01,6m,5.061,1.3481
2026-03-01,6m,0.0714,-0.1825
2026-04-01,6m,-4.3881,-4.7144
2026-05-01,6m,3.4738,6.0896
2026-06-01,6m,0.6266,10.3572
2026-07-01,6m,13.2241,6.7609
2026-07-29,6m,11.8266,3.4922
2025-07-01,1y,0.0,0.0
2025-08-01,1y,2.876,0.5476
2025-09-01,1y,11.5717,4.0174
2025-10-01,1y,4.0839,6.6654
2025-11-01,1y,-4.8646,7.1038
2025-12-01,1y,1.6273,5.407
2026-01-01,1y,8.4199,5.0539
2026-02-01,1y,12.7409,5.8294
2026-03-01,1y,8.5232,4.2459
2026-04-01,1y,2.8303,-0.9753
2026-05-01,1y,9.7381,9.03
2026-06-01,1y,6.585,13.8814
2026-07-01,1y,19.4452,10.7928
2026-07-29,1y,18.4778,7.5761
2023-07-01,3y,0.0,0.0
2023-08-01,3y,14.0835,2.8681
2023-09-01,3y,-1.1575,0.2551
2023-10-01,3y,-8.0743,-4.8173
2023-11-01,3y,-20.6055,-4.6934
2023-12-01,3y,0.8954,4.515
2024-01-01,3y,12.4822,7.8629
2024-02-01,3y,4.0586,9.8671
2024-03-01,3y,7.0052,13.88
2024-04-01,3y,17.4702,15.4883
2024-05-01,3y,10.1414,9.1489
2024-06-01,3y,7.9827,14.1223
2024-07-01,3y,11.6902,18.0669
2024-08-01,3y,19.9118,16.1446
2024-09-01,3y,28.8235,19.3645
2024-10-01,3y,23.4818,20.2587
2024-11-01,3y,27.5278,19.486
2024-12-01,3y,45.6751,24.7607
2025-01-01,3y,24.8074,20.5036
2025-02-01,3y,29.376,22.6369
2025-03-01,3y,23.0747,19.963
2025-04-01,3y,12.2484,12.752
2025-05-01,3y,6.1974,11.6346
2025-06-01,3y,10.7266,17.2743
2025-07-01,3y,25.603,22.5214
2025-08-01,3y,28.2845,22.4045
2025-09-01,3y,39.9683,26.1393
2025-10-01,3y,33.8581,30.0701
2025-11-01,3y,22.4717,31.6096
2025-12-01,3y,28.7084,30.1997
2026-01-01,3y,36.6735,29.888
2026-02-01,3y,42.4866,30.789
2026-03-01,3y,37.8373,28.783
2026-04-01,3y,30.6711,22.0669
2026-05-01,3y,38.8789,33.5645
2026-06-01,3y,34.9063,39.5653
2026-07-01,3y,50.8824,36.1007
2026-07-29,3y,50.1841,32.1989
2021-07-01,5y,0.0,0.0
2021-08-01,5y,-5.87,1.7707
2021-09-01,5y,1.45,3.9219
2021-10-01,5y,9.8585,-1.1374
2021-11-01,5y,19.2706,5.0647
2021-12-01,5y,5.8399,1.8654
2022-01-01,5y,3.9978,7.3871
2022-02-01,5y,11.9503,1.4028
2022-03-01,5y,3.4711,-3.9018
2022-04-01,5y,0.8832,1.9782
2022-05-01,5y,-2.7364,-7.4261
2022-06-01,5y,1.6914,-7.3018
2022-07-01,5y,-9.7821,-12.8046
2022-08-01,5y,0.952,-4.9814
2022-09-01,5y,3.074,-8.0116
2022-10-01,5y,-3.4411,-16.2466
2022-11-01,5y,7.5197,-8.7263
2022-12-01,5y,10.3845,-2.7616
2023-01-01,5y,3.9274,-8.2114
2023-02-01,5y,14.3939,-0.9109
2023-03-01,5y,11.6616,-4.7433
2023-04-01,5y,-10.7763,0.1496
2023-05-01,5y,-13.772,1.6602
2023-06-01,5y,-14.5402,3.1216
2023-07-01,5y,-11.6591,8.6436
2023-08-01,5y,1.4111,11.5108
2023-09-01,5y,-6.3667,9.8275
2023-10-01,5y,-13.0138,4.0445
2023-11-01,5y,-26.0764,2.7584
2023-12-01,5y,-9.589,11.5038
2024-01-01,5y,1.313,15.5266
2024-02-01,5y,-4.7951,18.4085
2024-03-01,5y,-1.456,23.5347
2024-04-01,5y,9.0309,26.2754
2024-05-01,5y,3.5252,20.2336
2024-06-01,5y,2.259,26.0758
2024-07-01,5y,6.3657,31.0422
2024-08-01,5y,14.9411,29.6148
2024-09-01,5y,24.5427,33.7405
2024-10-01,5y,20.5776,35.3395
2024-11-01,5y,25.4924,35.0182
2024-12-01,5y,44.4783,41.4481
2025-01-01,5y,25.0557,37.1847
2025-02-01,5y,30.3965,39.9907
2025-03-01,5y,24.808,37.3201
2025-04-01,5y,14.3497,29.314
2025-05-01,5y,8.4304,28.0629
2025-06-01,5y,13.1573,34.5179
2025-07-01,5y,28.5708,40.6512
2025-08-01,5y,31.7969,40.7254
2025-09-01,5y,44.3328,45.2046
2025-10-01,5y,38.6691,49.9689
2025-11-01,5y,27.3452,52.029
2025-12-01,5y,34.1382,50.6793
2026-01-01,5y,42.8317,50.5483
2026-02-01,5y,49.3895,51.7958
2026-03-01,5y,45.0146,49.6597
2026-04-01,5y,37.8748,41.9924
2026-05-01,5y,46.8564,55.4027
2026-06-01,5y,43.0294,62.5725
2026-07-01,5y,60.3191,58.7716
2026-07-29,5y,60.0529,54.3923
2019-07-01,7y,0.0,0.0
2019-08-01,7y,0.9608,-0.3391
2019-09-01,7y,-3.5921,-1.0265
2019-10-01,7y,4.0123,0.0294
2019-11-01,7y,10.4586,4.4077
2019-12-01,7y,8.9361,6.2484
2020-01-01,7y,11.788,8.3167
2020-02-01,7y,-0.1117,7.0741
2020-03-01,7y,-13.262,-2.4227
2020-04-01,7y,-44.8421,-18.1544
2020-05-01,7y,-26.9338,-3.8951
2020-06-01,7y,-14.7685,4.3011
2020-07-01,7y,-18.78,6.0921
2020-08-01,7y,-15.5558,11.0669
2020-09-01,7y,-8.3862,19.0584
2020-10-01,7y,-7.3979,13.0154
2020-11-01,7y,7.3425,8.6511
2020-12-01,7y,27.5622,21.2936
2021-01-01,7y,29.2416,23.2382
2021-02-01,7y,37.2021,22.7478
2021-03-01,7y,66.5926,25.9489
2021-04-01,7y,62.612,29.5241
2021-05-01,7y,65.3739,33.5414
2021-06-01,7y,76.096,32.8569
2021-07-01,7y,50.702,35.3151
2021-08-01,7y,40.082,36.4053
2021-09-01,7y,44.8697,39.1335
2021-10-01,7y,55.867,32.6893
2021-11-01,7y,70.924,39.4032
2021-12-01,7y,54.5225,35.1664
2022-01-01,7y,51.4609,41.7096
2022-02-01,7y,62.165,33.8724
2022-03-01,7y,50.1037,26.0967
2022-04-01,7y,45.4239,32.388
2022-05-01,7y,39.0507,19.5554
2022-06-01,7y,43.8568,18.3025
2022-07-01,7y,26.7287,10.0863
2022-08-01,7y,39.8409,18.3368
2022-09-01,7y,41.8127,13.6762
2022-10-01,7y,32.1135,2.5898
2022-11-01,7y,45.8979,10.3979
2022-12-01,7y,49.2557,16.6908
2023-01-01,7y,40.158,9.6068
2023-02-01,7y,53.5558,17.5341
2023-03-01,7y,49.6458,12.557
2023-04-01,7y,19.2901,17.7694
2023-05-01,7y,14.2561,19.1649
2023-06-01,7y,12.1622,20.5529
2023-07-01,7y,14.8708,26.72
2023-08-01,7y,30.8307,29.9206
2023-09-01,7y,20.2942,27.8802
2023-10-01,7y,11.1075,21.0321
2023-11-01,7y,-6.2576,19.3044
2023-12-01,7y,13.4179,29.1846
2024-01-01,7y,26.3715,33.7473
2024-02-01,7y,18.3536,37.0509
