Date,Period,rate,rate_vs
2026-08-08,5d,0.0,0.0
2026-08-09,5d,0.0,0.0
2026-08-10,5d,1.0601,-0.0169
2026-08-11,5d,1.5098,-0.3222
2026-08-12,5d,20.8159,-0.076
2026-08-13,5d,25.7951,0.5966
2026-07-01,1m,0.0,0.0
2026-08-01,1m,2.6099,0.0735
2026-08-13,1m,39.6178,4.1077
2026-05-01,3m,0.0,0.0
2026-06-01,3m,72.8799,5.1456
2026-07-01,3m,-19.5567,0.7734
2026-08-01,3m,-10.7131,0.6567
2026-08-13,3m,26.7738,4.6083
2026-02-01,6m,0.0,0.0
2026-03-01,6m,11.1564,-0.9007
2026-04-01,6m,-26.6613,-5.0439
2026-05-01,6m,-1.0842,6.2709
2026-06-01,6m,71.6024,10.1746
2026-07-01,6m,-7.2463,6.2747
2026-08-01,6m,-3.507,5.3949
2026-08-13,6m,33.7227,8.9214
2025-08-01,1y,0.0,0.0
2025-09-01,1y,-26.7329,3.6814
2025-10-01,1y,9.1987,5.7777
2025-11-01,1y,5.2284,5.9249
2025-12-01,1y,-33.1952,4.1656
2026-01-01,1y,-35.6745,3.8709
2026-02-01,1y,-30.1294,4.7048
2026-03-01,1y,-17.4834,3.1846
2026-04-01,1y,-41.1435,-1.9191
2026-05-01,1y,-23.68,8.1178
2026-06-01,1y,36.1545,12.9299
2026-07-01,1y,-21.6395,9.8385
2026-08-01,1y,-17.6703,9.1996
2026-08-13,1y,15.3859,12.9554
2023-08-01,3y,0.0,0.0
2023-09-01,3y,-16.4954,-1.2123
2023-10-01,3y,-10.8782,-5.571
2023-11-01,3y,-14.7068,-4.8015
2023-12-01,3y,-4.9343,4.6764
2024-01-01,3y,1.2433,7.8372
2024-02-01,3y,107.3624,9.6499
2024-03-01,3y,197.9636,13.4982
2024-04-01,3y,212.9338,14.9452
2024-05-01,3y,105.9135,8.5205
2024-06-01,3y,107.5366,13.4378
2024-07-01,3y,104.7616,17.3037
2024-08-01,3y,62.22,15.3322
2024-09-01,3y,2.5013,18.4934
2024-10-01,3y,-5.2115,19.3404
2024-11-01,3y,-38.8874,18.5401
2024-12-01,3y,-20.3899,23.7499
2025-01-01,3y,-24.5437,19.495
2025-02-01,3y,-28.1252,21.5969
2025-03-01,3y,6.6299,18.9311
2025-04-01,3y,-10.1403,11.7779
2025-05-01,3y,-15.6418,10.6837
2025-06-01,3y,4.0113,16.2919
2025-07-01,3y,22.4611,21.5005
2025-08-01,3y,45.8253,21.3818
2025-09-01,3y,5.6016,25.0844
2025-10-01,3y,32.9075,28.9772
2025-11-01,3y,30.6042,30.4951
2025-12-01,3y,-16.7273,29.0887
2026-01-01,3y,-26.5437,28.7745
2026-02-01,3y,-26.0686,29.6643
2026-03-01,3y,-16.8062,27.6724
2026-04-01,3y,-41.8202,21.014
2026-05-01,3y,-28.4612,32.4196
2026-06-01,3y,25.2435,38.366
2026-07-01,3y,-26.558,34.9246
2026-08-01,3y,-23.811,34.1843
2026-08-13,3y,5.9386,38.7498
2021-08-01,5y,0.0,0.0
2021-09-01,5y,-1.413,2.9579
2021-10-01,5y,-1.2587,-2.2479
2021-11-01,5y,-2.7303,4.3717
2021-12-01,5y,13.3712,1.1036
2022-01-01,5y,14.6419,6.6732
2022-02-01,5y,6.4417,0.6654
2022-03-01,5y,0.9529,-4.5274
2022-04-01,5y,-4.1819,1.4557
2022-05-01,5y,6.8839,-7.8696
2022-06-01,5y,30.3989,-7.6324
2022-07-01,5y,-3.404,-13.0345
2022-08-01,5y,36.7538,-5.1208
2022-09-01,5y,53.4588,-8.1098
2022-10-01,5y,30.1785,-16.295
2022-11-01,5y,67.2339,-8.7025
2022-12-01,5y,105.336,-2.7044
2023-01-01,5y,80.6308,-8.1524
2023-02-01,5y,71.0824,-0.8256
2023-03-01,5y,114.049,-4.6636
2023-04-01,5y,117.6352,0.2406
2023-05-01,5y,109.1632,1.7477
2023-06-01,5y,348.8015,3.2028
2023-07-01,5y,367.8502,8.7194
2023-08-01,5y,512.8477,11.5706
2023-09-01,5y,395.1172,9.8666
2023-10-01,5y,366.4117,4.0668
2023-11-01,5y,316.5897,2.7742
2023-12-01,5y,333.1687,11.5166
2024-01-01,5y,344.5567,15.5255
2024-02-01,5y,788.9582,18.3901
2024-03-01,5y,1239.9936,23.4965
2024-04-01,5y,1390.46,26.2144
2024-05-01,5y,930.9946,20.1543
2024-06-01,5y,966.4251,25.9768
2024-07-01,5y,975.6348,30.9199
2024-08-01,5y,767.7178,29.4731
2024-09-01,5y,451.4653,33.5755
2024-10-01,5y,399.8869,35.1526
2024-11-01,5y,214.547,34.8125
2024-12-01,5y,287.3959,41.2141
2025-01-01,5y,255.2114,36.9382
2025-02-01,5y,226.6817,39.7224
2025-03-01,5y,367.2358,37.0404
2025-04-01,5y,287.9401,29.0371
2025-05-01,5y,256.2847,27.7793
2025-06-01,5y,328.8256,34.2113
2025-07-01,5y,397.5073,40.3197
2025-08-01,5y,487.0685,40.3812
2025-09-01,5y,323.2668,44.8374
